Country	Land	Urban	Rural	ID	id_row
Albania	4.9	0.3	0.0	Q222	0
Algeria	0.0	0.0	2.2	Q262	1
Angola	0.1	0.0	7.5	Q916	2
Antigua and Barbuda	13.2	5.8	0.8	Q781	3
Aruba	7.1	4.7	0.6	Q21203	4
Bahamas, The	52.9	1.0	12.7	Q778	5
Bahrain	34.0	21.3	9.0	Q398	6
Bangladesh	9.6	0.6	0.2	Q902	7
Barbados	0.7	0.5	0.0	Q244	8
Belarus	0.0	0.0	2.8	Q184	9
Belgium	7.7	4.9	5.7	Q31	10
Belize	6.1	0.4	0.9	Q242	11
Benin	1.0	0.1	7.4	Q962	12
Brazil	0.6	0.0	0.1	Q155	13
Brunei Darussalam	0.4	0.3	0.1	Q921	14
Cambodia	2.7	0.1	0.0	Q424	15
Cameroon	0.0	0.0	1.7	Q1009	16
Canada	1.7	0.0	3.3	Q16	17
Cabo Verde	3.6	0.3	3.2	Q1011	18
Chile	0.5	0.0	0.9	Q298	19
China	1.2	0.3	4.5	Q148	20
Hong Kong SAR, China	10.1	5.6	19.8	Q8646	21
Macao SAR, China	37.5	17.7	0.5	Q14773	22
Colombia	0.6	0.1	0.8	Q739	23
Comoros	0.8	0.0	0.0	Q970	24
Congo, Dem. Rep.	0.0	0.0	0.0	Q974	25
Congo, Rep.	0.0	0.0	0.6	Q971	26
Costa Rica	0.6	0.0	0.1	Q800	27
Cote d'Ivoire	0.2	0.0	0.8	Q1008	28
Croatia	1.0	0.2	8.3	Q224	29
Denmark	14.5	2.9	0.6	Q35	30
Djibouti	0.7	0.1	0.5	Q977	31
Dominica	0.8	0.3	1.6	Q784	32
Dominican Republic	1.7	0.1	1.3	Q786	33
Ecuador	1.5	0.2	1.3	Q736	34
Egypt, Arab Rep.	1.6	0.3	0.7	Q79	35
El Salvador	0.8	0.1	0.2	Q792	36
Equatorial Guinea	0.3	0.0	1.2	Q983	37
Eritrea	1.2	0.0	1.7	Q986	38
Estonia	1.8	0.1	0.0	Q191	39
Eswatini	0.0	0.0	0.0	Q1050	40
Ethiopia	0.0	0.0	6.7	Q115	41
Faroe Islands	7.7	1.0	2.5	Q4628	42
Fiji	3.1	0.6	0.4	Q712	43
Finland	0.5	0.1	1.0	Q33	44
France	1.6	0.6	19.9	Q142	45
French Polynesia	19.9	0.0	0.3	Q30971	46
Gabon	0.3	0.0	16.1	Q1000	47
Gambia, The	16.8	0.7	1.1	Q1005	48
Georgia	1.3	0.2	3.6	Q230	49
Germany	4.5	0.9	0.5	Q183	50
Ghana	0.6	0.1	2.3	Q117	51
Greece	3.1	0.8	10.1	Q41	52
Greenland	10.1	0.0	1.4	Q223	53
Grenada	1.8	0.5	0.9	Q769	54
Guam	1.6	0.7	0.4	Q16635	55
Guatemala	0.4	0.0	0.9	Q774	56
Guinea	0.9	0.0	6.4	Q1006	57
Guinea-Bissau	6.5	0.1	2.2	Q1007	58
Guyana	2.4	0.2	1.5	Q734	59
Haiti	1.6	0.1	2.0	Q790	60
Iceland	2.2	0.0	1.4	Q189	61
India	1.5	0.1	2.6	Q668	62
Indonesia	2.8	0.2	0.8	Q252	63
Iran, Islamic Rep.	0.8	0.1	2.9	Q794	64
Iraq	3.2	0.3	1.7	Q796	65
Ireland	2.1	0.4	1.6	Q27	66
Isle of Man	1.9	0.4	0.1	Q9676	67
Israel	0.4	0.3	2.6	Q801	68
Italy	3.9	1.3	2.4	Q38	69
Jamaica	3.6	1.2	0.9	Q766	70
Japan	3.4	2.5	0.0	Q17	71
Kenya	0.2	0.0	54.6	Q114	72
Kiribati	54.6	0.1	1.7	Q710	73
Korea, Dem. Peopleâ€™s Rep.	1.8	0.1	2.3	Q423	74
Lao PDR	0.0	0.0	1.3	Q819	75
Latvia	1.9	0.6	0.3	Q211	76
Liberia	0.3	0.0	0.5	Q1014	77
Lithuania	1.2	0.1	0.0	Q37	78
Luxembourg	0.0	0.0	0.0	Q32	79
North Macedonia	0.0	0.0	0.7	Q221	80
Madagascar	0.7	0.0	0.0	Q1019	81
Malawi	0.0	0.0	1.0	Q1020	82
Malaysia	1.3	0.3	45.5	Q833	83
Maldives	45.5	0.0	0.0	Q826	84
Mali	0.0	0.0	1.4	Q912	85
Malta	2.7	1.3	43.8	Q233	86
Marshall Islands	43.8	0.0	1.1	Q709	87
Mauritania	1.1	0.0	1.1	Q1025	88
Mauritius	1.3	0.2	2.1	Q1027	89
Mexico	2.2	0.1	6.3	Q96	90
Micronesia, Fed. Sts.	7.2	0.9	0.9	Q702	91
Moldova	1.0	0.1	3.1	Q217	92
Morocco	0.2	0.0	1.3	Q1028	93
Mozambique	1.3	0.0	3.5	Q1029	94
Myanmar	3.6	0.1	0.2	Q836	95
Netherlands	55.6	22.6	2.8	Q55	96
New Caledonia	2.9	0.1	0.8	Q33788	97
New Zealand	0.9	0.1	3.0	Q664	98
Nigeria	0.4	0.0	3.0	Q1033	99
Northern Mariana Islands	3.1	0.1	1.7	Q16644	100
Norway	2.0	0.3	0.7	Q20	101
Oman	0.8	0.1	1.5	Q842	102
Pakistan	1.5	0.0	1.9	Q843	103
Palau	2.0	0.1	1.6	Q695	104
Panama	1.7	0.1	0.5	Q804	105
Peru	0.3	0.0	2.4	Q419	106
Philippines	2.6	0.3	0.9	Q928	107
Poland	1.2	0.2	0.8	Q36	108
Portugal	1.4	0.6	0.9	Q45	109
Puerto Rico	5.7	4.8	11.4	Q1183	110
Qatar	12.1	0.7	2.3	Q846	111
Romania	2.4	0.1	0.8	Q218	112
Samoa	0.4	0.0	0.0	Q683	113
San Marino	0.0	0.0	0.8	Q238	114
Sao Tome and Principe	0.9	0.1	0.3	Q1039	115
Saudi Arabia	0.4	0.1	3.4	Q851	116
Seychelles	16.4	2.2	2.8	Q1042	117
Sierra Leone	2.9	0.0	3.7	Q1044	118
Slovenia	0.1	0.1	1.6	Q215	119
Solomon Islands	1.6	0.0	0.3	Q685	120
Somalia	0.3	0.0	0.1	Q1045	121
Spain	0.8	0.4	1.7	Q29	122
Sri Lanka	2.1	0.4	2.0	Q854	123
St. Kitts and Nevis	3.8	1.7	0.7	Q763	124
St. Vincent and the Grenadines	3.4	0.5	0.1	Q757	125
Sudan	0.1	0.0	2.5	Q1049	126
Suriname	2.7	0.2	0.6	Q730	127
Sweden	1.0	0.3	0.0	Q34	128
Switzerland	0.0	0.0	0.0	Q39	129
Tanzania	0.1	0.0	2.1	Q924	130
Thailand	2.9	0.8	0.7	Q869	131
Timor-Leste	0.7	0.0	0.3	Q574	132
Togo	0.4	0.1	5.8	Q945	133
Tonga	7.3	1.6	1.7	Q678	134
Trinidad and Tobago	2.7	0.9	1.4	Q754	135
Tunisia	1.9	0.5	0.4	Q948	136
Turks and Caicos Islands	55.9	0.8	32.7	Q18221	137
Ukraine	1.2	0.1	3.3	Q212	138
United Arab Emirates	4.8	1.5	3.0	Q878	139
United Kingdom	4.2	1.2	1.0	Q145	140
United States	1.2	0.2	1.4	Q30	141
Vanuatu	0.8	0.0	1.4	Q686	142
Venezuela, RB	1.5	0.1	14.6	Q717	143
Vietnam	15.4	0.8	3.8	Q881	144
Virgin Islands (U.S.)	6.6	2.9	0.1	Q11703	145
