Country	ForestArea2000	ForestArea2016	Permanentcropland2000	Permanentcropland2016	Arableland2000	Arableland2016	ID	id_row
Afghanistan	2.1	2.1	0.1	0.3	11.8	11.8	Q889	0
Albania	28.1	28.1	4.4	3.0	21.1	22.6	Q222	1
Algeria	0.7	0.8	0.2	0.4	2020.2	2020.1	Q262	2
American Samoa	90.2	87.5	11.5	9.5	12.5	15.0	Q16641	3
Angola	47.9	46.3	0.2	0.2	2.4	3.9	Q916	4
Antigua and Barbuda	22.7	22.3	2.3	2.3	9.1	9.1	Q781	5
Argentina	2020.6	2020.8	0.4	0.4	2020.1	2020.3	Q414	6
Armenia	11.7	11.7	1.3	2.0	15.8	15.7	Q399	7
Australia	16.8	16.3	0.0	0.0	6.2	6.0	Q408	8
Austria	46.5	46.9	0.9	0.8	16.9	16.3	Q40	9
Azerbaijan	10.6	14.1	2.9	2.9	22.1	24.2	Q227	10
Bahamas, The	51.4	51.4	0.4	0.4	0.7	0.8	Q778	11
Bahrain	0.5	0.8	4.5	3.9	2.8	2.1	Q398	12
Bangladesh	11.3	11.0	3.5	6.4	64.1	59.6	Q902	13
Barbados	14.7	14.7	2.3	2.3	34.9	16.3	Q244	14
Belarus	40.8	42.6	0.6	0.5	30.2	28.0	Q184	15
Belgium	22.0	22.6	0.7	0.8	28.5	28.1	Q31	16
Belize	64.0	59.7	1.5	1.4	2.8	3.4	Q242	17
Benin	44.9	37.8	2.4	4.4	21.1	23.9	Q962	18
Bhutan	65.5	72.5	0.5	0.2	2.7	2.6	Q917	19
Bolivia	55.5	50.3	0.2	0.2	2020.9	2020.1	Q750	20
Bosnia and Herzegovina	42.7	42.7	2.0	2.0	19.5	20.0	Q225	21
Botswana	22.1	18.9	0.0	0.0	0.6	0.5	Q963	22
Brazil	62.4	58.9	0.9	0.8	2020.9	2020.7	Q155	23
Brunei Darussalam	75.3	72.1	0.8	1.1	0.4	0.9	Q921	24
Bulgaria	30.5	35.4	2.3	1.3	31.9	32.2	Q219	25
Burkina Faso	22.8	19.3	0.3	0.4	13.5	21.9	Q965	26
Burundi	7.7	10.9	14.0	13.6	37.4	46.7	Q967	27
Cabo Verde	20.4	22.5	0.5	1.0	10.9	12.4	Q1011	28
Cambodia	65.4	52.9	0.8	0.9	21.0	21.5	Q424	29
Cameroon	46.8	39.3	2.5	3.3	12.6	13.1	Q1009	30
Canada	38.2	38.2	0.7	0.5	5.0	4.8	Q16	31
Cayman Islands	52.9	52.9	2.1	2.1	0.8	0.8	Q5785	32
Central African Republic	36.0	35.6	0.2	0.1	3.1	2.9	Q929	33
Chad	5.0	3.8	0.0	0.0	2.9	3.9	Q657	34
Chile	21.3	24.3	0.5	0.6	2.4	1.7	Q298	35
China	2020.9	2020.4	2020.2	2020.7	2020.6	2020.7	Q148	36
Colombia	55.7	52.7	2020.6	2020.7	2020.5	2020.5	Q739	37
Comoros	24.2	19.7	28.5	28.5	34.9	34.9	Q970	38
Congo, Dem. Rep.	69.4	67.2	0.4	0.4	3.0	3.1	Q974	39
Congo, Rep.	66.0	65.4	0.1	0.2	1.4	1.6	Q971	40
Costa Rica	46.5	54.6	5.5	6.1	4.1	4.8	Q800	41
Cote d'Ivoire	32.5	32.7	11.9	14.2	8.8	9.1	Q1008	42
Croatia	33.7	34.4	1.2	1.3	15.1	15.6	Q224	43
Cuba	22.7	31.3	5.1	4.6	32.6	28.7	Q241	44
Cyprus	18.6	18.7	4.5	2.8	10.6	9.2	Q229	45
Czech Republic	34.1	34.6	1.0	0.6	42.0	32.3	Q213	46
Denmark	13.8	14.7	0.2	0.1	53.8	56.6	Q35	47
Dominica	63.1	57.4	18.7	22.7	6.7	8.0	Q784	48
Dominican Republic	30.8	41.7	8.7	7.3	18.6	16.6	Q786	49
Ecuador	55.3	50.2	5.5	5.8	6.5	3.9	Q736	50
Egypt, Arab Rep.	0.1	0.1	0.5	1.0	2.8	2.8	Q79	51
El Salvador	16.0	12.6	12.1	10.1	31.4	35.6	Q792	52
Equatorial Guinea	62.1	55.5	3.6	2.1	4.6	4.3	Q983	53
Eritrea	15.6	14.9	0.0	0.0	5.5	6.8	Q986	54
Estonia	52.9	51.3	0.3	0.1	19.9	16.0	Q191	55
Eswatini	30.1	34.3	0.8	0.9	10.3	10.2	Q1050	56
Ethiopia	13.7	12.5	0.7	1.1	10.0	15.1	Q115	57
Fiji	53.7	55.9	4.5	4.7	9.3	9.0	Q712	58
Finland	73.7	73.1	0.0	0.0	7.2	7.4	Q33	59
France	27.9	31.2	2.1	1.8	33.5	33.5	Q142	60
French Polynesia	28.7	42.3	5.5	6.3	0.8	0.7	Q30971	61
Gabon	85.4	90.0	0.7	0.7	1.3	1.3	Q1000	62
Gambia, The	45.6	48.4	0.5	0.5	27.7	43.5	Q1005	63
Georgia	39.7	40.6	3.9	1.6	11.4	5.0	Q230	64
Germany	32.5	32.7	0.6	0.6	33.8	33.7	Q183	65
Ghana	39.2	41.2	9.4	11.9	17.4	20.7	Q117	66
Greece	27.9	31.7	8.6	8.6	21.3	16.6	Q41	67
Grenada	50.0	50.0	29.4	11.8	2.9	8.8	Q769	68
Guam	46.3	46.3	18.5	16.7	3.7	1.9	Q16635	69
Guatemala	39.3	32.7	5.3	11.0	13.0	8.0	Q774	70
Guinea	28.1	25.8	2.6	2.8	8.7	12.6	Q1006	71
Guinea-Bissau	75.4	69.8	8.8	8.9	10.7	10.7	Q1007	72
Guyana	84.4	83.9	0.1	0.3	2.3	2.1	Q734	73
Haiti	4.0	3.5	10.9	10.2	32.7	38.8	Q790	74
Honduras	57.1	40.0	3.2	4.1	9.5	9.1	Q783	75
Hungary	21.4	22.9	2.2	1.9	51.4	47.8	Q28	76
