Country	Male	Female	ID	id_row
Afghanistan	63.0	66.0	Q889	0
Albania	76.8	80.2	Q222	1
Algeria	75.5	77.9	Q262	2
Angola	58.1	63.7	Q916	3
Antigua and Barbuda	75.7	78.0	Q781	4
Argentina	73.1	79.9	Q414	5
Armenia	71.2	78.4	Q399	6
Aruba	73.6	78.5	Q21203	7
Australia	80.7	84.9	Q408	8
Austria	79.4	84.1	Q40	9
Azerbaijan	70.3	75.3	Q227	10
Bahamas, The	71.5	75.9	Q778	11
Bahrain	76.3	78.3	Q398	12
Bangladesh	70.6	74.3	Q902	13
Barbados	77.7	80.4	Q244	14
Belarus	69.2	79.4	Q184	15
Belgium	79.4	83.9	Q31	16
Belize	71.6	77.7	Q242	17
Benin	59.9	63.0	Q962	18
Bermuda	77.9	85.6	Q23635	19
Bhutan	71.1	71.8	Q917	20
Bolivia	68.4	74.2	Q750	21
Bosnia and Herzegovina	74.8	79.7	Q225	22
Botswana	66.2	72.0	Q963	23
Brazil	72.0	79.4	Q155	24
Brunei Darussalam	74.6	77.0	Q921	25
Bulgaria	71.5	78.6	Q219	26
Burkina Faso	60.4	61.9	Q965	27
Burundi	59.4	63.0	Q967	28
Cabo Verde	69.3	76.0	Q1011	29
Cambodia	67.3	71.6	Q424	30
Cameroon	57.7	60.2	Q1009	31
Canada	79.9	84.1	Q16	32
Central African Republic	50.6	55.0	Q929	33
Chad	52.6	55.4	Q657	34
Channel Islands	81.0	84.8	Q42314	35
Chile	77.6	82.4	Q298	36
China	74.5	79.1	Q148	37
Hong Kong SAR, China	82.3	87.7	Q8646	38
Macao SAR, China	81.1	87.1	Q14773	39
Colombia	74.3	79.9	Q739	40
Comoros	62.4	65.9	Q970	41
Congo, Dem. Rep.	58.9	61.9	Q974	42
Congo, Rep.	62.8	65.7	Q971	43
Costa Rica	77.5	82.7	Q800	44
Cote d'Ivoire	56.3	58.7	Q1008	45
Croatia	74.9	81.4	Q224	46
Cuba	76.8	80.7	Q241	47
Curacao	74.7	81.5	Q25279	48
Cyprus	78.7	82.9	Q229	49
Czech Republic	76.2	82.0	Q213	50
Denmark	79.1	82.9	Q35	51
Djibouti	64.6	68.8	Q977	52
Dominican Republic	70.8	77.2	Q786	53
Ecuador	74.1	79.6	Q736	54
Egypt, Arab Rep.	69.6	74.2	Q79	55
El Salvador	68.2	77.6	Q792	56
Equatorial Guinea	57.4	59.6	Q983	57
Eritrea	63.8	68.2	Q986	58
Estonia	74.0	82.7	Q191	59
Eswatini	55.3	64.0	Q1050	60
Ethiopia	64.4	68.2	Q115	61
Faroe Islands	80.5	84.7	Q4628	62
Fiji	65.6	69.2	Q712	63
Finland	79.1	84.5	Q33	64
France	79.7	85.9	Q142	65
French Polynesia	75.4	79.7	Q30971	66
Gabon	64.2	68.3	Q1000	67
Gambia, The	60.4	63.2	Q1005	68
Georgia	69.2	78.0	Q230	69
Germany	78.6	83.3	Q183	70
