Country	SurveyYear	Infrastructure	ID	id_row
Afghanistan	2014	9.6	Q889	0
Albania	2019	1.9	Q222	1
Angola	2010	12.6	Q916	2
Antigua and Barbuda	2010	0.2	Q781	3
Argentina	2017	0.8	Q414	4
Armenia	2013	0.2	Q399	5
Azerbaijan	2013	1.0	Q227	6
Bahamas, The	2010	1.5	Q778	7
Bangladesh	2013	5.5	Q902	8
Barbados	2010	0.2	Q244	9
Belarus	2018	0.3	Q184	10
Belize	2010	0.1	Q242	11
Benin	2016	9.4	Q962	12
Bhutan	2015	3.7	Q917	13
Bolivia	2017	0.9	Q750	14
Bosnia and Herzegovina	2019	0.8	Q225	15
Botswana	2010	3.7	Q963	16
Brazil	2009	3.4	Q155	17
Bulgaria	2019	0.9	Q219	18
Burkina Faso	2009	5.8	Q965	19
Burundi	2014	3.4	Q967	20
Cambodia	2016	3.6	Q424	21
Cameroon	2016	9.9	Q1009	22
Cabo Verde	2009	5.5	Q1011	23
Central African Republic	2011	25.1	Q929	24
Chad	2018	9.8	Q657	25
Chile	2010	1.3	Q298	26
China	2012	1.3	Q148	27
Colombia	2017	1.9	Q739	28
Congo, Dem. Rep.	2013	7.8	Q974	29
Congo, Rep.	2009	16.4	Q971	30
Costa Rica	2010	1.7	Q800	31
Cote d'Ivoire	2016	4.9	Q1008	32
Croatia	2019	0.8	Q224	33
Cyprus	2019	1.7	Q229	34
Czech Republic	2019	0.3	Q213	35
Djibouti	2013	4.6	Q977	36
Dominica	2010	0.1	Q784	37
Dominican Republic	2016	3.1	Q786	38
Ecuador	2017	1.1	Q736	39
Egypt, Arab Rep.	2016	4.3	Q79	40
El Salvador	2016	1.1	Q792	41
Eritrea	2009	0.2	Q986	42
Estonia	2019	0.1	Q191	43
Ethiopia	2015	6.9	Q115	44
Fiji	2009	4.9	Q712	45
Gabon	2009	1.7	Q1000	46
Gambia, The	2018	14.2	Q1005	47
Georgia	2019	0.5	Q230	48
Ghana	2013	15.8	Q117	49
Greece	2018	0.3	Q41	50
Grenada	2010	1.0	Q769	51
Guatemala	2017	1.4	Q774	52
Guinea	2016	4.7	Q1006	53
Guinea-Bissau	2006	5.2	Q1007	54
Guyana	2010	2.8	Q734	55
Honduras	2016	3.7	Q783	56
Hungary	2019	0.2	Q28	57
India	2014	3.7	Q668	58
Indonesia	2015	1.9	Q252	59
Iraq	2011	8.8	Q796	60
Israel	2013	0.1	Q801	61
Italy	2019	1.2	Q38	62
Jamaica	2010	0.2	Q766	63
Jordan	2019	0.3	Q810	64
Kazakhstan	2019	1.7	Q232	65
Kenya	2018	5.4	Q114	66
Kosovo	2019	3.7	Q1246	67
Kyrgyz Republic	2019	1.1	Q813	68
Lao PDR	2018	0.9	Q819	69
Latvia	2019	0.4	Q211	70
Lebanon	2019	0.7	Q822	71
Lesotho	2016	2.5	Q1013	72
Liberia	2017	6.1	Q1014	73
Lithuania	2019	1.1	Q37	74
North Macedonia	2019	1.9	Q221	75
Madagascar	2013	13.6	Q1019	76
Malawi	2014	7.2	Q1020	77
Malaysia	2015	1.8	Q833	78
Mali	2016	8.8	Q912	79
Malta	2019	0.5	Q233	80
Mauritania	2014	2.4	Q1025	81
Mauritius	2009	2.2	Q1027	82
Mexico	2010	3.4	Q96	83
Micronesia, Fed. Sts.	2009	2.6	Q702	84
Moldova	2019	1.1	Q217	85
Mongolia	2019	0.2	Q711	86
Montenegro	2019	2.4	Q236	87
Morocco	2019	7.9	Q1028	88
Mozambique	2018	3.2	Q1029	89
Myanmar	2016	2.5	Q836	90
Namibia	2014	4.8	Q1030	91
Nepal	2013	17.0	Q837	92
Nicaragua	2016	2.7	Q811	93
Niger	2017	5.5	Q1032	94
Nigeria	2014	15.6	Q1033	95
Pakistan	2013	33.8	Q843	96
Panama	2010	2.1	Q804	97
Papua New Guinea	2015	4.7	Q691	98
Paraguay	2017	2.5	Q733	99
Peru	2017	2.1	Q419	100
Philippines	2015	0.8	Q928	101
Poland	2019	0.5	Q36	102
Portugal	2019	0.5	Q45	103
Romania	2013	1.3	Q218	104
Russian Federation	2019	0.3	Q159	105
Rwanda	2019	2.4	Q1037	106
Samoa	2009	6.6	Q683	107
Senegal	2014	2.8	Q1041	108
Serbia	2019	0.9	Q403	109
Sierra Leone	2017	15.8	Q1044	110
Slovak Republic	2019	0.6	Q214	111
Slovenia	2019	0.4	Q215	112
Solomon Islands	2015	4.3	Q685	113
South Africa	2007	1.6	Q258	114
South Sudan	2014	13.6	Q958	115
Sri Lanka	2011	3.0	Q854	116
St. Kitts and Nevis	2010	2.1	Q763	117
St. Lucia	2010	0.0	Q760	118
St. Vincent and the Grenadines	2010	0.8	Q757	119
Sudan	2014	1.2	Q1049	120
Suriname	2018	1.1	Q730	121
Eswatini	2016	7.0	Q1050	122
Tajikistan	2019	0.6	Q863	123
Tanzania	2013	15.1	Q924	124
Thailand	2016	4.1	Q869	125
Timor-Leste	2015	9.4	Q574	126
Togo	2016	3.7	Q945	127
Tonga	2009	1.5	Q678	128
Trinidad and Tobago	2010	0.4	Q754	129
Tunisia	2013	2.0	Q948	130
Turkey	2019	1.8	Q43	131
Uganda	2013	11.2	Q1036	132
Ukraine	2019	0.8	Q212	133
Uruguay	2017	0.3	Q77	134
Uzbekistan	2019	3.0	Q265	135
Vanuatu	2009	1.1	Q686	136
Venezuela, RB	2010	8.3	Q717	137
Vietnam	2015	2.2	Q881	138
West Bank and Gaza	2019	7.6	Q407199	139
Yemen, Rep.	2013	19.7	Q805	140
Zambia	2019	18.8	Q953	141
Zimbabwe	2016	6.1	Q954	142
