Country	Mathematics	Science	ID	id_row
Albania	17.0	2.0	Q222	0
Algeria	51.0	4.0	Q262	1
Argentina	40.0	5.0	Q414	2
Australia	8.0	1.0	Q408	3
Austria	7.0	1.0	Q40	4
Belarus	11.0	1.0	Q184	5
Belgium	7.0	1.0	Q31	6
Bosnia and Herzegovina	29.0	3.0	Q225	7
Brazil	41.0	4.0	Q155	8
Brunei Darussalam	22.0	2.0	Q921	9
Bulgaria	22.0	3.0	Q219	10
Canada	5.0	0.0	Q16	11
Chile	25.0	1.0	Q298	12
China	0.0	0.0	Q148	13
Hong Kong SAR, China	3.0	0.0	Q8646	14
Macao SAR, China	1.0	0.0	Q14773	15
Colombia	36.0	2.0	Q739	16
Costa Rica	28.0	1.0	Q800	17
Croatia	11.0	1.0	Q224	18
Cyprus	17.0	2.0	Q229	19
Czech Republic	7.0	0.0	Q213	20
Denmark	4.0	1.0	Q35	21
Dominican Republic	69.0	14.0	Q786	22
Estonia	2.0	0.0	Q191	23
Finland	4.0	0.0	Q33	24
France	8.0	1.0	Q142	25
Georgia	34.0	6.0	Q230	26
Germany	8.0	1.0	Q183	27
Greece	15.0	1.0	Q41	28
Hungary	10.0	1.0	Q28	29
Iceland	7.0	0.0	Q189	30
Indonesia	41.0	2.0	Q252	31
Ireland	4.0	0.0	Q27	32
Israel	18.0	3.0	Q801	33
Italy	9.0	1.0	Q38	34
Japan	3.0	0.0	Q17	35
Jordan	31.0	3.0	Q810	36
Kazakhstan	22.0	2.0	Q232	37
Korea, Rep.	5.0	0.0	Q884	38
Kosovo	47.0	4.0	Q1246	39
Latvia	4.0	0.0	Q211	40
Lebanon	38.0	9.0	Q822	41
Lithuania	9.0	0.0	Q37	42
Luxembourg	11.0	1.0	Q32	43
Malaysia	16.0	1.0	Q833	44
Malta	14.0	3.0	Q233	45
Mexico	26.0	1.0	Q96	46
Moldova	26.0	2.0	Q217	47
Montenegro	20.0	2.0	Q236	48
Morocco	47.0	3.0	Q1028	49
Netherlands	5.0	1.0	Q55	50
New Zealand	8.0	1.0	Q664	51
North Macedonia	35.0	5.0	Q221	52
Norway	6.0	1.0	Q20	53
Panama	54.0	10.0	Q804	54
Peru	32.0	3.0	Q419	55
Philippines	54.0	7.0	Q928	56
Poland	4.0	0.0	Q36	57
Portugal	9.0	0.0	Q45	58
Qatar	30.0	5.0	Q846	59
Romania	23.0	3.0	Q218	60
Russian Federation	7.0	0.0	Q159	61
Saudi Arabia	43.0	5.0	Q851	62
Serbia	18.0	2.0	Q403	63
Singapore	2.0	0.0	Q334	64
Slovak Republic	11.0	1.0	Q214	65
Slovenia	5.0	0.0	Q215	66
Spain	9.0	1.0	Q29	67
Sweden	6.0	1.0	Q34	68
Switzerland	5.0	0.0	Q39	69
Thailand	25.0	1.0	Q869	70
Trinidad and Tobago	28.0	3.0	Q754	71
Tunisia	47.0	2.0	Q948	72
Turkey	14.0	0.0	Q43	73
Ukraine	16.0	1.0	Q212	74
United Arab Emirates	24.0	4.0	Q878	75
United Kingdom	6.0	1.0	Q145	76
United States	10.0	1.0	Q30	77
Uruguay	25.0	2.0	Q77	78
Vietnam	3.0	0.0	Q881	79
