Country	Manufactoring	ID	id_row
Albania	5.0	Q222	0
Argentina	15.0	Q414	1
Australia	8.0	Q408	2
Austria	7.0	Q40	3
Azerbaijan	6.0	Q227	4
Bahamas, The	28.0	Q778	5
Bahrain	19.0	Q398	6
Bangladesh	11.0	Q902	7
Belgium	20.0	Q31	8
Bermuda	4.0	Q23635	9
Bolivia	4.0	Q750	10
Brazil	12.0	Q155	11
Bulgaria	11.0	Q219	12
Cambodia	0.0	Q424	13
Cameroon	2.0	Q1009	14
Canada	8.0	Q16	15
China	12.0	Q148	16
Hong Kong SAR, China	4.0	Q8646	17
Macao SAR, China	2.0	Q14773	18
Colombia	16.0	Q739	19
Congo, Dem. Rep.	3.0	Q974	20
Congo, Rep.	3.0	Q971	21
Costa Rica	12.0	Q800	22
Croatia	11.0	Q224	23
Cyprus	6.0	Q229	24
Czech Republic	7.0	Q213	25
Denmark	10.0	Q35	26
Ecuador	10.0	Q736	27
Egypt, Arab Rep.	21.0	Q79	28
El Salvador	16.0	Q792	29
Eritrea	6.0	Q986	30
Estonia	4.0	Q191	31
Ethiopia	5.0	Q115	32
Fiji	7.0	Q712	33
Finland	5.0	Q33	34
France	12.0	Q142	35
Georgia	7.0	Q230	36
Germany	10.0	Q183	37
Greece	10.0	Q41	38
Hungary	10.0	Q28	39
Iceland	4.0	Q189	40
India	21.0	Q668	41
Indonesia	11.0	Q252	42
Iran, Islamic Rep.	19.0	Q794	43
Ireland	36.0	Q27	44
Israel	10.0	Q801	45
Italy	8.0	Q38	46
Japan	10.0	Q17	47
Jordan	18.0	Q810	48
Kenya	5.0	Q114	49
Korea, Rep.	10.0	Q884	50
Kuwait	3.0	Q817	51
Kyrgyz Republic	1.0	Q813	52
Lao PDR	2.0	Q819	53
Latvia	3.0	Q211	54
Lebanon	6.0	Q822	55
Lithuania	3.0	Q37	56
Luxembourg	6.0	Q32	57
Madagascar	2.0	Q1019	58
Malawi	9.0	Q1020	59
Malaysia	8.0	Q833	60
Malta	2.0	Q233	61
Mexico	15.0	Q96	62
Mongolia	2.0	Q711	63
Morocco	12.0	Q1028	64
Nepal	10.0	Q837	65
Netherlands	14.0	Q55	66
New Zealand	3.0	Q664	67
Niger	51.0	Q1032	68
North Macedonia	6.0	Q221	69
Norway	13.0	Q20	70
Oman	5.0	Q842	71
Pakistan	17.0	Q843	72
Panama	7.0	Q804	73
Papua New Guinea	3.0	Q691	74
Paraguay	10.0	Q733	75
Peru	11.0	Q419	76
Philippines	10.0	Q928	77
Poland	8.0	Q36	78
Portugal	5.0	Q45	79
Puerto Rico	60.0	Q1183	80
Qatar	21.0	Q846	81
Romania	5.0	Q218	82
Russian Federation	9.0	Q159	83
Rwanda	6.0	Q1037	84
Saudi Arabia	42.0	Q851	85
Senegal	24.0	Q1041	86
Serbia	11.0	Q403	87
Singapore	14.0	Q334	88
Slovak Republic	7.0	Q214	89
Slovenia	11.0	Q215	90
South Africa	7.0	Q258	91
Spain	10.0	Q29	92
Sri Lanka	4.0	Q854	93
Sudan	4.0	Q1049	94
Sweden	9.0	Q34	95
Switzerland	16.0	Q39	96
Tanzania	7.0	Q924	97
Thailand	6.0	Q869	98
Trinidad and Tobago	27.0	Q754	99
Tunisia	10.0	Q948	100
Turkey	10.0	Q43	101
Uganda	11.0	Q1036	102
United Kingdom	10.0	Q145	103
United States	12.0	Q30	104
Uruguay	8.0	Q77	105
Venezuela, RB	34.0	Q717	106
Vietnam	6.0	Q881	107
West Bank and Gaza	4.0	Q407199	108
Yemen, Rep.	5.0	Q805	109
