Country	Manufactoring	ID	id_row
Albania	27.0	Q222	0
Argentina	8.0	Q414	1
Australia	5.0	Q408	2
Austria	4.0	Q40	3
Azerbaijan	3.0	Q227	4
Bahamas, The	2.0	Q778	5
Bahrain	3.0	Q398	6
Bangladesh	40.0	Q902	7
Belgium	5.0	Q31	8
Bermuda	2.0	Q23635	9
Bolivia	5.0	Q750	10
Botswana	5.0	Q963	11
Brazil	7.0	Q155	12
Bulgaria	14.0	Q219	13
Cambodia	87.0	Q424	14
Cameroon	19.0	Q1009	15
Canada	4.0	Q16	16
China	11.0	Q148	17
Hong Kong SAR, China	20.0	Q8646	18
Macao SAR, China	79.0	Q14773	19
Colombia	11.0	Q739	20
Congo, Dem. Rep.	3.0	Q974	21
Congo, Rep.	3.0	Q971	22
Costa Rica	6.0	Q800	23
Croatia	5.0	Q224	24
Cyprus	7.0	Q229	25
Czech Republic	6.0	Q213	26
Denmark	2.0	Q35	27
Ecuador	5.0	Q736	28
Egypt, Arab Rep.	16.0	Q79	29
El Salvador	28.0	Q792	30
Eritrea	12.0	Q986	31
Estonia	15.0	Q191	32
Ethiopia	12.0	Q115	33
Fiji	20.0	Q712	34
Finland	2.0	Q33	35
France	4.0	Q142	36
Georgia	1.0	Q230	37
Germany	2.0	Q183	38
Ghana	4.0	Q117	39
Greece	12.0	Q41	40
Hungary	5.0	Q28	41
Iceland	3.0	Q189	42
India	13.0	Q668	43
Indonesia	17.0	Q252	44
Iran, Islamic Rep.	6.0	Q794	45
Ireland	1.0	Q27	46
Israel	5.0	Q801	47
Italy	12.0	Q38	48
Japan	3.0	Q17	49
Jordan	7.0	Q810	50
Kenya	8.0	Q114	51
Korea, Rep.	8.0	Q884	52
Kuwait	4.0	Q817	53
Kyrgyz Republic	2.0	Q813	54
Lao PDR	20.0	Q819	55
Latvia	11.0	Q211	56
Lebanon	10.0	Q822	57
Lithuania	18.0	Q37	58
Luxembourg	9.0	Q32	59
Madagascar	35.0	Q1019	60
Malawi	5.0	Q1020	61
Malaysia	4.0	Q833	62
Malta	10.0	Q233	63
Mauritius	52.0	Q1027	64
Mexico	4.0	Q96	65
Moldova	9.0	Q217	66
Mongolia	40.0	Q711	67
Morocco	18.0	Q1028	68
Nepal	19.0	Q837	69
Netherlands	2.0	Q55	70
Niger	9.0	Q1032	71
North Macedonia	15.0	Q221	72
Norway	1.0	Q20	73
Oman	5.0	Q842	74
Pakistan	33.0	Q843	75
Panama	5.0	Q804	76
Papua New Guinea	1.0	Q691	77
Paraguay	6.0	Q733	78
Peru	16.0	Q419	79
Philippines	7.0	Q928	80
Poland	6.0	Q36	81
Portugal	18.0	Q45	82
Puerto Rico	3.0	Q1183	83
Qatar	8.0	Q846	84
Romania	12.0	Q218	85
Russian Federation	2.0	Q159	86
Rwanda	2.0	Q1037	87
Saudi Arabia	2.0	Q851	88
Senegal	4.0	Q1041	89
Serbia	6.0	Q403	90
Singapore	1.0	Q334	91
Slovak Republic	4.0	Q214	92
Slovenia	8.0	Q215	93
South Africa	5.0	Q258	94
Spain	7.0	Q29	95
Sri Lanka	31.0	Q854	96
Sudan	4.0	Q1049	97
Sweden	1.0	Q34	98
Switzerland	2.0	Q39	99
Syrian Arab Republic	108.0	Q858	100
Tanzania	0.0	Q924	101
Thailand	12.0	Q869	102
Trinidad and Tobago	1.0	Q754	103
Tunisia	35.0	Q948	104
Turkey	16.0	Q43	105
Uganda	4.0	Q1036	106
United Kingdom	4.0	Q145	107
United States	3.0	Q30	108
Uruguay	9.0	Q77	109
Venezuela, RB	2.0	Q717	110
Vietnam	21.0	Q881	111
West Bank and Gaza	21.0	Q407199	112
Yemen, Rep.	4.0	Q805	113
