Country	Manufactoring	ID	id_row
Albania	3.0	Q222	0
Argentina	11.0	Q414	1
Australia	15.0	Q408	2
Austria	25.0	Q40	3
Azerbaijan	11.0	Q227	4
Bangladesh	3.0	Q902	5
Belgium	19.0	Q31	6
Bermuda	11.0	Q23635	7
Bolivia	0.0	Q750	8
Brazil	19.0	Q155	9
Bulgaria	14.0	Q219	10
Cambodia	0.0	Q424	11
Cameroon	1.0	Q1009	12
Canada	32.0	Q16	13
China	14.0	Q148	14
Hong Kong SAR, China	12.0	Q8646	15
Macao SAR, China	3.0	Q14773	16
Colombia	4.0	Q739	17
Congo, Dem. Rep.	7.0	Q974	18
Congo, Rep.	7.0	Q971	19
Costa Rica	3.0	Q800	20
Cyprus	4.0	Q229	21
Czech Republic	24.0	Q213	22
Denmark	20.0	Q35	23
Ecuador	2.0	Q736	24
Egypt, Arab Rep.	12.0	Q79	25
El Salvador	2.0	Q792	26
Eritrea	1.0	Q986	27
Estonia	11.0	Q191	28
Ethiopia	7.0	Q115	29
Fiji	1.0	Q712	30
Finland	33.0	Q33	31
France	26.0	Q142	32
Georgia	12.0	Q230	33
Germany	33.0	Q183	34
Ghana	0.0	Q117	35
Greece	12.0	Q41	36
Hungary	27.0	Q28	37
Iceland	8.0	Q189	38
India	16.0	Q668	39
Indonesia	20.0	Q252	40
Iran, Islamic Rep.	20.0	Q794	41
Ireland	20.0	Q27	42
Israel	32.0	Q801	43
Italy	23.0	Q38	44
Japan	34.0	Q17	45
Jordan	3.0	Q810	46
Kenya	2.0	Q114	47
Korea, Rep.	41.0	Q884	48
Kuwait	2.0	Q817	49
Kyrgyz Republic	2.0	Q813	50
Lao PDR	8.0	Q819	51
Latvia	8.0	Q211	52
Lebanon	3.0	Q822	53
Lithuania	12.0	Q37	54
Luxembourg	9.0	Q32	55
Madagascar	0.0	Q1019	56
Malawi	0.0	Q1020	57
Malaysia	38.0	Q833	58
Malta	37.0	Q233	59
Mauritius	1.0	Q1027	60
Mexico	24.0	Q96	61
Moldova	5.0	Q217	62
Mongolia	0.0	Q711	63
Morocco	4.0	Q1028	64
Nepal	1.0	Q837	65
Netherlands	21.0	Q55	66
New Zealand	9.0	Q664	67
North Macedonia	9.0	Q221	68
Norway	23.0	Q20	69
Oman	1.0	Q842	70
Pakistan	5.0	Q843	71
Panama	3.0	Q804	72
Papua New Guinea	9.0	Q691	73
Paraguay	0.0	Q733	74
Peru	3.0	Q419	75
Philippines	23.0	Q928	76
Poland	15.0	Q36	77
Portugal	16.0	Q45	78
Puerto Rico	9.0	Q1183	79
Qatar	0.0	Q846	80
Romania	13.0	Q218	81
Russian Federation	19.0	Q159	82
Senegal	1.0	Q1041	83
Serbia	10.0	Q403	84
Singapore	57.0	Q334	85
Slovak Republic	20.0	Q214	86
Slovenia	17.0	Q215	87
South Africa	14.0	Q258	88
Spain	19.0	Q29	89
Sri Lanka	4.0	Q854	90
Sudan	4.0	Q1049	91
Sweden	35.0	Q34	92
Switzerland	21.0	Q39	93
Tanzania	2.0	Q924	94
Thailand	26.0	Q869	95
Trinidad and Tobago	0.0	Q754	96
Tunisia	3.0	Q948	97
Turkey	15.0	Q43	98
United Kingdom	25.0	Q145	99
United States	30.0	Q30	100
Uruguay	3.0	Q77	101
Vietnam	12.0	Q881	102
West Bank and Gaza	1.0	Q407199	103
Yemen, Rep.	1.0	Q805	104
