Country	averageannualgrowth9000	averageannualgrowth0019	ID	id_row
Antigua and Barbuda	0.6	2.4	Q781	0
Argentina	2.5	2.4	Q414	1
Australia	1.9	-0.2	Q408	2
Austria	2.5	2.3	Q40	3
Azerbaijan	-15.7	5.0	Q227	4
Bahamas, The	1.2	0.9	Q778	5
Bangladesh	7.2	9.0	Q902	6
Belarus	-0.8	6.3	Q184	7
Belgium	3.6	0.5	Q31	8
Belize	2.4	0.2	Q242	9
Benin	5.7	1.3	Q962	10
Bhutan	8.9	8.3	Q917	11
Bolivia	3.8	4.5	Q750	12
Botswana	7.9	5.0	Q963	13
Brazil	0.4	0.7	Q155	14
Brunei Darussalam	3.4	-0.2	Q921	15
Burkina Faso	5.4	4.7	Q965	16
Cabo Verde	9.7	3.3	Q1011	17
Cambodia	19.9	9.3	Q424	18
Cameroon	-2.1	4.0	Q1009	19
Chile	5.0	2.0	Q298	20
Colombia	0.3	2.8	Q739	21
Congo, Dem. Rep.	-8.7	2.3	Q974	22
Congo, Rep.	-4.3	8.4	Q971	23
Costa Rica	4.0	1.3	Q800	24
Croatia	4.0	0.1	Q224	25
Cuba	0.2	2.6	Q241	26
Cyprus	0.1	-1.3	Q229	27
Czech Republic	7.5	5.2	Q213	28
Denmark	2.8	1.1	Q35	29
Dominica	1.6	-4.0	Q784	30
Dominican Republic	6.3	3.0	Q786	31
Ecuador	2.3	2.8	Q736	32
El Salvador	4.0	1.4	Q792	33
Estonia	8.1	3.8	Q191	34
Eswatini	2.8	3.2	Q1050	35
Ethiopia	3.7	11.6	Q115	36
Fiji	4.9	1.9	Q712	37
Finland	6.9	0.1	Q33	38
France	2.6	0.6	Q142	39
Gabon	3.0	13.2	Q1000	40
Gambia, The	1.3	1.4	Q1005	41
Germany	0.1	1.8	Q183	42
Greece	3.1	-2.3	Q41	43
Grenada	5.6	0.4	Q769	44
Guatemala	2.8	2.8	Q774	45
Guyana	3.0	7.4	Q734	46
Haiti	-5.8	1.8	Q790	47
Honduras	4.1	3.2	Q783	48
Hungary	8.3	2.0	Q28	49
Iceland	3.5	2.7	Q189	50
India	6.9	7.6	Q668	51
Indonesia	6.7	4.6	Q252	52
Iran, Islamic Rep.	5.4	4.8	Q794	53
Iraq	9.6	-1.1	Q796	54
Ireland	13.7	5.4	Q27	55
Israel	6.9	1.7	Q801	56
Italy	1.6	-0.3	Q38	57
Jamaica	-2.2	-0.6	Q766	58
Japan	1.3	1.4	Q17	59
Jordan	5.2	5.1	Q810	60
Kenya	1.3	3.4	Q114	61
Kiribati	2.0	0.7	Q710	62
Korea, Rep.	8.6	4.7	Q884	63
Kyrgyz Republic	-7.5	1.4	Q813	64
Latvia	5.4	1.2	Q211	65
Lebanon	5.7	2.9	Q822	66
Lesotho	7.1	1.6	Q1013	67
Lithuania	7.1	4.7	Q37	68
Luxembourg	3.8	-1.3	Q32	69
Malawi	0.5	6.4	Q1020	70
Malaysia	9.5	4.2	Q833	71
Maldives	9.7	2.7	Q826	72
Mauritania	0.6	2.6	Q1025	73
Mauritius	5.3	1.6	Q1027	74
Mexico	4.1	1.4	Q96	75
Micronesia, Fed. Sts.	3.1	-7.6	Q702	76
Moldova	-7.1	2.4	Q217	77
Mongolia	-6.6	6.2	Q711	78
Morocco	2.6	3.0	Q1028	79
Mozambique	10.2	4.4	Q1029	80
Namibia	2.6	3.6	Q1030	81
Nepal	8.9	2.0	Q837	82
Netherlands	2.9	1.2	Q55	83
New Zealand	2.3	0.2	Q664	84
Nicaragua	3.5	4.8	Q811	85
Niger	1.3	5.3	Q1032	86
Nigeria	-4.1	5.1	Q1033	87
North Macedonia	-5.6	4.3	Q221	88
Norway	1.7	1.0	Q20	89
Pakistan	3.8	5.3	Q843	90
Panama	3.1	3.0	Q804	91
Paraguay	1.9	3.1	Q733	92
Peru	3.8	4.1	Q419	93
Philippines	3.0	4.4	Q928	94
Poland	0.4	7.2	Q36	95
Portugal	4.2	0.2	Q45	96
Romania	-1.7	3.6	Q218	97
Samoa	-1.9	-3.7	Q683	98
Saudi Arabia	4.2	6.1	Q851	99
Serbia	4.4	1.5	Q403	100
Seychelles	8.3	0.7	Q1042	101
Sierra Leone	-3.3	3.2	Q1044	102
Singapore	7.0	5.1	Q334	103
Slovak Republic	7.6	7.5	Q214	104
Slovenia	5.0	2.3	Q215	105
South Africa	1.6	1.6	Q258	106
Spain	5.2	-0.6	Q29	107
Sri Lanka	8.1	4.2	Q854	108
St. Kitts and Nevis	4.3	-1.3	Q763	109
St. Lucia	-0.9	3.2	Q760	110
St. Vincent and the Grenadines	0.2	-0.7	Q757	111
Sudan	7.2	9.0	Q1049	112
Suriname	-1.3	1.6	Q730	113
Sweden	6.7	0.7	Q34	114
Switzerland	1.4	2.4	Q39	115
Tanzania	2.8	7.8	Q924	116
Thailand	3.5	3.4	Q869	117
Togo	1.8	7.7	Q945	118
Tonga	-1.1	0.3	Q678	119
Tunisia	5.7	2.2	Q948	120
Turkey	4.7	6.1	Q43	121
Uganda	14.2	6.1	Q1036	122
Ukraine	-11.2	-0.1	Q212	123
United Kingdom	1.2	-0.1	Q145	124
Uruguay	-0.1	3.4	Q77	125
Venezuela, RB	4.5	0.3	Q717	126
Vietnam	11.2	7.6	Q881	127
West Bank and Gaza	-3.4	5.0	Q407199	128
Zambia	1.0	5.1	Q953	129
Zimbabwe	0.4	2.6	Q954	130
