Country	exports2010	exports2019	ID	id_row
Afghanistan	10.8	17.1	Q889	0
Albania	2.4	0.3	Q222	1
Algeria	0.0	0.1	Q262	2
Andorra	1.7	1.6	Q228	3
Angola	0.0	0.3	Q916	4
Antigua and Barbuda	0.0	0.0	Q781	5
Argentina	1.2	0.9	Q414	6
Armenia	1.1	0.4	Q399	7
Aruba	0.2	0.1	Q21203	8
Australia	2.2	2.3	Q408	9
Austria	1.8	1.6	Q40	10
Azerbaijan	0.1	0.7	Q227	11
Bahrain	0.0	0.1	Q398	12
Barbados	0.5	0.2	Q244	13
Belarus	2.0	2.5	Q184	14
Belgium	1.4	1.3	Q31	15
Belize	1.4	1.0	Q242	16
Benin	26.7	56.6	Q962	17
Bermuda	0.0	0.0	Q23635	18
Bolivia	1.1	0.5	Q750	19
Bosnia and Herzegovina	5.9	4.6	Q225	20
Botswana	0.2	0.1	Q963	21
Brazil	3.9	5.5	Q155	22
Brunei Darussalam	0.0	0.0	Q921	23
Bulgaria	1.4	1.3	Q219	24
Burkina Faso	55.9	28.6	Q965	25
Burundi	4.9	0.1	Q967	26
Cabo Verde	0.0	0.0	Q1011	27
Cambodia	2.3	1.9	Q424	28
Cameroon	14.8	21.3	Q1009	29
Canada	4.3	3.9	Q16	30
Central African Republic	36.4	12.5	Q929	31
Chile	5.0	5.9	Q298	32
China	0.5	0.4	Q148	33
Hong Kong SAR, China	2.7	0.1	Q8646	34
Macao SAR, China	0.0	2.9	Q14773	35
Colombia	3.5	3.9	Q739	36
Comoros	0.5	0.0	Q970	37
Congo, Rep.	1.3	5.8	Q971	38
Costa Rica	2.7	1.9	Q800	39
Cote d'Ivoire	9.6	11.7	Q1008	40
Croatia	3.6	4.4	Q224	41
Cyprus	1.7	1.1	Q229	42
Czech Republic	1.4	1.3	Q213	43
Denmark	2.9	2.5	Q35	44
Dominican Republic	1.0	0.9	Q786	45
Ecuador	4.2	4.8	Q736	46
Egypt, Arab Rep.	3.0	1.8	Q79	47
El Salvador	0.7	0.8	Q792	48
Estonia	5.1	5.4	Q191	49
Eswatini	2.2	5.1	Q1050	50
Ethiopia	3.0	2.0	Q115	51
Fiji	4.4	1.4	Q712	52
Finland	5.9	7.9	Q33	53
France	0.9	0.9	Q142	54
Gambia, The	0.0	3.1	Q1005	55
Georgia	1.1	0.8	Q230	56
Germany	0.9	0.8	Q183	57
Ghana	6.9	2.1	Q117	58
Greece	2.5	2.1	Q41	59
Greenland	0.0	0.0	Q223	60
Guatemala	4.2	2.8	Q774	61
Guyana	5.3	2.8	Q734	62
Honduras	1.3	1.3	Q783	63
Hungary	0.7	0.7	Q28	64
Iceland	0.6	0.5	Q189	65
India	2.0	1.0	Q668	66
Indonesia	6.5	4.7	Q252	67
Iran, Islamic Rep.	0.3	0.3	Q794	68
Ireland	0.5	0.4	Q27	69
Israel	0.8	0.6	Q801	70
Italy	0.7	0.7	Q38	71
Jamaica	0.2	0.1	Q766	72
Japan	0.7	0.6	Q17	73
Jordan	0.2	0.3	Q810	74
Kazakhstan	0.2	0.3	Q232	75
Kenya	10.9	13.3	Q114	76
Korea, Rep.	0.9	0.9	Q884	77
Kuwait	0.1	0.0	Q817	78
Kyrgyz Republic	5.3	3.7	Q813	79
Lao PDR	2.1	8.2	Q819	80
Latvia	12.2	10.6	Q211	81
Lebanon	0.7	0.5	Q822	82
Lesotho	5.3	6.4	Q1013	83
Lithuania	2.3	3.0	Q37	84
Luxembourg	3.0	1.5	Q32	85
Madagascar	3.2	2.3	Q1019	86
Malawi	3.3	1.6	Q1020	87
Malaysia	2.6	1.3	Q833	88
Maldives	0.0	0.0	Q826	89
Mali	48.0	23.1	Q912	90
Malta	0.1	0.2	Q233	91
Mauritania	0.0	0.0	Q1025	92
Mauritius	0.5	1.2	Q1027	93
Mexico	0.4	0.2	Q96	94
Moldova	1.0	0.6	Q217	95
Montenegro	6.5	7.3	Q236	96
Morocco	1.7	1.0	Q1028	97
Mozambique	4.4	0.6	Q1029	98
Myanmar	8.8	1.9	Q836	99
Namibia	0.7	1.2	Q1030	100
Nepal	3.9	3.8	Q837	101
Netherlands	2.7	3.0	Q55	102
New Zealand	10.7	11.5	Q664	103
Nicaragua	1.2	0.8	Q811	104
Nigeria	1.6	0.1	Q1033	105
North Macedonia	0.5	0.4	Q221	106
Norway	0.5	0.7	Q20	107
Oman	0.0	0.0	Q842	108
Pakistan	1.8	0.9	Q843	109
Palau	0.9	0.2	Q695	110
Paraguay	2.1	1.5	Q733	111
Peru	1.3	0.9	Q419	112
Philippines	0.7	0.7	Q928	113
Poland	1.2	1.0	Q36	114
Portugal	3.1	2.3	Q45	115
Qatar	0.0	0.0	Q846	116
