Country	exports2010	exports2019	ID	id_row
Afghanistan	40.0	65.1	Q889	0
Albania	4.5	9.0	Q222	1
Algeria	0.6	1.0	Q262	2
Andorra	0.9	0.6	Q228	3
Angola	0.1	0.3	Q916	4
Antigua and Barbuda	50.7	77.9	Q781	5
Argentina	51.1	60.5	Q414	6
Armenia	16.7	35.0	Q399	7
Aruba	82.3	41.6	Q21203	8
Australia	11.3	12.5	Q408	9
Austria	6.9	7.5	Q40	10
Azerbaijan	2.8	3.9	Q227	11
Bahrain	1.9	3.4	Q398	12
Barbados	32.9	32.9	Q244	13
Belarus	12.6	14.9	Q184	14
Belgium	8.9	9.9	Q31	15
Belize	60.9	89.8	Q242	16
Benin	67.6	37.1	Q962	17
Bermuda	23.5	19.3	Q23635	18
Bolivia	15.3	17.8	Q750	19
Bosnia and Herzegovina	7.3	6.9	Q225	20
Botswana	5.1	1.7	Q963	21
Brazil	30.4	34.4	Q155	22
Brunei Darussalam	0.0	0.1	Q921	23
Bulgaria	16.1	14.7	Q219	24
Burkina Faso	33.3	42.3	Q965	25
Burundi	81.4	76.7	Q967	26
Cabo Verde	81.6	83.5	Q1011	27
Cambodia	1.4	5.2	Q424	28
Cameroon	24.4	21.8	Q1009	29
Canada	10.5	12.4	Q16	30
Central African Republic	1.5	1.4	Q929	31
Chile	16.8	26.5	Q298	32
China	2.8	2.9	Q148	33
Hong Kong SAR, China	6.8	2.2	Q8646	34
Macao SAR, China	0.2	34.1	Q14773	35
Colombia	11.9	14.2	Q739	36
Comoros	66.0	43.5	Q970	37
Congo, Rep.	0.5	0.3	Q971	38
Costa Rica	34.7	41.2	Q800	39
Cote d'Ivoire	49.5	57.8	Q1008	40
Croatia	11.3	13.9	Q224	41
Cyprus	34.4	31.2	Q229	42
Czech Republic	3.9	4.2	Q213	43
Denmark	18.3	19.6	Q35	44
Dominican Republic	27.5	27.8	Q786	45
Ecuador	30.0	46.8	Q736	46
Egypt, Arab Rep.	17.2	17.5	Q79	47
El Salvador	21.0	18.9	Q792	48
Estonia	9.9	10.0	Q191	49
Eswatini	30.5	28.7	Q1050	50
Ethiopia	77.5	91.0	Q115	51
Fiji	63.3	64.0	Q712	52
Finland	2.6	2.3	Q33	53
France	12.0	12.2	Q142	54
Gambia, The	89.0	52.1	Q1005	55
Georgia	21.0	31.9	Q230	56
Germany	5.5	5.5	Q183	57
Ghana	60.7	40.5	Q117	58
Greece	20.2	17.6	Q41	59
Greenland	87.7	92.3	Q223	60
Guatemala	42.1	48.2	Q774	61
Guyana	64.8	49.2	Q734	62
Honduras	57.3	64.8	Q783	63
Hungary	7.6	7.9	Q28	64
Iceland	41.4	46.8	Q189	65
India	8.3	10.4	Q668	66
Indonesia	16.4	20.7	Q252	67
Iran, Islamic Rep.	6.2	5.9	Q794	68
Ireland	9.1	9.0	Q27	69
Israel	3.0	3.1	Q801	70
Italy	7.9	9.2	Q38	71
Jamaica	24.6	22.5	Q766	72
Japan	0.6	1.0	Q17	73
Jordan	16.6	15.3	Q810	74
Kazakhstan	3.4	5.6	Q232	75
Kenya	47.9	51.2	Q114	76
Korea, Rep.	1.1	1.5	Q884	77
Kuwait	0.3	0.8	Q817	78
Kyrgyz Republic	30.0	16.8	Q813	79
Lao PDR	26.0	17.6	Q819	80
Latvia	16.8	20.9	Q211	81
Lebanon	14.9	23.8	Q822	82
Lesotho	16.6	3.8	Q1013	83
Lithuania	17.3	16.3	Q37	84
Luxembourg	8.3	9.2	Q32	85
Madagascar	26.7	37.7	Q1019	86
Malawi	76.4	89.7	Q1020	87
Malaysia	11.9	9.2	Q833	88
Maldives	96.2	98.2	Q826	89
Mali	29.8	38.4	Q912	90
Malta	5.2	8.4	Q233	91
Mauritania	16.8	50.7	Q1025	92
Mauritius	37.2	35.1	Q1027	93
Mexico	6.1	7.5	Q96	94
Moldova	72.0	57.5	Q217	95
Montenegro	12.3	11.8	Q236	96
Morocco	19.0	20.8	Q1028	97
Mozambique	15.7	11.2	Q1029	98
Myanmar	17.3	27.7	Q836	99
Namibia	25.3	31.7	Q1030	100
Nepal	20.2	26.1	Q837	101
Netherlands	13.5	15.7	Q55	102
New Zealand	55.8	65.7	Q664	103
Nicaragua	88.2	50.3	Q811	104
Nigeria	3.3	2.0	Q1033	105
North Macedonia	16.3	9.4	Q221	106
Norway	7.2	10.6	Q20	107
Oman	2.5	3.5	Q842	108
Pakistan	16.8	20.7	Q843	109
Palau	86.1	88.7	Q695	110
Paraguay	59.5	62.6	Q733	111
Peru	19.8	23.8	Q419	112
Philippines	7.4	8.8	Q928	113
Poland	10.8	13.3	Q36	114
Portugal	11.4	11.8	Q45	115
Qatar	0.0	0.0	Q846	116
Romania	8.1	10.3	Q218	117
Russian Federation	1.9	5.5	Q159	118
Samoa	21.0	62.1	Q683	119
Sao Tome and Principe	94.6	74.3	Q1039	120
Saudi Arabia	1.2	1.2	Q851	121
Senegal	29.7	38.4	Q1041	122
Seychelles	85.1	78.0	Q1042	123
Singapore	2.0	3.6	Q334	124
Slovak Republic	4.4	3.5	Q214	125
Slovenia	4.1	4.5	Q215	126
Solomon Islands	38.4	20.2	Q685	127
South Africa	10.0	11.5	Q258	128
Spain	15.1	16.5	Q29	129
Sri Lanka	26.9	26.0	Q854	130
St. Kitts and Nevis	11.5	13.3	Q763	131
St. Lucia	49.6	30.1	Q760	132
St. Vincent and the Grenadines	82.3	73.3	Q757	133
Suriname	2.4	23.6	Q730	134
Sweden	4.7	6.3	Q34	135
Switzerland	3.8	3.7	Q39	136
Tanzania	31.9	21.5	Q924	137
Thailand	13.2	13.7	Q869	138
Togo	18.1	22.4	Q945	139
Tunisia	7.7	10.6	Q948	140
Turkey	10.6	10.8	Q43	141
Uganda	66.8	65.7	Q1036	142
Ukraine	19.2	39.1	Q212	143
United Arab Emirates	1.7	4.6	Q878	144
United Kingdom	6.2	7.0	Q145	145
United States	9.8	9.4	Q30	146
Uruguay	61.9	59.8	Q77	147
Vietnam	19.3	10.6	Q881	148
Zambia	6.5	7.3	Q953	149
Zimbabwe	25.2	31.2	Q954	150
