Country	exports2010	exports2019	ID	id_row
Afghanistan	19.6	3.5	Q889	0
Albania	62.1	41.6	Q222	1
Algeria	1.8	4.3	Q262	2
Andorra	92.3	94.2	Q228	3
Angola	1.4	4.4	Q916	4
Antigua and Barbuda	47.6	22.0	Q781	5
Argentina	33.2	17.4	Q414	6
Armenia	24.2	21.3	Q399	7
Aruba	13.7	44.1	Q21203	8
Australia	16.6	13.2	Q408	9
Austria	80.3	81.4	Q40	10
Azerbaijan	2.5	3.1	Q227	11
Bahrain	5.6	20.3	Q398	12
Barbados	64.0	59.7	Q244	13
Belarus	53.0	53.4	Q184	14
Belgium	75.0	77.3	Q31	15
Belize	1.4	3.6	Q242	16
Benin	4.7	6.1	Q962	17
Bermuda	69.8	75.2	Q23635	18
Bolivia	6.4	5.2	Q750	19
Bosnia and Herzegovina	57.0	73.1	Q225	20
Botswana	79.5	97.0	Q963	21
Brazil	36.6	33.4	Q155	22
Brunei Darussalam	4.5	4.3	Q921	23
Bulgaria	49.2	58.1	Q219	24
Burkina Faso	9.1	9.7	Q965	25
Burundi	6.0	10.3	Q967	26
Cabo Verde	17.5	16.5	Q1011	27
Cambodia	96.1	92.6	Q424	28
Cameroon	7.5	9.4	Q1009	29
Canada	49.0	49.4	Q16	30
Central African Republic	3.2	65.1	Q929	31
Chile	12.6	14.1	Q298	32
China	93.6	93.4	Q148	33
Hong Kong SAR, China	76.8	96.4	Q8646	34
Macao SAR, China	43.3	35.3	Q14773	35
Colombia	22.5	20.7	Q739	36
Comoros	32.6	56.1	Q970	37
Congo, Rep.	30.5	8.3	Q971	38
Costa Rica	60.9	55.4	Q800	39
Cote d'Ivoire	16.2	10.4	Q1008	40
Croatia	67.8	66.3	Q224	41
Cyprus	50.2	32.7	Q229	42
Czech Republic	86.4	91.3	Q213	43
Denmark	60.5	69.8	Q35	44
Dominican Republic	67.7	69.2	Q786	45
Ecuador	9.8	6.1	Q736	46
Egypt, Arab Rep.	43.4	48.5	Q79	47
El Salvador	73.4	75.7	Q792	48
Estonia	62.5	71.8	Q191	49
Eswatini	65.6	65.2	Q1050	50
Ethiopia	16.1	5.9	Q115	51
Fiji	30.0	32.4	Q712	52
Finland	76.6	67.4	Q33	53
France	78.4	80.1	Q142	54
Gambia, The	1.0	44.2	Q1005	55
Georgia	48.4	33.3	Q230	56
Germany	84.2	85.1	Q183	57
Ghana	20.7	5.5	Q117	58
Greece	40.8	37.8	Q41	59
Greenland	7.2	4.5	Q223	60
Guatemala	42.7	43.6	Q774	61
Guyana	7.2	26.7	Q734	62
Honduras	25.3	30.4	Q783	63
Hungary	82.6	86.9	Q28	64
Iceland	14.6	15.3	Q189	65
India	63.8	71.5	Q668	66
Indonesia	37.5	44.7	Q252	67
Iran, Islamic Rep.	15.6	19.7	Q794	68
Ireland	84.8	88.5	Q27	69
Israel	93.3	91.8	Q801	70
Italy	82.4	82.3	Q38	71
Jamaica	40.4	51.1	Q766	72
Japan	89.0	87.7	Q17	73
Jordan	73.6	74.9	Q810	74
Kazakhstan	12.2	13.8	Q232	75
Kenya	34.7	28.4	Q114	76
Korea, Rep.	89.0	87.7	Q884	77
Kuwait	6.6	7.8	Q817	78
Kyrgyz Republic	38.4	42.7	Q813	79
Lao PDR	16.0	22.3	Q819	80
Latvia	58.6	59.9	Q211	81
Lebanon	63.6	63.1	Q822	82
Lesotho	62.1	89.3	Q1013	83
Lithuania	53.9	62.3	Q37	84
Luxembourg	79.5	82.0	Q32	85
Madagascar	48.2	32.4	Q1019	86
Malawi	9.0	8.3	Q1020	87
Malaysia	67.2	69.5	Q833	88
Maldives	0.1	0.4	Q826	89
Mali	20.2	37.4	Q912	90
Malta	67.8	62.2	Q233	91
Mauritania	0.0	0.6	Q1025	92
Mauritius	60.2	60.5	Q1027	93
Mexico	76.0	76.9	Q96	94
Moldova	22.6	40.4	Q217	95
Montenegro	20.0	28.8	Q236	96
Morocco	66.3	71.4	Q1028	97
Mozambique	2.0	9.4	Q1029	98
Myanmar	26.0	43.2	Q836	99
Namibia	44.3	34.5	Q1030	100
Nepal	71.9	68.3	Q837	101
Netherlands	56.9	68.0	Q55	102
New Zealand	21.6	15.6	Q664	103
Nicaragua	7.1	47.6	Q811	104
Nigeria	6.7	3.6	Q1033	105
North Macedonia	68.1	83.3	Q221	106
Norway	18.2	16.5	Q20	107
Oman	10.5	15.7	Q842	108
Pakistan	74.1	74.1	Q843	109
Palau	9.6	9.0	Q695	110
Paraguay	7.4	11.7	Q733	111
Peru	13.7	11.3	Q419	112
Philippines	56.8	83.8	Q928	113
Poland	79.1	80.1	Q36	114
Portugal	75.3	77.7	Q45	115
Qatar	2.0	3.7	Q846	116
Romania	78.5	81.7	Q218	117
Russian Federation	14.1	20.6	Q159	118
Samoa	78.3	10.0	Q683	119
Sao Tome and Principe	4.7	24.0	Q1039	120
Saudi Arabia	11.1	16.3	Q851	121
Senegal	41.7	28.7	Q1041	122
Seychelles	11.0	20.8	Q1042	123
Singapore	72.5	76.8	Q334	124
Slovak Republic	85.8	90.7	Q214	125
Slovenia	85.2	84.2	Q215	126
Solomon Islands	0.6	2.2	Q685	127
South Africa	48.7	47.9	Q258	128
Spain	72.5	67.5	Q29	129
Sri Lanka	66.5	67.9	Q854	130
St. Kitts and Nevis	87.2	86.4	Q763	131
St. Lucia	47.9	60.6	Q760	132
St. Vincent and the Grenadines	15.7	26.2	Q757	133
Suriname	1.9	3.3	Q730	134
Sweden	74.9	75.1	Q34	135
Switzerland	86.6	91.6	Q39	136
Tanzania	24.1	74.4	Q924	137
