Country	Value	ID	id_row
Afghanistan	3.2	Q889	0
Albania	9.8	Q222	1
Algeria	-4.5	Q262	2
American Samoa	-0.1	Q16641	3
Andorra	-4.9	Q228	4
Angola	-0.7	Q916	5
Antigua and Barbuda	3.1	Q781	6
Argentina	1.7	Q414	7
Armenia	6.4	Q399	8
Aruba	-28.2	Q21203	9
Australia	4.9	Q408	10
Austria	0.7	Q40	11
Azerbaijan	-0.2	Q227	12
Bahamas, The	-2.7	Q778	13
Bahrain	2.7	Q398	14
Bangladesh	12.4	Q902	15
Barbados	0.3	Q244	16
Belarus	3.0	Q184	17
Belgium	0.6	Q31	18
Belize	2.9	Q242	19
Benin	9.0	Q962	20
Bermuda	-4.3	Q23635	21
Bhutan	0.6	Q917	22
Bolivia	9.3	Q750	23
Bosnia and Herzegovina	4.1	Q225	24
Botswana	6.3	Q963	25
Brazil	3.4	Q155	26
Brunei Darussalam	-1.5	Q921	27
Bulgaria	5.9	Q219	28
Burkina Faso	18.1	Q965	29
Burundi	9.6	Q967	30
Cabo Verde	14.2	Q1011	31
Cambodia	9.9	Q424	32
Cameroon	0.0	Q1009	33
Canada	0.9	Q16	34
Cayman Islands	10.7	Q5785	35
Central African Republic	-4.8	Q929	36
Chad	-3.8	Q657	37
Chile	0.9	Q298	38
China	8.8	Q148	39
Hong Kong SAR, China	5.7	Q8646	40
Macao SAR, China	-6.2	Q14773	41
Colombia	4.4	Q739	42
Comoros	10.7	Q970	43
Congo, Dem. Rep.	8.6	Q974	44
Congo, Rep.	-1.2	Q971	45
Costa Rica	1.2	Q800	46
Cote d'Ivoire	3.0	Q1008	47
Croatia	1.8	Q224	48
Cuba	-0.3	Q241	49
Cyprus	10.1	Q229	50
Czech Republic	4.8	Q213	51
Denmark	0.1	Q35	52
Djibouti	10.6	Q977	53
Dominica	-3.7	Q784	54
Dominican Republic	5.3	Q786	55
Ecuador	4.4	Q736	56
Egypt, Arab Rep.	2.9	Q79	57
El Salvador	4.1	Q792	58
Equatorial Guinea	-3.1	Q983	59
Eritrea	64.6	Q986	60
Estonia	4.1	Q191	61
Ethiopia	12.0	Q115	62
Faroe Islands	5.6	Q4628	63
Fiji	4.5	Q712	64
Finland	-3.1	Q33	65
France	-0.1	Q142	66
French Polynesia	-3.3	Q30971	67
Gabon	-0.4	Q1000	68
Gambia, The	26.4	Q1005	69
Georgia	10.1	Q230	70
Germany	1.5	Q183	71
Ghana	13.7	Q117	72
Greece	4.3	Q41	73
Greenland	2.8	Q223	74
Grenada	1.9	Q769	75
Guam	-8.3	Q16635	76
Guatemala	5.9	Q774	77
Guinea	8.1	Q1006	78
Guinea-Bissau	10.8	Q1007	79
Guyana	8.9	Q734	80
Haiti	8.5	Q790	81
Honduras	5.2	Q783	82
Hungary	2.1	Q28	83
Iceland	1.4	Q189	84
India	8.8	Q668	85
Indonesia	4.0	Q252	86
Iran, Islamic Rep.	-1.3	Q794	87
Iraq	6.5	Q796	88
Ireland	0.8	Q27	89
Israel	2.8	Q801	90
Italy	0.6	Q38	91
Jamaica	-5.0	Q766	92
Japan	-0.4	Q17	93
Jordan	3.5	Q810	94
Kazakhstan	1.5	Q232	95
Kenya	4.9	Q114	96
Kiribati	3.6	Q710	97
Korea, Dem. Peopleâ€™s Rep.	10.7	Q423	98
Korea, Rep.	5.1	Q884	99
Kuwait	0.9	Q817	100
Kyrgyz Republic	3.5	Q813	101
Lao PDR	17.6	Q819	102
Latvia	7.3	Q211	103
Lebanon	2.5	Q822	104
Lesotho	2.0	Q1013	105
Liberia	9.0	Q1014	106
Libya	-13.2	Q1016	107
Lithuania	6.7	Q37	108
Luxembourg	-3.7	Q32	109
North Macedonia	6.0	Q221	110
Madagascar	8.7	Q1019	111
Malawi	4.1	Q1020	112
Malaysia	2.5	Q833	113
Maldives	2.2	Q826	114
Mali	6.5	Q912	115
Malta	0.1	Q233	116
Marshall Islands	13.7	Q709	117
Mauritania	1.6	Q1025	118
Mauritius	2.3	Q1027	119
Mexico	5.1	Q96	120
Micronesia, Fed. Sts.	8.8	Q702	121
Moldova	7.2	Q217	122
Mongolia	13.5	Q711	123
Morocco	5.6	Q1028	124
Mozambique	5.7	Q1029	125
Myanmar	9.3	Q836	126
Namibia	5.1	Q1030	127
Nepal	-1.5	Q837	128
Netherlands	1.9	Q55	129
New Caledonia	-1.2	Q33788	130
New Zealand	4.7	Q664	131
Nicaragua	11.1	Q811	132
Niger	7.6	Q1032	133
Nigeria	-2.0	Q1033	134
Northern Mariana Islands	-40.2	Q16644	135
Norway	-2.2	Q20	136
Oman	4.0	Q842	137
Pakistan	3.0	Q843	138
Palau	-4.2	Q695	139
Panama	4.2	Q804	140
Papua New Guinea	7.3	Q691	141
Paraguay	8.9	Q733	142
Peru	4.6	Q419	143
Philippines	2.7	Q928	144
Poland	5.8	Q36	145
Portugal	2.4	Q45	146
Qatar	9.3	Q846	147
Romania	6.7	Q218	148
Russian Federation	0.9	Q159	149
Rwanda	19.1	Q1037	150
Samoa	-2.8	Q683	151
Sao Tome and Principe	6.9	Q1039	152
Saudi Arabia	0.7	Q851	153
Senegal	5.3	Q1041	154
Serbia	6.7	Q403	155
Seychelles	2.9	Q1042	156
Sierra Leone	18.9	Q1044	157
Singapore	2.9	Q334	158
Slovak Republic	5.4	Q214	159
Slovenia	2.5	Q215	160
Solomon Islands	14.9	Q685	161
Somalia	3.8	Q1045	162
South Africa	3.1	Q258	163
Spain	3.0	Q29	164
Sri Lanka	4.5	Q854	165
St. Kitts and Nevis	4.3	Q763	166
St. Lucia	3.3	Q760	167
St. Vincent and the Grenadines	0.6	Q757	168
Sudan	-10.5	Q1049	169
Suriname	3.5	Q730	170
Eswatini	0.2	Q1050	171
Sweden	-0.7	Q34	172
Switzerland	8.4	Q39	173
Syrian Arab Republic	-21.5	Q858	174
Tajikistan	-4.4	Q863	175
Tanzania	9.2	Q924	176
Thailand	5.2	Q869	177
Togo	6.3	Q945	178
Tonga	10.9	Q678	179
Trinidad and Tobago	-2.8	Q754	180
Tunisia	0.4	Q948	181
Turkey	5.0	Q43	182
Turkmenistan	4.5	Q874	183
Turks and Caicos Islands	-15.6	Q18221	184
Uganda	8.4	Q1036	185
Ukraine	-0.6	Q212	186
United Arab Emirates	8.1	Q878	187
United Kingdom	0.9	Q145	188
United States	4.2	Q30	189
Uruguay	7.1	Q77	190
Uzbekistan	3.2	Q265	191
Vanuatu	-1.1	Q686	192
Venezuela, RB	-5.7	Q717	193
Vietnam	16.7	Q881	194
West Bank and Gaza	12.2	Q407199	195
Yemen, Rep.	-13.3	Q805	196
Zambia	7.6	Q953	197
Zimbabwe	6.3	Q954	198
