Country	Volume	ID	id_row
Afghanistan	-0.7	Q889	0
Albania	8.0	Q222	1
Algeria	-3.3	Q262	2
American Samoa	-2.4	Q16641	3
Andorra	-4.8	Q228	4
Angola	0.8	Q916	5
Antigua and Barbuda	3.8	Q781	6
Argentina	-1.1	Q414	7
Armenia	5.0	Q399	8
Aruba	-28.4	Q21203	9
Australia	4.0	Q408	10
Austria	1.0	Q40	11
Azerbaijan	0.8	Q227	12
Bahamas, The	-4.1	Q778	13
Bahrain	2.9	Q398	14
Bangladesh	10.4	Q902	15
Barbados	-1.7	Q244	16
Belarus	2.8	Q184	17
Belgium	1.0	Q31	18
Belize	0.2	Q242	19
Benin	4.2	Q962	20
Bermuda	-7.1	Q23635	21
Bhutan	0.8	Q917	22
Bolivia	5.3	Q750	23
Bosnia and Herzegovina	2.6	Q225	24
Botswana	5.1	Q963	25
Brazil	1.3	Q155	26
Brunei Darussalam	-0.1	Q921	27
Bulgaria	5.9	Q219	28
Burkina Faso	11.1	Q965	29
Burundi	5.3	Q967	30
Cabo Verde	11.6	Q1011	31
Cambodia	8.2	Q424	32
Cameroon	-2.5	Q1009	33
Canada	1.4	Q16	34
Cayman Islands	10.2	Q5785	35
Central African Republic	-6.6	Q929	36
Chad	-3.0	Q657	37
Chile	1.3	Q298	38
China	7.3	Q148	39
Hong Kong SAR, China	2.9	Q8646	40
Macao SAR, China	-6.7	Q14773	41
Colombia	5.4	Q739	42
Comoros	-0.8	Q970	43
Congo, Dem. Rep.	8.5	Q974	44
Congo, Rep.	-2.0	Q971	45
Costa Rica	0.2	Q800	46
Cote d'Ivoire	-0.2	Q1008	47
Croatia	2.1	Q224	48
Cuba	-2.6	Q241	49
Cyprus	12.2	Q229	50
Czech Republic	4.3	Q213	51
Denmark	-0.2	Q35	52
Djibouti	8.6	Q977	53
Dominica	-5.3	Q784	54
Dominican Republic	-0.2	Q786	55
Ecuador	1.0	Q736	56
Egypt, Arab Rep.	0.4	Q79	57
El Salvador	2.5	Q792	58
Equatorial Guinea	-2.1	Q983	59
Eritrea	60.1	Q986	60
Estonia	3.9	Q191	61
Ethiopia	7.9	Q115	62
Faroe Islands	2.8	Q4628	63
Fiji	1.0	Q712	64
Finland	-2.6	Q33	65
France	-0.2	Q142	66
French Polynesia	-4.9	Q30971	67
Gabon	-0.7	Q1000	68
Gambia, The	22.9	Q1005	69
Georgia	7.4	Q230	70
Germany	0.9	Q183	71
Ghana	8.6	Q117	72
Greece	5.4	Q41	73
Greenland	-0.8	Q223	74
Grenada	-2.1	Q769	75
Guam	-10.2	Q16635	76
Guatemala	5.2	Q774	77
Guinea	8.5	Q1006	78
Guinea-Bissau	7.0	Q1007	79
Guyana	5.0	Q734	80
Haiti	6.4	Q790	81
Honduras	4.9	Q783	82
Hungary	2.2	Q28	83
Iceland	3.0	Q189	84
India	7.6	Q668	85
Indonesia	2.0	Q252	86
Iran, Islamic Rep.	-1.8	Q794	87
Iraq	8.8	Q796	88
Ireland	0.9	Q27	89
Israel	0.7	Q801	90
Italy	-0.2	Q38	91
Jamaica	-4.5	Q766	92
Japan	0.6	Q17	93
Jordan	0.9	Q810	94
Kazakhstan	1.5	Q232	95
Kenya	1.8	Q114	96
Kiribati	-0.7	Q710	97
Korea, Dem. Peopleâ€™s Rep.	10.0	Q423	98
Korea, Rep.	7.3	Q884	99
Kuwait	1.8	Q817	100
Kyrgyz Republic	-0.3	Q813	101
Lao PDR	15.9	Q819	102
Latvia	7.2	Q211	103
Lebanon	-0.1	Q822	104
Lesotho	0.1	Q1013	105
Liberia	5.1	Q1014	106
Libya	-12.4	Q1016	107
Lithuania	6.0	Q37	108
Luxembourg	-2.2	Q32	109
North Macedonia	3.4	Q221	110
Madagascar	4.9	Q1019	111
Malawi	-0.7	Q1020	112
Malaysia	0.8	Q833	113
Maldives	-0.5	Q826	114
Mali	0.7	Q912	115
Malta	-1.5	Q233	116
Marshall Islands	10.8	Q709	117
Mauritania	-0.9	Q1025	118
Mauritius	2.1	Q1027	119
Mexico	5.2	Q96	120
Micronesia, Fed. Sts.	5.6	Q702	121
Moldova	9.3	Q217	122
Mongolia	12.5	Q711	123
Morocco	3.7	Q1028	124
Mozambique	6.5	Q1029	125
Myanmar	8.8	Q836	126
Namibia	4.4	Q1030	127
Nepal	-3.8	Q837	128
Netherlands	1.7	Q55	129
New Caledonia	-1.2	Q33788	130
New Zealand	2.9	Q664	131
Nicaragua	7.9	Q811	132
Niger	5.6	Q1032	133
Nigeria	-1.0	Q1033	134
Northern Mariana Islands	-41.7	Q16644	135
Norway	-1.0	Q20	136
Oman	5.1	Q842	137
Pakistan	-0.7	Q843	138
Palau	-5.9	Q695	139
Panama	3.1	Q804	140
Papua New Guinea	4.1	Q691	141
Paraguay	4.1	Q733	142
Peru	2.4	Q419	143
Philippines	2.3	Q928	144
Poland	5.8	Q36	145
Portugal	2.4	Q45	146
Qatar	10.6	Q846	147
Romania	6.2	Q218	148
Russian Federation	1.5	Q159	149
Rwanda	16.1	Q1037	150
Samoa	-3.7	Q683	151
Sao Tome and Principe	3.0	Q1039	152
Saudi Arabia	2.1	Q851	153
Senegal	1.6	Q1041	154
Serbia	5.1	Q403	155
Seychelles	0.6	Q1042	156
Sierra Leone	20.6	Q1044	157
Singapore	3.4	Q334	158
Slovak Republic	6.9	Q214	159
Slovenia	3.1	Q215	160
Solomon Islands	13.3	Q685	161
Somalia	2.1	Q1045	162
South Africa	2.3	Q258	163
Spain	3.2	Q29	164
Sri Lanka	2.8	Q854	165
St. Kitts and Nevis	5.0	Q763	166
St. Lucia	3.1	Q760	167
St. Vincent and the Grenadines	-2.9	Q757	168
Sudan	-12.1	Q1049	169
Suriname	-0.3	Q730	170
Eswatini	-2.2	Q1050	171
Sweden	-0.4	Q34	172
Switzerland	5.2	Q39	173
Syrian Arab Republic	-24.0	Q858	174
Tajikistan	-3.9	Q863	175
Tanzania	4.2	Q924	176
Thailand	2.6	Q869	177
Togo	4.5	Q945	178
Tonga	7.1	Q678	179
Trinidad and Tobago	-3.8	Q754	180
Tunisia	-0.4	Q948	181
Turkey	4.8	Q43	182
Turkmenistan	2.7	Q874	183
Turks and Caicos Islands	-16.2	Q18221	184
Uganda	5.2	Q1036	185
Ukraine	-3.0	Q212	186
United Arab Emirates	6.2	Q878	187
United Kingdom	0.1	Q145	188
United States	3.0	Q30	189
Uruguay	3.6	Q77	190
Uzbekistan	0.6	Q265	191
Vanuatu	-4.3	Q686	192
Venezuela, RB	-3.6	Q717	193
Vietnam	13.3	Q881	194
West Bank and Gaza	10.2	Q407199	195
Yemen, Rep.	-14.6	Q805	196
Zambia	7.4	Q953	197
Zimbabwe	3.5	Q954	198
