Country	Value	ID	id_row
Afghanistan	12.9	Q889	0
Albania	2.2	Q222	1
Algeria	8.0	Q262	2
American Samoa	2.4	Q16641	3
Andorra	-3.5	Q228	4
Angola	4.9	Q916	5
Antigua and Barbuda	-4.3	Q781	6
Argentina	5.2	Q414	7
Armenia	2.5	Q399	8
Aruba	-15.1	Q21203	9
Australia	3.9	Q408	10
Austria	1.0	Q40	11
Azerbaijan	5.6	Q227	12
Bahamas, The	0.6	Q778	13
Bahrain	-0.5	Q398	14
Bangladesh	10.8	Q902	15
Barbados	-0.3	Q244	16
Belarus	2.3	Q184	17
Belgium	0.5	Q31	18
Belize	4.3	Q242	19
Benin	7.1	Q962	20
Bermuda	-2.0	Q23635	21
Bhutan	9.5	Q917	22
Bolivia	12.9	Q750	23
Bosnia and Herzegovina	0.8	Q225	24
Botswana	8.1	Q963	25
Brazil	5.3	Q155	26
Brunei Darussalam	5.8	Q921	27
Bulgaria	1.6	Q219	28
Burkina Faso	9.9	Q965	29
Burundi	9.0	Q967	30
Cabo Verde	0.0	Q1011	31
Cambodia	11.5	Q424	32
Cameroon	5.1	Q1009	33
Canada	2.2	Q16	34
Cayman Islands	-0.5	Q5785	35
Central African Republic	4.9	Q929	36
Chad	8.7	Q657	37
Chile	4.9	Q298	38
China	8.5	Q148	39
Hong Kong SAR, China	6.3	Q8646	40
Macao SAR, China	8.4	Q14773	41
Colombia	7.2	Q739	42
Comoros	6.6	Q970	43
Congo, Dem. Rep.	7.3	Q974	44
Congo, Rep.	11.8	Q971	45
Costa Rica	3.7	Q800	46
Cote d'Ivoire	5.3	Q1008	47
Croatia	-1.4	Q224	48
Cuba	0.8	Q241	49
Cyprus	-1.5	Q229	50
Czech Republic	3.6	Q213	51
Denmark	-0.4	Q35	52
Djibouti	8.0	Q977	53
Dominica	1.0	Q784	54
Dominican Republic	3.4	Q786	55
Ecuador	5.4	Q736	56
Egypt, Arab Rep.	7.3	Q79	57
El Salvador	2.8	Q792	58
Equatorial Guinea	3.2	Q983	59
Eritrea	9.5	Q986	60
Estonia	2.0	Q191	61
Ethiopia	12.8	Q115	62
Faroe Islands	1.8	Q4628	63
Fiji	4.2	Q712	64
Finland	-1.6	Q33	65
France	0.1	Q142	66
French Polynesia	-1.7	Q30971	67
Gabon	5.8	Q1000	68
Gambia, The	3.7	Q1005	69
Georgia	6.8	Q230	70
Germany	1.3	Q183	71
Ghana	7.9	Q117	72
Greece	-4.4	Q41	73
Greenland	0.4	Q223	74
Grenada	1.2	Q769	75
Guam	-2.9	Q16635	76
Guatemala	4.2	Q774	77
Guinea	12.8	Q1006	78
Guinea-Bissau	2.0	Q1007	79
Guyana	5.7	Q734	80
Haiti	8.9	Q790	81
Honduras	3.7	Q783	82
Hungary	1.1	Q28	83
Iceland	-0.8	Q189	84
India	7.9	Q668	85
Indonesia	6.6	Q252	86
Iran, Islamic Rep.	-0.1	Q794	87
Iraq	10.4	Q796	88
Ireland	0.4	Q27	89
Israel	3.1	Q801	90
Italy	-1.4	Q38	91
Jamaica	-2.4	Q766	92
Japan	1.5	Q17	93
Jordan	5.8	Q810	94
Kazakhstan	1.6	Q232	95
Kenya	8.0	Q114	96
Kiribati	7.7	Q710	97
Korea, Dem. Peopleâ€™s Rep.	5.4	Q423	98
Korea, Rep.	3.6	Q884	99
Kuwait	5.6	Q817	100
Kyrgyz Republic	7.6	Q813	101
Lao PDR	20.0	Q819	102
Latvia	2.6	Q211	103
Lebanon	6.4	Q822	104
Lesotho	2.5	Q1013	105
Liberia	14.1	Q1014	106
Libya	8.8	Q1016	107
Lithuania	3.9	Q37	108
Luxembourg	-1.8	Q32	109
North Macedonia	4.3	Q221	110
Madagascar	2.3	Q1019	111
Malawi	6.1	Q1020	112
Malaysia	3.8	Q833	113
Maldives	8.5	Q826	114
Mali	7.1	Q912	115
Malta	4.3	Q233	116
Marshall Islands	2.0	Q709	117
Mauritania	6.1	Q1025	118
Mauritius	3.3	Q1027	119
Mexico	5.0	Q96	120
Micronesia, Fed. Sts.	2.3	Q702	121
Moldova	3.6	Q217	122
Mongolia	9.9	Q711	123
Morocco	4.2	Q1028	124
Mozambique	11.5	Q1029	125
Myanmar	22.7	Q836	126
Namibia	9.9	Q1030	127
Nepal	12.2	Q837	128
Netherlands	1.7	Q55	129
New Caledonia	0.9	Q33788	130
New Zealand	3.7	Q664	131
Nicaragua	8.0	Q811	132
Niger	5.1	Q1032	133
Nigeria	3.8	Q1033	134
Northern Mariana Islands	-8.6	Q16644	135
Norway	0.9	Q20	136
Oman	8.0	Q842	137
Pakistan	4.4	Q843	138
Palau	4.4	Q695	139
Panama	7.7	Q804	140
Papua New Guinea	0.5	Q691	141
Paraguay	7.6	Q733	142
Peru	9.1	Q419	143
Philippines	4.4	Q928	144
Poland	3.6	Q36	145
Portugal	-1.1	Q45	146
Qatar	5.0	Q846	147
Romania	2.2	Q218	148
Russian Federation	1.6	Q159	149
Rwanda	15.6	Q1037	150
Samoa	4.1	Q683	151
Sao Tome and Principe	7.4	Q1039	152
Saudi Arabia	8.4	Q851	153
Senegal	3.3	Q1041	154
Serbia	0.4	Q403	155
Seychelles	2.8	Q1042	156
Sierra Leone	16.1	Q1044	157
Singapore	2.6	Q334	158
Slovak Republic	4.3	Q214	159
Slovenia	1.1	Q215	160
Solomon Islands	7.9	Q685	161
Somalia	4.5	Q1045	162
South Africa	3.1	Q258	163
Spain	-1.2	Q29	164
Sri Lanka	7.3	Q854	165
St. Kitts and Nevis	0.6	Q763	166
St. Lucia	0.4	Q760	167
St. Vincent and the Grenadines	1.2	Q757	168
Sudan	0.3	Q1049	169
Suriname	5.8	Q730	170
Eswatini	-2.1	Q1050	171
Sweden	0.6	Q34	172
Switzerland	7.8	Q39	173
Syrian Arab Republic	-11.9	Q858	174
Tajikistan	5.9	Q863	175
Tanzania	9.2	Q924	176
Thailand	5.4	Q869	177
Togo	8.8	Q945	178
Tonga	6.2	Q678	179
Trinidad and Tobago	3.5	Q754	180
Tunisia	1.9	Q948	181
Turkey	4.2	Q43	182
Turkmenistan	8.6	Q874	183
