Country	Rents	ID	id_row
Afghanistan	0.0	Q889	0
Albania	0.0	Q222	1
Algeria	0.1	Q262	2
American Samoa	0.0	Q16641	3
Andorra	0.0	Q228	4
Angola	0.0	Q916	5
Antigua and Barbuda	0.0	Q781	6
Argentina	0.3	Q414	7
Armenia	4.2	Q399	8
Aruba	0.0	Q21203	9
Australia	4.6	Q408	10
Austria	0.0	Q40	11
Azerbaijan	0.2	Q227	12
Bahamas, The	0.0	Q778	13
Bahrain	0.0	Q398	14
Bangladesh	0.0	Q902	15
Barbados	0.0	Q244	16
Belarus	0.0	Q184	17
Belgium	0.0	Q31	18
Belize	0.0	Q242	19
Benin	0.0	Q962	20
Bermuda	0.0	Q23635	21
Bhutan	0.1	Q917	22
Bolivia	2.6	Q750	23
Bosnia and Herzegovina	0.4	Q225	24
Botswana	0.5	Q963	25
Brazil	1.5	Q155	26
Brunei Darussalam	0.0	Q921	27
Bulgaria	1.0	Q219	28
Burkina Faso	10.7	Q965	29
Burundi	0.5	Q967	30
Cambodia	0.0	Q424	31
Cameroon	0.2	Q1009	32
Canada	0.6	Q16	33
Cabo Verde	0.0	Q1011	34
Central African Republic	0.1	Q929	35
Chad	0.0	Q657	36
Chile	9.6	Q298	37
China	0.4	Q148	38
Hong Kong SAR, China	0.0	Q8646	39
Macao SAR, China	0.0	Q14773	40
Colombia	0.7	Q739	41
Comoros	0.0	Q970	42
Congo, Dem. Rep.	11.3	Q974	43
Congo, Rep.	0.0	Q971	44
Costa Rica	0.0	Q800	45
Cote d'Ivoire	1.7	Q1008	46
Croatia	0.0	Q224	47
Cuba	0.2	Q241	48
Cyprus	0.0	Q229	49
Czech Republic	0.0	Q213	50
Denmark	0.0	Q35	51
Djibouti	0.0	Q977	52
Dominica	0.0	Q784	53
Dominican Republic	2.1	Q786	54
Ecuador	0.2	Q736	55
Egypt, Arab Rep.	0.3	Q79	56
El Salvador	0.0	Q792	57
Equatorial Guinea	0.0	Q983	58
Estonia	0.0	Q191	59
Eswatini	0.0	Q1050	60
Ethiopia	0.4	Q115	61
Faroe Islands	0.0	Q4628	62
Fiji	1.0	Q712	63
Finland	0.2	Q33	64
France	0.0	Q142	65
Gabon	0.3	Q1000	66
Gambia, The	0.0	Q1005	67
Georgia	0.9	Q230	68
Germany	0.0	Q183	69
Ghana	4.2	Q117	70
Greece	0.0	Q41	71
Greenland	0.0	Q223	72
Grenada	0.0	Q769	73
Guam	0.0	Q16635	74
Guatemala	0.6	Q774	75
Guinea	10.3	Q1006	76
Guinea-Bissau	0.0	Q1007	77
Guyana	17.6	Q734	78
Haiti	0.0	Q790	79
Honduras	0.5	Q783	80
Hungary	0.0	Q28	81
Iceland	0.0	Q189	82
India	0.4	Q668	83
Indonesia	0.7	Q252	84
Iran, Islamic Rep.	0.5	Q794	85
Iraq	0.0	Q796	86
Ireland	0.0	Q27	87
Isle of Man	0.0	Q9676	88
Israel	0.1	Q801	89
Italy	0.0	Q38	90
Jamaica	1.0	Q766	91
Japan	0.0	Q17	92
Jordan	1.2	Q810	93
Kazakhstan	3.7	Q232	94
Kenya	0.0	Q114	95
Kiribati	0.0	Q710	96
Korea, Rep.	0.0	Q884	97
Kosovo	0.4	Q1246	98
Kuwait	0.0	Q817	99
Kyrgyz Republic	8.2	Q813	100
Lao PDR	5.3	Q819	101
Latvia	0.0	Q211	102
Lebanon	0.0	Q822	103
Lesotho	0.0	Q1013	104
Liberia	4.0	Q1014	105
Libya	0.0	Q1016	106
Liechtenstein	0.0	Q347	107
Lithuania	0.0	Q37	108
Luxembourg	0.0	Q32	109
North Macedonia	1.1	Q221	110
Madagascar	1.3	Q1019	111
Malawi	0.0	Q1020	112
Malaysia	0.0	Q833	113
Maldives	0.0	Q826	114
Mali	8.9	Q912	115
Malta	0.0	Q233	116
Marshall Islands	0.0	Q709	117
Mauritania	17.1	Q1025	118
Mauritius	0.0	Q1027	119
Mexico	0.8	Q96	120
Micronesia, Fed. Sts.	0.0	Q702	121
Moldova	0.0	Q217	122
Monaco	0.0	Q235	123
Mongolia	19.0	Q711	124
Montenegro	0.5	Q236	125
Morocco	2.0	Q1028	126
Mozambique	0.1	Q1029	127
Myanmar	0.9	Q836	128
Namibia	3.3	Q1030	129
Nepal	0.0	Q837	130
Netherlands	0.0	Q55	131
New Zealand	0.3	Q664	132
Nicaragua	1.6	Q811	133
Niger	0.4	Q1032	134
Nigeria	0.1	Q1033	135
Northern Mariana Islands	0.0	Q16644	136
Norway	0.0	Q20	137
Oman	0.0	Q842	138
Pakistan	0.0	Q843	139
Palau	0.0	Q695	140
Panama	0.1	Q804	141
Papua New Guinea	12.9	Q691	142
