Country	Total	ID	id_row
Afghanistan	15.0	Q889	0
Albania	14.0	Q222	1
Algeria	24.0	Q262	2
Andorra	8.0	Q228	3
Angola	24.0	Q916	4
Antigua and Barbuda	8.0	Q781	5
Argentina	14.0	Q414	6
Armenia	17.0	Q399	7
Australia	6.0	Q408	8
Austria	5.0	Q40	9
Azerbaijan	9.0	Q227	10
Bahamas, The	14.0	Q778	11
Bahrain	8.0	Q398	12
Bangladesh	15.0	Q902	13
Barbados	6.0	Q244	14
Belarus	9.0	Q184	15
Belgium	6.0	Q31	16
Belize	28.0	Q242	17
Benin	28.0	Q962	18
Bhutan	17.0	Q917	19
Bolivia	16.0	Q750	20
Bosnia and Herzegovina	16.0	Q225	21
Botswana	24.0	Q963	22
Brazil	20.0	Q155	23
Brunei Darussalam	8.0	Q921	24
Bulgaria	10.0	Q219	25
Burkina Faso	31.0	Q965	26
Burundi	35.0	Q967	27
Cabo Verde	25.0	Q1011	28
Cambodia	18.0	Q424	29
Cameroon	30.0	Q1009	30
Canada	6.0	Q16	31
Central African Republic	34.0	Q929	32
Chad	28.0	Q657	33
Chile	13.0	Q298	34
China	18.0	Q148	35
Colombia	19.0	Q739	36
Comoros	27.0	Q970	37
Congo, Dem. Rep.	34.0	Q974	38
Congo, Rep.	27.0	Q971	39
Costa Rica	17.0	Q800	40
Cote d'Ivoire	24.0	Q1008	41
Croatia	8.0	Q224	42
Cuba	9.0	Q241	43
Cyprus	5.0	Q229	44
Czech Republic	6.0	Q213	45
Denmark	4.0	Q35	46
Djibouti	25.0	Q977	47
Dominica	11.0	Q784	48
Dominican Republic	35.0	Q786	49
Ecuador	21.0	Q736	50
Egypt, Arab Rep.	10.0	Q79	51
El Salvador	22.0	Q792	52
Equatorial Guinea	25.0	Q983	53
Eritrea	25.0	Q986	54
Estonia	6.0	Q191	55
Eswatini	27.0	Q1050	56
Ethiopia	27.0	Q115	57
Fiji	10.0	Q712	58
Finland	5.0	Q33	59
France	6.0	Q142	60
Gabon	23.0	Q1000	61
Gambia, The	30.0	Q1005	62
Georgia	15.0	Q230	63
Germany	4.0	Q183	64
Ghana	25.0	Q117	65
Greece	9.0	Q41	66
Grenada	9.0	Q769	67
Guatemala	17.0	Q774	68
Guinea	28.0	Q1006	69
Guinea-Bissau	31.0	Q1007	70
Guyana	25.0	Q734	71
Haiti	15.0	Q790	72
Honduras	17.0	Q783	73
Hungary	8.0	Q28	74
Iceland	7.0	Q189	75
India	23.0	Q668	76
Indonesia	12.0	Q252	77
Iran, Islamic Rep.	21.0	Q794	78
Iraq	21.0	Q796	79
Ireland	4.0	Q27	80
Israel	4.0	Q801	81
Italy	6.0	Q38	82
Jamaica	14.0	Q766	83
Japan	4.0	Q17	84
Jordan	24.0	Q810	85
Kazakhstan	18.0	Q232	86
Kenya	28.0	Q114	87
Kiribati	4.0	Q710	88
Korea, Dem. People’s Rep.	21.0	Q423	89
Korea, Rep.	10.0	Q884	90
Kuwait	18.0	Q817	91
Kyrgyz Republic	15.0	Q813	92
Lao PDR	17.0	Q819	93
Latvia	9.0	Q211	94
Lebanon	18.0	Q822	95
Lesotho	29.0	Q1013	96
Liberia	36.0	Q1014	97
Libya	26.0	Q1016	98
Lithuania	8.0	Q37	99
Luxembourg	6.0	Q32	100
