Country	Total	ID	id_row
Afghanistan	0.1	Q889	0
Albania	13.5	Q222	1
Algeria	7.1	Q262	2
American Samoa	8.7	Q16641	3
Andorra	26.7	Q228	4
Angola	5.0	Q916	5
Antigua and Barbuda	0.3	Q781	6
Argentina	7.4	Q414	7
Armenia	23.1	Q399	8
Aruba	0.1	Q21203	9
Australia	29.7	Q408	10
Austria	28.4	Q40	11
Azerbaijan	5.5	Q227	12
Bahamas, The	8.6	Q778	13
Bahrain	1.7	Q398	14
Bangladesh	4.9	Q902	15
Barbados	0.0	Q244	16
Belarus	9.4	Q184	17
Belgium	24.6	Q31	18
Belize	20.6	Q242	19
Benin	23.5	Q962	20
Bermuda	0.0	Q23635	21
Bhutan	48.0	Q917	22
Bolivia	30.9	Q750	23
Bosnia and Herzegovina	1.4	Q225	24
Botswana	29.1	Q963	25
Brazil	28.6	Q155	26
Brunei Darussalam	9.0	Q921	27
Bulgaria	28.3	Q219	28
Burkina Faso	14.9	Q965	29
Burundi	7.6	Q967	30
Cabo Verde	0.0	Q1011	31
Cambodia	20.6	Q424	32
Cameroon	10.4	Q1009	33
Canada	6.5	Q16	34
Cayman Islands	0.1	Q5785	35
Central African Republic	18.1	Q929	36
Chad	20.4	Q657	37
Chile	27.0	Q298	38
China	14.6	Q148	39
Hong Kong SAR, China	48.9	Q8646	40
Colombia	15.7	Q739	41
Comoros	0.1	Q970	42
Congo, Dem. Rep.	13.8	Q974	43
Congo, Rep.	36.8	Q971	44
Costa Rica	3.0	Q800	45
Cote d'Ivoire	14.9	Q1008	46
Croatia	23.6	Q224	47
Cuba	7.2	Q241	48
Curacao	0.3	Q25279	49
Cyprus	1.7	Q229	50
Czech Republic	22.2	Q213	51
Denmark	17.9	Q35	52
Djibouti	1.2	Q977	53
Dominica	0.7	Q784	54
Dominican Republic	19.2	Q786	55
Ecuador	15.0	Q736	56
Egypt, Arab Rep.	11.6	Q79	57
El Salvador	2.2	Q792	58
Equatorial Guinea	1.8	Q983	59
Eritrea	3.0	Q986	60
Estonia	19.5	Q191	61
Eswatini	4.2	Q1050	62
Ethiopia	18.5	Q115	63
Faroe Islands	0.0	Q4628	64
Fiji	1.0	Q712	65
Finland	14.2	Q33	66
France	33.2	Q142	67
French Polynesia	0.0	Q30971	68
Gabon	25.1	Q1000	69
Gambia, The	1.4	Q1005	70
Georgia	6.4	Q230	71
Germany	38.8	Q183	72
Ghana	7.8	Q117	73
Greece	11.0	Q41	74
Greenland	22.4	Q223	75
Grenada	0.2	Q769	76
Guam	0.1	Q16635	77
Guatemala	10.1	Q774	78
Guinea	24.8	Q1006	79
Guinea-Bissau	11.6	Q1007	80
Guyana	5.3	Q734	81
Haiti	0.4	Q790	82
Honduras	10.9	Q783	83
Hungary	22.6	Q28	84
Iceland	2.5	Q189	85
India	3.5	Q668	86
Indonesia	5.3	Q252	87
Iran, Islamic Rep.	7.7	Q794	88
Iraq	1.5	Q796	89
Ireland	4.0	Q27	90
Isle of Man	4.2	Q9676	91
Israel	8.6	Q801	92
Italy	13.4	Q38	93
Jamaica	1.4	Q766	94
Japan	10.0	Q17	95
Jordan	1.8	Q810	96
Kazakhstan	3.2	Q232	97
Kenya	10.5	Q114	98
Kiribati	11.8	Q710	99
Korea, Dem. People’s Rep.	1.3	Q423	100
Korea, Rep.	4.0	Q884	101
Kuwait	11.0	Q817	102
Kyrgyz Republic	6.7	Q813	103
Lao PDR	16.7	Q819	104
Latvia	17.5	Q211	105
Lebanon	1.0	Q822	106
Lesotho	0.3	Q1013	107
Liberia	1.2	Q1014	108
Libya	0.3	Q1016	109
Liechtenstein	11.9	Q347	110
Lithuania	17.8	Q37	111
Luxembourg	40.9	Q32	112
Madagascar	9.7	Q1019	113
Malawi	2.3	Q1020	114
Malaysia	22.9	Q833	115
Maldives	9.0	Q826	116
Mali	0.1	Q912	117
Malta	8.2	Q233	118
Marshall Islands	6.4	Q709	119
Mauritania	0.3	Q1025	120
Mauritius	1.1	Q1027	121
Mexico	0.0	Q96	122
Micronesia, Fed. Sts.	19.1	Q702	123
Moldova	0.0	Q217	124
Monaco	4.2	Q235	125
Mongolia	99.5	Q711	126
Montenegro	17.7	Q236	127
Morocco	4.2	Q1028	128
Mozambique	18.4	Q1029	129
Myanmar	13.4	Q836	130
Namibia	4.6	Q1030	131
Nepal	23.2	Q837	132
Netherlands	23.6	Q55	133
New Caledonia	21.2	Q33788	134
New Zealand	96.0	Q664	135
Nicaragua	30.5	Q811	136
Niger	15.5	Q1032	137
Nigeria	17.3	Q1033	138
North Macedonia	11.6	Q221	139
Northern Mariana Islands	33.2	Q16644	140
Norway	5.1	Q20	141
Oman	1.0	Q842	142
Pakistan	9.8	Q843	143
Palau	82.9	Q695	144
Panama	5.2	Q804	145
Papua New Guinea	0.7	Q691	146
Paraguay	14.3	Q733	147
Peru	13.1	Q419	148
Philippines	3.1	Q928	149
Poland	38.1	Q36	150
Portugal	16.9	Q45	151
Puerto Rico	2.0	Q1183	152
Qatar	4.7	Q846	153
Romania	24.3	Q218	154
Russian Federation	7.6	Q159	155
Rwanda	9.1	Q1037	156
Samoa	0.2	Q683	157
Sao Tome and Principe	0.2	Q1039	158
Saudi Arabia	4.5	Q851	159
Senegal	14.6	Q1041	160
Serbia	6.6	Q403	161
Seychelles	0.1	Q1042	162
Sierra Leone	3.3	Q1044	163
Singapore	2.5	Q334	164
Sint Maarten (Dutch part)	8.1	Q26273	165
Slovak Republic	37.6	Q214	166
Slovenia	55.1	Q215	167
Solomon Islands	0.2	Q685	168
Somalia	0.8	Q1045	169
South Africa	10.3	Q258	170
South Sudan	15.5	Q958	171
Spain	15.0	Q29	172
Sri Lanka	3.4	Q854	173
St. Kitts and Nevis	0.3	Q763	174
St. Lucia	0.9	Q760	175
St. Martin (French part)	92.0	Q126125	176
St. Vincent and the Grenadines	0.5	Q757	177
Sudan	2.8	Q1049	178
Suriname	8.5	Q730	179
Sweden	15.0	Q34	180
Switzerland	9.7	Q39	181
Syrian Arab Republic	0.7	Q858	182
Tajikistan	22.3	Q863	183
Tanzania	31.0	Q924	184
Thailand	12.5	Q869	185
Timor-Leste	4.4	Q574	186
Togo	21.8	Q945	187
Tonga	1.5	Q678	188
Trinidad and Tobago	2.0	Q754	189
Tunisia	5.2	Q948	190
Turkey	0.2	Q43	191
Turkmenistan	3.2	Q874	192
Turks and Caicos Islands	0.4	Q18221	193
Tuvalu	0.0	Q672	194
Uganda	16.1	Q1036	195
Ukraine	3.9	Q212	196
United Arab Emirates	15.0	Q878	197
United Kingdom	28.8	Q145	198
United States	26.3	Q30	199
Uruguay	2.3	Q77	200
Uzbekistan	3.4	Q265	201
Vanuatu	0.1	Q686	202
Venezuela, RB	36.9	Q717	203
Vietnam	2.9	Q881	204
Virgin Islands (U.S.)	1.0	Q11703	205
Yemen, Rep.	0.6	Q805	206
Zambia	37.9	Q953	207
Zimbabwe	27.2	Q954	208
