Country	Bothsexes	Male	Female	ID	id_row
Afghanistan	51244.0	26828.0	24416.0	Q889	0
Albania	14930.0	8095.0	6835.0	Q222	1
Algeria	69173.0	34779.0	34394.0	Q262	2
Angola	22541.0	9979.0	12563.0	Q916	3
Antigua and Barbuda	212.0	104.0	108.0	Q781	4
Argentina	91028.0	45216.0	45812.0	Q414	5
Armenia	12288.0	5813.0	6475.0	Q399	6
Australia	44042.0	21392.0	22650.0	Q408	7
Austria	33017.0	14328.0	18689.0	Q40	8
Azerbaijan	32390.0	16567.0	15823.0	Q227	9
Bahamas	727.0	359.0	368.0	Q778	10
Bahrain	775.0	458.0	317.0	Q398	11
Bangladesh	257555.0	134721.0	122834.0	Q902	12
Barbados	947.0	450.0	498.0	Q244	13
Belarus	73656.0	32704.0	40951.0	Q184	14
Belgium	30963.0	13936.0	17026.0	Q31	15
Belize	514.0	290.0	224.0	Q242	16
Benin	13423.0	6085.0	7337.0	Q962	17
Bhutan	1330.0	717.0	612.0	Q917	18
Bolivia (Plurinational State of)	16707.0	8834.0	7873.0	Q750	19
Bosnia and Herzegovina	20279.0	9298.0	10982.0	Q225	20
Botswana	2910.0	1239.0	1671.0	Q963	21
Brazil	369072.0	195757.0	173315.0	Q155	22
Brunei Darussalam	472.0	257.0	216.0	Q921	23
Bulgaria	67831.0	32262.0	35569.0	Q219	24
Burkina Faso	20377.0	8802.0	11575.0	Q965	25
Burundi	11079.0	5412.0	5667.0	Q967	26
Cabo Verde	1059.0	476.0	583.0	Q1011	27
Cambodia	22536.0	9744.0	12792.0	Q424	28
Cameroon	28623.0	14028.0	14596.0	Q1009	29
Canada	63683.0	32350.0	31333.0	Q16	30
Central African Republic	6817.0	3008.0	3809.0	Q929	31
Chad	17615.0	8620.0	8995.0	Q657	32
Chile	29698.0	15050.0	14647.0	Q298	33
China	4475660.0	2252404.0	2223257.0	Q148	34
Colombia	83987.0	45244.0	38743.0	Q739	35
Comoros	989.0	511.0	477.0	Q970	36
Congo	5516.0	2272.0	3245.0	Q971	37
Costa Rica	7227.0	3931.0	3296.0	Q800	38
Côte d'Ivoire	42677.0	22687.0	19990.0	Q1008	39
Croatia	23084.0	9990.0	13094.0	Q224	40
Cuba	35062.0	18336.0	16725.0	Q241	41
Cyprus	2825.0	1462.0	1364.0	Q229	42
Czechia	47334.0	22106.0	25228.0	Q213	43
Democratic People's Republic of Korea	88090.0	46015.0	42075.0	Q423	44
Democratic Republic of the Congo	76221.0	32935.0	43285.0	Q974	45
Denmark	12484.0	6279.0	6204.0	Q35	46
Djibouti	1395.0	725.0	669.0	Q977	47
Dominican Republic	22897.0	12249.0	10648.0	Q786	48
Ecuador	19848.0	10531.0	9316.0	Q736	49
Egypt	245904.0	122008.0	123896.0	Q79	50
El Salvador	9790.0	4906.0	4884.0	Q792	51
Equatorial Guinea	1496.0	769.0	727.0	Q983	52
Eritrea	6617.0	3358.0	3258.0	Q986	53
Estonia	7840.0	3094.0	4746.0	Q191	54
Eswatini	1648.0	663.0	986.0	Q1050	55
Ethiopia	109500.0	56163.0	53336.0	Q115	56
Fiji	2183.0	1372.0	811.0	Q712	57
Finland	19060.0	9389.0	9671.0	Q33	58
France	143401.0	65337.0	78064.0	Q142	59
Gabon	2518.0	1076.0	1442.0	Q1000	60
Gambia	2259.0	1186.0	1073.0	Q1005	61
Georgia	36308.0	16906.0	19403.0	Q230	62
Germany	343531.0	154581.0	188950.0	Q183	63
Ghana	42231.0	13309.0	28922.0	Q117	64
Greece	46098.0	21282.0	24816.0	Q41	65
Grenada	248.0	116.0	133.0	Q769	66
Guatemala	13841.0	6767.0	7074.0	Q774	67
Guinea	17388.0	7870.0	9518.0	Q1006	68
Guinea-Bissau	2080.0	922.0	1157.0	Q1007	69
Guyana	2258.0	1156.0	1102.0	Q734	70
Haiti	26617.0	12642.0	13974.0	Q790	71
Honduras	9886.0	6088.0	3799.0	Q783	72
Hungary	61463.0	27329.0	34135.0	Q28	73
Iceland	714.0	377.0	337.0	Q189	74
India	2590089.0	1504361.0	1085728.0	Q668	75
Indonesia	655055.0	346228.0	308827.0	Q252	76
Iran (Islamic Republic of)	160823.0	87331.0	73492.0	Q794	77
Iraq	51593.0	24996.0	26597.0	Q796	78
Ireland	8745.0	4433.0	4311.0	Q27	79
Israel	10565.0	5212.0	5353.0	Q801	80
Italy	229802.0	99197.0	130605.0	Q38	81
Jamaica	5866.0	2711.0	3155.0	Q766	82
Japan	358702.0	160085.0	198618.0	Q17	83
Jordan	13384.0	7398.0	5986.0	Q810	84
Kazakhstan	73860.0	35063.0	38797.0	Q232	85
Kenya	21473.0	10425.0	11048.0	Q114	86
Kiribati	184.0	106.0	78.0	Q710	87
Kuwait	4552.0	3307.0	1246.0	Q817	88
Kyrgyzstan	19277.0	9827.0	9449.0	Q813	89
Lao People's Democratic Republic	12748.0	5793.0	6956.0	Q819	90
Latvia	15901.0	6420.0	9481.0	Q211	91
Lebanon	17814.0	9688.0	8126.0	Q822	92
Lesotho	4057.0	1499.0	2558.0	Q1013	93
Liberia	4745.0	2242.0	2503.0	Q1014	94
Libya	11638.0	6343.0	5295.0	Q1016	95
Lithuania	23167.0	9725.0	13442.0	Q37	96
Luxembourg	1190.0	554.0	637.0	Q32	97
Madagascar	31096.0	14871.0	16225.0	Q1019	98
Malawi	12397.0	5740.0	6657.0	Q1020	99
Malaysia	53977.0	30443.0	23534.0	Q833	100
Maldives	460.0	294.0	166.0	Q826	101
Mali	21979.0	9045.0	12935.0	Q912	102
Malta	1336.0	649.0	686.0	Q233	103
Mauritania	5152.0	2293.0	2859.0	Q1025	104
Mauritius	3336.0	1749.0	1587.0	Q1027	105
Mexico	159256.0	83248.0	76009.0	Q96	106
Micronesia (Federated States of)	208.0	103.0	105.0	Q702	107
Mongolia	7497.0	4205.0	3292.0	Q711	108
Montenegro	3786.0	1767.0	2019.0	Q236	109
Morocco	69457.0	32987.0	36470.0	Q1028	110
Mozambique	23748.0	10056.0	13692.0	Q1029	111
Myanmar	108199.0	48085.0	60115.0	Q836	112
Namibia	3283.0	1433.0	1850.0	Q1030	113
Nepal	55127.0	32550.0	22577.0	Q837	114
Netherlands	38132.0	17774.0	20358.0	Q55	115
New Zealand	9477.0	4725.0	4751.0	Q664	116
Nicaragua	7174.0	3439.0	3735.0	Q811	117
Niger	22350.0	10755.0	11595.0	Q1032	118
Nigeria	225602.0	102745.0	122857.0	Q1033	119
Norway	11616.0	5431.0	6185.0	Q20	120
Oman	4047.0	2588.0	1459.0	Q842	121
Pakistan	411569.0	231308.0	180261.0	Q843	122
Panama	5532.0	3129.0	2403.0	Q804	123
Papua New Guinea	13264.0	7115.0	6149.0	Q691	124
Paraguay	10521.0	5467.0	5054.0	Q733	125
Peru	35815.0	18790.0	17025.0	Q419	126
Philippines	233190.0	130495.0	102696.0	Q928	127
Poland	181988.0	83146.0	98842.0	Q36	128
Portugal	31045.0	13891.0	17154.0	Q45	129
Qatar	1054.0	843.0	211.0	Q846	130
Republic of Korea	63568.0	29376.0	34192.0	Q884	131
Republic of Moldova	27384.0	12151.0	15233.0	Q217	132
North Macedonia	12234.0	5992.0	6242.0	Q221	133
Romania	145284.0	67674.0	77610.0	Q218	134
Russian Federation	1022790.0	448096.0	574693.0	Q159	135
Rwanda	9139.0	4178.0	4961.0	Q1037	136
Saint Lucia	442.0	208.0	234.0	Q760	137
Saint Vincent and the Grenadines	318.0	167.0	150.0	Q757	138
Samoa	322.0	188.0	134.0	Q683	139
Sao Tome and Principe	209.0	84.0	126.0	Q1039	140
Saudi Arabia	42440.0	25897.0	16542.0	Q851	141
Senegal	16236.0	7290.0	8947.0	Q1041	142
Serbia	57465.0	26130.0	31335.0	Q403	143
Seychelles	265.0	144.0	121.0	Q1042	144
Sierra Leone	12714.0	5880.0	6835.0	Q1044	145
Singapore	8184.0	4523.0	3662.0	Q334	146
Slovakia	20548.0	9653.0	10895.0	Q214	147
Slovenia	7988.0	3196.0	4792.0	Q215	148
Solomon Islands	804.0	454.0	350.0	Q685	149
Somalia	15981.0	7868.0	8114.0	Q1045	150
South Africa	97559.0	48431.0	49127.0	Q258	151
South Sudan	12205.0	5750.0	6455.0	Q958	152
Spain	118199.0	53742.0	64458.0	Q29	153
Sri Lanka	48601.0	26426.0	22175.0	Q854	154
Sudan	80311.0	39881.0	40430.0	Q1049	155
Suriname	1326.0	729.0	598.0	Q730	156
Sweden	31646.0	15175.0	16471.0	Q34	157
Switzerland	21325.0	9648.0	11677.0	Q39	158
Syrian Arab Republic	37885.0	19659.0	18226.0	Q858	159
Tajikistan	19166.0	10074.0	9092.0	Q863	160
Thailand	124722.0	67182.0	57539.0	Q869	161
Timor-Leste	1318.0	661.0	657.0	Q574	162
Togo	10519.0	5113.0	5405.0	Q945	163
Tonga	155.0	89.0	66.0	Q678	164
Trinidad and Tobago	3945.0	1989.0	1956.0	Q754	165
Tunisia	31987.0	17113.0	14874.0	Q948	166
Turkey	156616.0	81368.0	75248.0	Q43	167
Turkmenistan	18449.0	9713.0	8736.0	Q874	168
Uganda	29643.0	13202.0	16441.0	Q1036	169
Ukraine	402391.0	170239.0	232152.0	Q212	170
