Country	Tons	Change	ID	id_row
Afghanistan	-6529.0	118.1	Q889	0
Albania	900.0	-75.0	Q222	1
Algeria	-8205.0	202.7	Q262	2
American Samoa	0.0	433.3	Q16641	3
Angola	-3705.0	7308.3	Q916	4
Antigua and Barbuda	111.0	748755.0	Q781	5
Argentina	48642.0	100.5	Q414	6
Armenia	3155.0	511.5	Q399	7
Australia	164077.0	483.5	Q408	8
Austria	5305.0	88.2	Q40	9
Azerbaijan	4672.0	354.9	Q227	10
Bahamas, The	772.0	-89.3	Q778	11
Bahrain	9603.0	-87.4	Q398	12
Bangladesh	-9406.0	-87.0	Q902	13
Barbados	47.0	-128.6	Q244	14
Belarus	12276.0	-98.7	Q184	15
Belgium	21938.0	472.5	Q31	16
Belize	195.0	310.0	Q242	17
Benin	16260.0	-54.0	Q962	18
Bermuda	39.0	-100.0	Q23635	19
Bolivia	571837.0	285.4	Q750	20
Bosnia and Herzegovina	-1496.0	-7.3	Q225	21
Botswana	70405.0	17481.4	Q963	22
Brazil	1845285.0	99.3	Q155	23
Brunei Darussalam	2808.0	-96.0	Q921	24
Bulgaria	-1507.0	227.0	Q219	25
Burkina Faso	19323.0	10172.0	Q965	26
Burundi	1738.0	636.0	Q967	27
Cameroon	60974.0	-3.6	Q1009	28
Canada	196078.0	809.1	Q16	29
Central African Republic	328301.0	522.7	Q929	30
Chad	75263.0	381645.5	Q657	31
Chile	15093.0	92.6	Q298	32
China	141901.0	306.1	Q148	33
Hong Kong SAR, China	7583.0	-60.4	Q8646	34
Colombia	10723.0	-93.1	Q739	35
Congo, Dem. Rep.	655562.0	-44.8	Q974	36
Congo, Rep.	21304.0	-57.8	Q971	37
Costa Rica	849.0	838.3	Q800	38
Cote d'Ivoire	-698.0	-100.0	Q1008	39
Croatia	3467.0	-90.0	Q224	40
Cuba	8037.0	-68.6	Q241	41
Cyprus	-784.0	875606.2	Q229	42
Czech Republic	3097.0	645.7	Q213	43
Denmark	-1101.0	-43.9	Q35	44
Djibouti	534.0	-71.7	Q977	45
Dominica	3.0	-100.0	Q784	46
Dominican Republic	1466.0	-69.7	Q786	47
Ecuador	-6627.0	-84.8	Q736	48
Egypt, Arab Rep.	-9129.0	91.8	Q79	49
El Salvador	1064.0	75.3	Q792	50
Equatorial Guinea	1043.0	-100.0	Q983	51
Estonia	-99.0	-99.5	Q191	52
Ethiopia	73227.0	20910.5	Q115	53
Fiji	-97.0	-35.0	Q712	54
Finland	-2170.0	104.1	Q33	55
France	34637.0	78.4	Q142	56
Gabon	24930.0	466.1	Q1000	57
Gambia, The	1754.0	2046.5	Q1005	58
Georgia	222.0	8.3	Q230	59
Germany	65265.0	-44.2	Q183	60
Ghana	55869.0	350.5	Q117	61
Greece	4065.0	-41.1	Q41	62
Grenada	193.0	50.3	Q769	63
Guam	0.0	-100.0	Q16635	64
Guatemala	8210.0	35.9	Q774	65
Guinea	49574.0	1.0	Q1006	66
Guinea-Bissau	4898.0	24223.5	Q1007	67
