Country	Expenditures2012	Expenditures2018	Expenditures2012	Expenditures2018	ID	id_row
Afghanistan	110.0	226.0	1.1	2.8	Q889	0
Albania	1374.0	1750.0	23.5	25.5	Q222	1
Angola	288.0	762.0	0.6	2.9	Q916	2
Antigua and Barbuda	49.0	113.0	7.1	10.1	Q781	3
Argentina	8466.0	13092.0	10.2	15.1	Q414	4
Armenia	874.0	1458.0	17.0	21.9	Q399	5
Aruba	294.0	358.0	10.2	16.0	Q21203	6
Australia	35226.0	42351.0	10.6	13.7	Q408	7
Austria	9987.0	14256.0	4.8	6.0	Q40	8
Azerbaijan	2617.0	2453.0	15.0	13.9	Q227	9
Bahamas. The	384.0	536.0	7.8	10.4	Q778	10
Bahrain	975.0	4023.0	3.8	14.8	Q398	11
Bangladesh	889.0	1208.0	2.4	1.8	Q902	12
Belarus	948.0	1159.0	1.9	2.8	Q184	13
Belgium	22357.0	20830.0	5.4	4.6	Q31	14
Belize	39.0	50.0	3.8	4.4	Q242	15
Bermuda	327.0	340.0	18.2	16.0	Q23635	16
Bhutan	69.0	79.0	5.7	6.3	Q917	17
Bolivia	502.0	1081.0	5.1	8.7	Q750	18
Bosnia and Herzegovina	196.0	366.0	2.0	3.2	Q225	19
Botswana	332.0	269.0	3.4	3.7	Q963	20
Brazil	26008.0	22229.0	8.6	8.6	Q155	21
Brunei Darussalam	591.0	585.0	8.7	10.3	Q921	22
Bulgaria	1096.0	2247.0	3.2	5.4	Q219	23
Burundi	25.0	23.0	2.7	2.5	Q967	24
Cabo Verde	135.0	97.0	11.3	7.3	Q1011	25
Cambodia	406.0	1079.0	3.8	4.9	Q424	26
Cameroon	668.0	915.0	8.2	10.9	Q1009	27
Canada	35032.0	33581.0	5.9	5.7	Q16	28
Chile	2400.0	3086.0	2.7	3.6	Q298	29
China	101977.0	277345.0	5.2	10.9	Q148	30
Hong Kong SAR. China	20077.0	26498.0	3.6	3.9	Q8646	31
Macao SAR. China	1155.0	1411.0	8.1	7.7	Q14773	32
Colombia	4363.0	5625.0	6.3	8.9	Q739	33
Comoros	36.0	45.0	11.3	12.8	Q970	34
Congo. Dem. Rep.	108.0	115.0	1.0	0.6	Q974	35
Costa Rica	647.0	1162.0	3.9	5.9	Q800	36
Croatia	962.0	1737.0	4.1	5.5	Q224	37
Curacao	357.0	535.0	11.4	18.9	Q25279	38
Cyprus	1318.0	1551.0	9.2	8.6	Q229	39
Czech Republic	4556.0	6074.0	3.1	3.4	Q213	40
Denmark	9600.0	10485.0	6.0	5.9	Q35	41
Djibouti	30.0	22.0	4.1	0.5	Q977	42
