Country	Troopspoliceandmilitaryobservers	ID	id_row
Afghanistan	14.0	Q889	0
Burundi	2.0	Q967	1
Central African Republic	12736.0	Q929	2
Congo, Dem. Rep.	17165.0	Q974	3
Cote d'Ivoire	2622.0	Q1008	4
Guinea-Bissau	14.0	Q1007	5
Haiti	1174.0	Q790	6
Iraq	244.0	Q796	7
Kosovo	17.0	Q1246	8
Lebanon	10518.0	Q822	9
Liberia	1712.0	Q1014	10
Libya	2.0	Q1016	11
Mali	13913.0	Q912	12
Solomon Islands	99.0	Q685	13
Somalia	591.0	Q1045	14
South Sudan	15415.0	Q958	15
Sudan	16692.0	Q1049	16
Syrian Arab Republic	985.0	Q858	17
West Bank and Gaza	150.0	Q407199	18
