Country	Populationdensity	ID	id_row
Afghanistan	57.0	Q889	0
Albania	105.0	Q222	1
Algeria	18.0	Q262	2
American Samoa	277.0	Q16641	3
Andorra	164.0	Q228	4
Angola	25.0	Q916	5
Antigua and Barbuda	219.0	Q781	6
Argentina	16.0	Q414	7
Armenia	104.0	Q399	8
Aruba	588.0	Q21203	9
Australia	3.0	Q408	10
Austria	107.0	Q40	11
Azerbaijan	120.0	Q227	12
Bahamas, The	39.0	Q778	13
Bahrain	2017.0	Q398	14
Bangladesh	124.0	Q902	15
Barbados	667.0	Q244	16
Belarus	47.0	Q184	17
Belgium	377.0	Q31	18
Belize	17.0	Q242	19
Benin	102.0	Q962	20
Bermuda	1184.0	Q23635	21
Bhutan	20.0	Q917	22
Bolivia	10.0	Q750	23
Bosnia and Herzegovina	65.0	Q225	24
Botswana	4.0	Q963	25
Brazil	25.0	Q155	26
Brunei Darussalam	81.0	Q921	27
Bulgaria	65.0	Q219	28
Burkina Faso	72.0	Q965	29
Burundi	435.0	Q967	30
Cambodia	92.0	Q424	31
Cameroon	53.0	Q1009	32
Canada	4.0	Q16	33
Cabo Verde	135.0	Q1011	34
Cayman Islands	267.0	Q5785	35
Central African Republic	7.0	Q929	36
Chad	12.0	Q657	37
Channel Islands	861.0	Q42314	38
Chile	25.0	Q298	39
China	148.0	Q148	40
Hong Kong SAR, China	7096.0	Q8646	41
Macao SAR, China	20778.0	Q14773	42
Colombia	45.0	Q739	43
Comoros	447.0	Q970	44
Congo, Dem. Rep.	37.0	Q974	45
Congo, Rep.	15.0	Q971	46
Costa Rica	98.0	Q800	47
Cote d'Ivoire	79.0	Q1008	48
Croatia	73.0	Q224	49
Cuba	109.0	Q241	50
Curacao	361.0	Q25279	51
Cyprus	129.0	Q229	52
Czech Republic	138.0	Q213	53
Denmark	138.0	Q35	54
Djibouti	41.0	Q977	55
Dominica	96.0	Q784	56
Dominican Republic	220.0	Q786	57
Ecuador	69.0	Q736	58
Egypt, Arab Rep.	99.0	Q79	59
El Salvador	310.0	Q792	60
Equatorial Guinea	47.0	Q983	61
Estonia	30.0	Q191	62
Eswatini	66.0	Q1050	63
Ethiopia	109.0	Q115	64
Faroe Islands	35.0	Q4628	65
Fiji	48.0	Q712	66
Finland	18.0	Q33	67
France	122.0	Q142	68
French Polynesia	76.0	Q30971	69
Gabon	8.0	Q1000	70
Gambia, The	225.0	Q1005	71
Georgia	65.0	Q230	72
Germany	237.0	Q183	73
Ghana	131.0	Q117	74
Greece	83.0	Q41	75
Greenland	0.0	Q223	76
Grenada	328.0	Q769	77
Guam	307.0	Q16635	78
Guatemala	153.0	Q774	79
Guinea	51.0	Q1006	80
Guinea-Bissau	67.0	Q1007	81
Guyana	4.0	Q734	82
Haiti	404.0	Q790	83
Honduras	86.0	Q783	84
Hungary	108.0	Q28	85
Iceland	4.0	Q189	86
India	455.0	Q668	87
Indonesia	148.0	Q252	88
Iran, Islamic Rep.	50.0	Q794	89
Iraq	89.0	Q796	90
Ireland	71.0	Q27	91
Isle of Man	148.0	Q9676	92
Israel	410.0	Q801	93
Italy	205.0	Q38	94
Jamaica	271.0	Q766	95
Japan	347.0	Q17	96
Jordan	112.0	Q810	97
Kazakhstan	7.0	Q232	98
Kenya	90.0	Q114	99
Kiribati	143.0	Q710	100
Korea, Dem. People’s Rep.	212.0	Q423	101
Korea, Rep.	529.0	Q884	102
Kosovo	165.0	Q1246	103
Kuwait	232.0	Q817	104
Kyrgyz Republic	33.0	Q813	105
Lao PDR	31.0	Q819	106
Latvia	31.0	Q211	107
Lebanon	669.0	Q822	108
Lesotho	69.0	Q1013	109
Liberia	50.0	Q1014	110
Libya	4.0	Q1016	111
Liechtenstein	237.0	Q347	112
Lithuania	45.0	Q37	113
Luxembourg	250.0	Q32	114
Madagascar	45.0	Q1019	115
Malawi	192.0	Q1020	116
Malaysia	96.0	Q833	117
Maldives	1719.0	Q826	118
Mali	16.0	Q912	119
Malta	1514.0	Q233	120
Marshall Islands	325.0	Q709	121
Mauritania	4.0	Q1025	122
Mauritius	623.0	Q1027	123
Mexico	65.0	Q96	124
Micronesia, Fed. Sts.	161.0	Q702	125
Moldova	94.0	Q217	126
Monaco	19196.0	Q235	127
Mongolia	2.0	Q711	128
Montenegro	46.0	Q236	129
Morocco	81.0	Q1028	130
Mozambique	38.0	Q1029	131
Myanmar	82.0	Q836	132
Namibia	3.0	Q1030	133
Nauru	635.0	Q697	134
Nepal	196.0	Q837	135
Netherlands	511.0	Q55	136
New Caledonia	16.0	Q33788	137
New Zealand	18.0	Q664	138
Nicaragua	54.0	Q811	139
Niger	18.0	Q1032	140
Nigeria	215.0	Q1033	141
North Macedonia	83.0	Q221	142
Northern Mariana Islands	124.0	Q16644	143
Norway	15.0	Q20	144
Oman	16.0	Q842	145
Pakistan	275.0	Q843	146
Palau	39.0	Q695	147
Panama	56.0	Q804	148
Papua New Guinea	19.0	Q691	149
Paraguay	18.0	Q733	150
Peru	25.0	Q419	151
Philippines	358.0	Q928	152
Poland	124.0	Q36	153
Portugal	112.0	Q45	154
Puerto Rico	360.0	Q1183	155
Qatar	240.0	Q846	156
Romania	85.0	Q218	157
Russian Federation	9.0	Q159	158
Rwanda	499.0	Q1037	159
Samoa	69.0	Q683	160
San Marino	563.0	Q238	161
Sao Tome and Principe	220.0	Q1039	162
Saudi Arabia	16.0	Q851	163
Senegal	82.0	Q1041	164
Serbia	80.0	Q403	165
Seychelles	210.0	Q1042	166
Sierra Leone	106.0	Q1044	167
Singapore	7953.0	Q334	168
Sint Maarten (Dutch part)	1193.0	Q26273	169
Slovak Republic	113.0	Q214	170
Slovenia	103.0	Q215	171
Solomon Islands	23.0	Q685	172
Somalia	24.0	Q1045	173
South Africa	48.0	Q258	174
Spain	94.0	Q29	175
Sri Lanka	346.0	Q854	176
St. Kitts and Nevis	202.0	Q763	177
St. Lucia	298.0	Q760	178
St. Martin (French part)	672.0	Q126125	179
St. Vincent and the Grenadines	283.0	Q757	180
Suriname	4.0	Q730	181
Sweden	25.0	Q34	182
Switzerland	215.0	Q39	183
Syrian Arab Republic	92.0	Q858	184
Tajikistan	66.0	Q863	185
Tanzania	64.0	Q924	186
Thailand	136.0	Q869	187
Timor-Leste	85.0	Q574	188
Togo	145.0	Q945	189
Tonga	143.0	Q678	190
Trinidad and Tobago	271.0	Q754	191
Tunisia	74.0	Q948	192
Turkey	107.0	Q43	193
Turkmenistan	12.0	Q874	194
Turks and Caicos Islands	40.0	Q18221	195
Tuvalu	384.0	Q672	196
Uganda	213.0	Q1036	197
Ukraine	77.0	Q212	198
United Arab Emirates	136.0	Q878	199
United Kingdom	275.0	Q145	200
United States	36.0	Q30	201
Uruguay	20.0	Q77	202
Uzbekistan	77.0	Q265	203
Vanuatu	24.0	Q686	204
Venezuela, RB	33.0	Q717	205
Vietnam	308.0	Q881	206
Virgin Islands (U.S.)	306.0	Q11703	207
West Bank and Gaza	759.0	Q407199	208
Yemen, Rep.	54.0	Q805	209
Zambia	23.0	Q953	210
Zimbabwe	37.0	Q954	211
