Country	Portcontainertraffic	ID	id_row
Algeria	1466.0	Q262	0
Angola	778.0	Q916	1
Antigua and Barbuda	18.0	Q781	2
Argentina	1801.0	Q414	3
Aruba	32.0	Q21203	4
Australia	8747.0	Q408	5
Austria	286.0	Q40	6
Bahamas, The	939.0	Q778	7
Bahrain	432.0	Q398	8
Bangladesh	2827.0	Q902	9
Barbados	101.0	Q244	10
Belgium	12682.0	Q31	11
Belize	45.0	Q242	12
Benin	333.0	Q962	13
Brazil	10312.0	Q155	14
Brunei Darussalam	139.0	Q921	15
Bulgaria	217.0	Q219	16
Cambodia	742.0	Q424	17
Cameroon	406.0	Q1009	18
Canada	6664.0	Q16	19
Cayman Islands	113.0	Q5785	20
Chile	4663.0	Q298	21
China	225829.0	Q148	22
Hong Kong SAR, China	19641.0	Q8646	23
Colombia	4125.0	Q739	24
Congo, Dem. Rep.	49.0	Q974	25
Congo, Rep.	580.0	Q971	26
Costa Rica	1493.0	Q800	27
Cote d'Ivoire	907.0	Q1008	28
Croatia	265.0	Q224	29
Cuba	350.0	Q241	30
Curacao	98.0	Q25279	31
Cyprus	308.0	Q229	32
Denmark	1676.0	Q35	33
Djibouti	847.0	Q977	34
Dominica	8.0	Q784	35
Dominican Republic	1922.0	Q786	36
Ecuador	2434.0	Q736	37
Egypt, Arab Rep.	6152.0	Q79	38
El Salvador	231.0	Q792	39
Equatorial Guinea	10.0	Q983	40
Estonia	223.0	Q191	41
Fiji	93.0	Q712	42
Finland	1592.0	Q33	43
France	6369.0	Q142	44
French Polynesia	76.0	Q30971	45
Gabon	156.0	Q1000	46
Gambia, The	65.0	Q1005	47
Georgia	285.0	Q230	48
Germany	19598.0	Q183	49
Ghana	1009.0	Q117	50
Greece	5324.0	Q41	51
Grenada	24.0	Q769	52
Guam	163.0	Q16635	53
Guatemala	1531.0	Q774	54
Guinea	172.0	Q1006	55
Guyana	122.0	Q734	56
Haiti	196.0	Q790	57
Honduras	976.0	Q783	58
Iceland	352.0	Q189	59
India	16383.0	Q668	60
Indonesia	12853.0	Q252	61
Iran, Islamic Rep.	2379.0	Q794	62
Ireland	988.0	Q27	63
Israel	2946.0	Q801	64
Italy	10547.0	Q38	65
Jamaica	1833.0	Q766	66
Japan	22434.0	Q17	67
Jordan	815.0	Q810	68
Kenya	1300.0	Q114	69
Korea, Rep.	28945.0	Q884	70
Kuwait	3099.0	Q817	71
Latvia	473.0	Q211	72
Lebanon	1306.0	Q822	73
Liberia	128.0	Q1014	74
Libya	98.0	Q1016	75
Lithuania	750.0	Q37	76
Madagascar	174.0	Q1019	77
Malaysia	24956.0	Q833	78
Maldives	89.0	Q826	79
Malta	3315.0	Q233	80
Mauritania	90.0	Q1025	81
Mauritius	451.0	Q1027	82
Mexico	6980.0	Q96	83
Morocco	4764.0	Q1028	84
Mozambique	454.0	Q1029	85
Myanmar	1288.0	Q836	86
Namibia	360.0	Q1030	87
Netherlands	14826.0	Q55	88
New Caledonia	117.0	Q33788	89
New Zealand	3329.0	Q664	90
Nicaragua	276.0	Q811	91
Nigeria	1210.0	Q1033	92
Norway	898.0	Q20	93
Oman	4224.0	Q842	94
Pakistan	3275.0	Q843	95
Panama	6872.0	Q804	96
Papua New Guinea	341.0	Q691	97
Peru	2668.0	Q419	98
Philippines	8638.0	Q928	99
Poland	2834.0	Q36	100
Portugal	3199.0	Q45	101
Qatar	1835.0	Q846	102
Romania	678.0	Q218	103
Russian Federation	6335.0	Q159	104
Samoa	30.0	Q683	105
Saudi Arabia	8670.0	Q851	106
Senegal	571.0	Q1041	107
Sierra Leone	89.0	Q1044	108
Singapore	36600.0	Q334	109
Sint Maarten (Dutch part)	83.0	Q26273	110
Slovenia	989.0	Q215	111
South Africa	4892.0	Q258	112
Spain	17190.0	Q29	113
Sri Lanka	7000.0	Q854	114
St. Kitts and Nevis	14.0	Q763	115
St. Lucia	30.0	Q760	116
St. Vincent and the Grenadines	20.0	Q757	117
Sudan	552.0	Q1049	118
Suriname	115.0	Q730	119
Sweden	1593.0	Q34	120
Switzerland	103.0	Q39	121
Syrian Arab Republic	106.0	Q858	122
Tanzania	1190.0	Q924	123
Thailand	11185.0	Q869	124
Togo	1194.0	Q945	125
Trinidad and Tobago	359.0	Q754	126
Tunisia	493.0	Q948	127
Turkey	9943.0	Q43	128
Ukraine	1179.0	Q212	129
United Arab Emirates	19054.0	Q878	130
United Kingdom	11695.0	Q145	131
United States	54688.0	Q30	132
Uruguay	798.0	Q77	133
Venezuela, RB	371.0	Q717	134
Vietnam	16374.0	Q881	135
Yemen, Rep.	535.0	Q805	136
