Country	Pregnantwomen	ID	id_row
Afghanistan	59.0	Q889	0
Albania	88.0	Q222	1
Algeria	93.0	Q262	2
Angola	82.0	Q916	3
Armenia	100.0	Q399	4
Bangladesh	64.0	Q902	5
Belize	97.0	Q242	6
Benin	83.0	Q962	7
Bolivia	96.0	Q750	8
Brazil	97.0	Q155	9
Burkina Faso	80.0	Q965	10
Burundi	99.0	Q967	11
Cambodia	95.0	Q424	12
Cameroon	83.0	Q1009	13
Chad	55.0	Q657	14
China	100.0	Q148	15
Colombia	97.0	Q739	16
Congo, Dem. Rep.	88.0	Q974	17
Congo, Rep.	94.0	Q971	18
Cote d'Ivoire	93.0	Q1008	19
Cuba	99.0	Q241	20
Dominican Republic	98.0	Q786	21
Egypt, Arab Rep.	90.0	Q79	22
El Salvador	96.0	Q792	23
Eswatini	99.0	Q1050	24
Ethiopia	62.0	Q115	25
Gambia, The	86.0	Q1005	26
Ghana	98.0	Q117	27
Guatemala	91.0	Q774	28
Guinea	81.0	Q1006	29
Guinea-Bissau	92.0	Q1007	30
Guyana	91.0	Q734	31
Haiti	91.0	Q790	32
India	79.0	Q668	33
Indonesia	98.0	Q252	34
Iraq	88.0	Q796	35
Jordan	98.0	Q810	36
Kazakhstan	99.0	Q232	37
Kenya	94.0	Q114	38
Korea, Dem. Peopleâ€™s Rep.	100.0	Q423	39
Kosovo	98.0	Q1246	40
Kyrgyz Republic	98.0	Q813	41
Lao PDR	78.0	Q819	42
Lesotho	95.0	Q1013	43
Liberia	98.0	Q1014	44
Madagascar	87.0	Q1019	45
Malawi	98.0	Q1020	46
Malaysia	97.0	Q833	47
Maldives	99.0	Q826	48
Mali	80.0	Q912	49
Mauritania	87.0	Q1025	50
Mexico	99.0	Q96	51
Mongolia	99.0	Q711	52
Montenegro	92.0	Q236	53
Morocco	89.0	Q1028	54
Mozambique	94.0	Q1029	55
Myanmar	81.0	Q836	56
Namibia	97.0	Q1030	57
Nepal	84.0	Q837	58
Nigeria	67.0	Q1033	59
Oman	99.0	Q842	60
Pakistan	86.0	Q843	61
Panama	93.0	Q804	62
Papua New Guinea	76.0	Q691	63
Paraguay	99.0	Q733	64
Peru	97.0	Q419	65
Philippines	94.0	Q928	66
Romania	76.0	Q218	67
Rwanda	98.0	Q1037	68
Samoa	93.0	Q683	69
Sao Tome and Principe	98.0	Q1039	70
Senegal	97.0	Q1041	71
Serbia	98.0	Q403	72
Sierra Leone	97.0	Q1044	73
Solomon Islands	89.0	Q685	74
South Africa	94.0	Q258	75
South Sudan	62.0	Q958	76
Sri Lanka	99.0	Q854	77
Sudan	79.0	Q1049	78
Tajikistan	92.0	Q863	79
Tanzania	98.0	Q924	80
Thailand	98.0	Q869	81
Timor-Leste	84.0	Q574	82
Togo	52.0	Q945	83
Turkey	97.0	Q43	84
Turkmenistan	100.0	Q874	85
Uganda	97.0	Q1036	86
Uruguay	97.0	Q77	87
Uzbekistan	99.0	Q265	88
Vanuatu	76.0	Q686	89
Venezuela, RB	98.0	Q717	90
Vietnam	96.0	Q881	91
West Bank and Gaza	99.0	Q407199	92
Yemen, Rep.	60.0	Q805	93
Zambia	97.0	Q953	94
Zimbabwe	93.0	Q954	95
