Country	Surveyyear	Poorestquintile	Richestquintile	ID	id_row
Afghanistan	2015	51.0	76.0	Q889	0
Albania	2018	87.0	98.0	Q222	1
Algeria	2013	88.0	96.0	Q262	2
Angola	2016	57.0	98.0	Q916	3
Armenia	2016	99.0	100.0	Q399	4
Bangladesh	2014	36.0	90.0	Q902	5
Barbados	2012	81.0	100.0	Q244	6
Belarus	2012	98.0	100.0	Q184	7
Belize	2016	99.0	97.0	Q242	8
Benin	2018	64.0	96.0	Q962	9
Bhutan	2010	96.0	99.0	Q917	10
Bolivia	2008	79.0	97.0	Q750	11
Burkina Faso	2018	79.0	90.0	Q965	12
Burundi	2017	98.0	99.0	Q967	13
Cambodia	2014	91.0	99.0	Q424	14
Cameroon	2014	58.0	98.0	Q1009	15
Central African Republic	2010	53.0	90.0	Q929	16
Chad	2015	60.0	86.0	Q657	17
Colombia	2015	92.0	100.0	Q739	18
Comoros	2012	87.0	94.0	Q970	19
Congo, Dem. Rep.	2014	80.0	96.0	Q974	20
Congo, Rep.	2016	80.0	100.0	Q971	21
Costa Rica	2011	96.0	99.0	Q800	22
Cote d'Ivoire	2016	86.0	96.0	Q1008	23
Dominican Republic	2014	98.0	99.0	Q786	24
Egypt, Arab Rep.	2014	86.0	96.0	Q79	25
El Salvador	2014	94.0	99.0	Q792	26
Eswatini	2014	99.0	99.0	Q1050	27
Ethiopia	2016	48.0	88.0	Q115	28
Gabon	2012	86.0	97.0	Q1000	29
Gambia, The	2018	99.0	98.0	Q1005	30
Ghana	2016	94.0	98.0	Q117	31
Guatemala	2015	86.0	98.0	Q774	32
Guinea	2018	68.0	95.0	Q1006	33
Guinea-Bissau	2014	90.0	98.0	Q1007	34
Guyana	2014	76.0	99.0	Q734	35
Haiti	2017	81.0	99.0	Q790	36
Honduras	2012	94.0	99.0	Q783	37
India	2016	58.0	94.0	Q668	38
Indonesia	2017	92.0	100.0	Q252	39
Iraq	2018	77.0	95.0	Q796	40
Jamaica	2011	97.0	99.0	Q766	41
Jordan	2018	97.0	98.0	Q810	42
Kazakhstan	2015	99.0	100.0	Q232	43
Kenya	2015	89.0	98.0	Q114	44
Kosovo	2014	95.0	99.0	Q1246	45
Kyrgyz Republic	2018	100.0	100.0	Q813	46
Lao PDR	2017	52.0	97.0	Q819	47
Lesotho	2018	87.0	95.0	Q1013	48
Liberia	2016	94.0	100.0	Q1014	49
Madagascar	2016	75.0	96.0	Q1019	50
Malawi	2017	97.0	98.0	Q1020	51
Maldives	2017	98.0	100.0	Q826	52
Mali	2018	69.0	97.0	Q912	53
Mauritania	2015	75.0	97.0	Q1025	54
Mexico	2015	97.0	100.0	Q96	55
Moldova	2012	95.0	99.0	Q217	56
Mongolia	2018	99.0	100.0	Q711	57
Montenegro	2013	84.0	95.0	Q236	58
Mozambique	2018	93.0	99.0	Q1029	59
Myanmar	2016	70.0	99.0	Q836	60
Namibia	2013	95.0	97.0	Q1030	61
Nepal	2016	77.0	95.0	Q837	62
Niger	2012	73.0	96.0	Q1032	63
Nigeria	2018	40.0	93.0	Q1033	64
North Macedonia	2011	97.0	100.0	Q221	65
Pakistan	2018	68.0	98.0	Q843	66
Papua New Guinea	2018	56.0	94.0	Q691	67
Paraguay	2016	98.0	100.0	Q733	68
Peru	2012	86.0	100.0	Q419	69
Philippines	2017	85.0	99.0	Q928	70
Rwanda	2017	96.0	100.0	Q1037	71
Sao Tome and Principe	2014	95.0	100.0	Q1039	72
Senegal	2017	94.0	99.0	Q1041	73
Serbia	2014	98.0	95.0	Q403	74
Sierra Leone	2017	96.0	99.0	Q1044	75
South Africa	2016	95.0	92.0	Q258	76
South Sudan	2010	21.0	68.0	Q958	77
Sudan	2014	62.0	97.0	Q1049	78
Suriname	2018	89.0	78.0	Q730	79
Tajikistan	2017	86.0	96.0	Q863	80
Tanzania	2017	96.0	100.0	Q924	81
Thailand	2016	98.0	100.0	Q869	82
Timor-Leste	2016	75.0	95.0	Q574	83
Togo	2017	21.0	94.0	Q945	84
Tunisia	2018	97.0	97.0	Q948	85
Turkey	2013	93.0	100.0	Q43	86
Turkmenistan	2016	100.0	100.0	Q874	87
Uganda	2016	96.0	98.0	Q1036	88
Ukraine	2012	99.0	99.0	Q212	89
Vietnam	2014	81.0	100.0	Q881	90
West Bank and Gaza	2014	100.0	99.0	Q407199	91
Yemen, Rep.	2013	39.0	88.0	Q805	92
Zambia	2014	92.0	99.0	Q953	93
Zimbabwe	2015	88.0	98.0	Q954	94
