Country	Childrenunderage5	Pregnantwomen	Nonpregnantwomen	ID	id_row
Afghanistan	46.0	38.0	42.0	Q889	0
Albania	25.0	23.0	25.0	Q222	1
Algeria	30.0	39.0	36.0	Q262	2
Andorra	13.0	22.0	14.0	Q228	3
Angola	51.0	51.0	47.0	Q916	4
Antigua and Barbuda	32.0	25.0	22.0	Q781	5
Argentina	22.0	29.0	18.0	Q414	6
Armenia	32.0	36.0	29.0	Q399	7
Australia	14.0	20.0	9.0	Q408	8
Austria	13.0	25.0	17.0	Q40	9
Azerbaijan	24.0	40.0	38.0	Q227	10
Bahamas, The	30.0	28.0	23.0	Q778	11
Bahrain	30.0	43.0	42.0	Q398	12
Bangladesh	40.0	46.0	40.0	Q902	13
Barbados	32.0	26.0	21.0	Q244	14
Belarus	25.0	24.0	23.0	Q184	15
Belgium	13.0	24.0	16.0	Q31	16
Belize	23.0	21.0	22.0	Q242	17
Benin	62.0	56.0	46.0	Q962	18
Bhutan	44.0	33.0	36.0	Q917	19
Bolivia	47.0	37.0	30.0	Q750	20
Bosnia and Herzegovina	28.0	30.0	29.0	Q225	21
Botswana	40.0	34.0	30.0	Q963	22
Brazil	25.0	37.0	27.0	Q155	23
Brunei Darussalam	16.0	27.0	17.0	Q921	24
Bulgaria	27.0	28.0	26.0	Q219	25
Burkina Faso	86.0	58.0	49.0	Q965	26
Burundi	47.0	31.0	26.0	Q967	27
Cabo Verde	55.0	43.0	33.0	Q1011	28
Cambodia	54.0	56.0	46.0	Q424	29
Cameroon	63.0	49.0	41.0	Q1009	30
Canada	9.0	17.0	9.0	Q16	31
Central African Republic	72.0	52.0	45.0	Q929	32
Chad	73.0	52.0	47.0	Q657	33
Chile	20.0	27.0	15.0	Q298	34
China	21.0	32.0	26.0	Q148	35
Colombia	27.0	27.0	21.0	Q739	36
Comoros	48.0	34.0	29.0	Q970	37
Congo, Dem. Rep.	63.0	44.0	41.0	Q974	38
Congo, Rep.	64.0	57.0	51.0	Q971	39
Costa Rica	29.0	25.0	15.0	Q800	40
Cote d'Ivoire	73.0	59.0	52.0	Q1008	41
Croatia	27.0	29.0	27.0	Q224	42
Cuba	29.0	29.0	25.0	Q241	43
Cyprus	18.0	29.0	25.0	Q229	44
Czech Republic	26.0	27.0	26.0	Q213	45
Denmark	13.0	23.0	16.0	Q35	46
Djibouti	42.0	38.0	32.0	Q977	47
Dominica	33.0	29.0	24.0	Q784	48
Dominican Republic	28.0	33.0	30.0	Q786	49
Ecuador	28.0	26.0	18.0	Q736	50
Egypt, Arab Rep.	32.0	23.0	29.0	Q79	51
El Salvador	31.0	29.0	22.0	Q792	52
Equatorial Guinea	64.0	52.0	43.0	Q983	53
Eritrea	57.0	41.0	38.0	Q986	54
Estonia	26.0	26.0	26.0	Q191	55
Eswatini	42.0	30.0	27.0	Q1050	56
Ethiopia	50.0	24.0	23.0	Q115	57
Fiji	38.0	39.0	31.0	Q712	58
Finland	13.0	22.0	16.0	Q33	59
France	13.0	25.0	18.0	Q142	60
Gabon	63.0	61.0	59.0	Q1000	61
Gambia, The	76.0	62.0	57.0	Q1005	62
Georgia	24.0	30.0	27.0	Q230	63
Germany	12.0	23.0	16.0	Q183	64
Ghana	67.0	54.0	46.0	Q117	65
Greece	14.0	24.0	16.0	Q41	66
Grenada	34.0	28.0	23.0	Q769	67
Guatemala	37.0	25.0	16.0	Q774	68
Guinea	74.0	61.0	50.0	Q1006	69
Guinea-Bissau	68.0	51.0	43.0	Q1007	70
Guyana	38.0	29.0	33.0	Q734	71
Haiti	58.0	50.0	46.0	Q790	72
Honduras	31.0	21.0	18.0	Q783	73
Hungary	27.0	27.0	26.0	Q28	74
Iceland	12.0	22.0	16.0	Q189	75
India	57.0	50.0	52.0	Q668	76
Indonesia	37.0	42.0	28.0	Q252	77
Iran, Islamic Rep.	28.0	34.0	30.0	Q794	78
Iraq	24.0	34.0	29.0	Q796	79
Ireland	13.0	22.0	15.0	Q27	80
Israel	13.0	24.0	15.0	Q801	81
Italy	13.0	25.0	17.0	Q38	82
Jamaica	28.0	27.0	22.0	Q766	83
Japan	13.0	34.0	21.0	Q17	84
Jordan	31.0	37.0	35.0	Q810	85
Kazakhstan	29.0	30.0	31.0	Q232	86
