Country	Male	Female	ID	id_row
Afghanistan	4.0	4.2	Q889	0
Albania	17.4	15.4	Q222	1
Algeria	12.9	12.0	Q262	2
Angola	3.1	3.6	Q916	3
Armenia	14.6	12.7	Q399	4
Azerbaijan	15.1	12.8	Q227	5
Bangladesh	1.6	1.5	Q902	6
Barbados	11.3	13.3	Q244	7
Belize	8.0	6.5	Q242	8
Benin	1.8	1.9	Q962	9
Bolivia	11.1	9.2	Q750	10
Bosnia and Herzegovina	16.7	18.0	Q225	11
Burkina Faso	1.0	1.0	Q965	12
Burundi	1.5	1.2	Q967	13
Cambodia	2.6	1.8	Q424	14
Cameroon	7.1	6.2	Q1009	15
Central African Republic	2.2	1.8	Q929	16
Chad	2.8	2.8	Q657	17
Colombia	6.7	4.7	Q739	18
Comoros	11.2	10.0	Q970	19
Congo, Dem. Rep.	4.5	4.4	Q974	20
Congo, Rep.	4.8	7.0	Q971	21
Cote d'Ivoire	1.8	1.1	Q1008	22
Djibouti	7.8	8.5	Q977	23
Dominican Republic	7.9	7.3	Q786	24
Ecuador	8.4	7.6	Q736	25
Egypt, Arab Rep.	16.3	15.0	Q79	26
El Salvador	6.2	6.6	Q792	27
Ethiopia	3.1	2.8	Q115	28
Gabon	9.2	6.2	Q1000	29
Gambia, The	2.9	2.1	Q1005	30
Ghana	3.6	1.6	Q117	31
Guatemala	5.1	4.8	Q774	32
Guinea	5.7	5.6	Q1006	33
Guinea-Bissau	2.7	1.9	Q1007	34
Guyana	5.7	4.8	Q734	35
Haiti	4.0	2.8	Q790	36
Honduras	5.5	4.8	Q783	37
India	2.4	2.4	Q668	38
Iraq	6.3	5.7	Q796	39
Jamaica	7.7	9.0	Q766	40
Jordan	5.6	3.8	Q810	41
Kazakhstan	8.7	10.0	Q232	42
Kenya	4.7	3.5	Q114	43
Kyrgyz Republic	6.8	7.1	Q813	44
Lao PDR	3.9	3.1	Q819	45
Lesotho	7.3	5.8	Q1013	46
Liberia	3.5	1.9	Q1014	47
North Macedonia	13.4	11.4	Q221	48
Madagascar	1.6	1.2	Q1019	49
Malawi	2.7	2.4	Q1020	50
Mali	2.2	1.8	Q912	51
Marshall Islands	4.9	3.2	Q709	52
Mauritania	1.4	1.6	Q1025	53
Mexico	5.3	5.3	Q96	54
Moldova	6.0	3.7	Q217	55
Mongolia	11.2	9.8	Q711	56
Montenegro	24.7	19.6	Q236	57
Morocco	12.4	9.3	Q1028	58
Mozambique	7.6	6.4	Q1029	59
Myanmar	1.9	1.1	Q836	60
Namibia	3.8	4.2	Q1030	61
Nepal	1.3	1.0	Q837	62
Nicaragua	8.6	7.9	Q811	63
Niger	1.2	1.0	Q1032	64
Nigeria	2.3	1.8	Q1033	65
Pakistan	2.3	2.6	Q843	66
Paraguay	13.0	11.9	Q733	67
Peru	9.2	7.8	Q419	68
Philippines	3.4	3.2	Q928	69
Rwanda	6.3	4.9	Q1037	70
Samoa	6.2	4.4	Q683	71
Sao Tome and Principe	2.6	2.2	Q1039	72
Senegal	2.7	2.5	Q1041	73
Serbia	15.6	12.0	Q403	74
Sierra Leone	2.2	1.8	Q1044	75
Solomon Islands	4.6	4.4	Q685	76
South Africa	15.5	11.0	Q258	77
Sri Lanka	0.7	0.4	Q854	78
St. Lucia	8.9	3.8	Q760	79
Sudan	3.2	2.8	Q1049	80
Eswatini	9.0	8.9	Q1050	81
Tajikistan	3.5	3.2	Q863	82
Tanzania	3.8	3.6	Q924	83
Thailand	8.8	7.5	Q869	84
Timor-Leste	1.5	1.7	Q574	85
Togo	1.8	2.2	Q945	86
Trinidad and Tobago	13.0	9.8	Q754	87
Tunisia	18.0	16.5	Q948	88
Turkey	11.9	10.2	Q43	89
Turkmenistan	6.0	5.7	Q874	90
Uganda	4.9	2.6	Q1036	91
Uzbekistan	5.4	3.6	Q265	92
Vanuatu	5.2	4.7	Q686	93
West Bank and Gaza	9.1	7.1	Q407199	94
Yemen, Rep.	2.4	2.5	Q805	95
Zambia	5.4	5.0	Q953	96
Zimbabwe	2.9	2.2	Q954	97
