Country	Spending	ID	id_row
Afghanistan	58.2	Q889	0
Albania	13.8	Q222	1
Andorra	22.3	Q228	2
Argentina	16.9	Q414	3
Armenia	9.9	Q399	4
Aruba (Netherlands)	100.2	Q21203	5
Australia	17.8	Q408	6
Austria	36.2	Q40	7
Azerbaijan	19.4	Q227	8
Bahrain	21.4	Q398	9
Bangladesh	29.9	Q902	10
Barbados	41.7	Q244	11
Belarus	17.9	Q184	12
Belgium	32.2	Q31	13
Belize	27.3	Q242	14
Bermuda	23.9	Q23635	15
Bhutan	50.7	Q917	16
Bosnia and Herzegovina	23.7	Q225	17
Brazil	33.0	Q155	18
British Virgin Islands (United Kingdom)	40.0	Q25305	19
Brunei	31.9	Q921	20
Bulgaria	16.6	Q219	21
Cambodia	5.3	Q424	22
Cameroon	19.4	Q1009	23
Canada	31.4	Q16	24
Cape Verde	38.3	Q1011	25
Central African Republic	100.5	Q929	26
Chad	186.7	Q657	27
Chile	20.3	Q298	28
Colombia	21.6	Q739	29
Costa Rica	37.5	Q800	30
Croatia	25.7	Q224	31
Cyprus	26.5	Q229	32
Czech Republic	20.3	Q213	33
Denmark	43.1	Q35	34
Djibouti	193.0	Q977	35
Ecuador	52.7	Q736	36
El Salvador	11.1	Q792	37
Eritrea	592.3	Q986	38
Estonia	36.9	Q191	39
Eswatini	128.2	Q1050	40
Finland	33.9	Q33	41
France	31.6	Q142	42
Georgia	10.0	Q230	43
Germany	33.6	Q183	44
Ghana	55.5	Q117	45
Greece	11.2	Q41	46
Grenada	5.2	Q769	47
Guatemala	18.1	Q774	48
Guyana	13.7	Q734	49
Honduras	40.9	Q783	50
Hong Kong	24.2	Q8646	51
Hungary	25.4	Q28	52
Iceland	27.3	Q189	53
India	49.3	Q668	54
Indonesia	20.8	Q252	55
Iran	24.2	Q794	56
Ireland	15.5	Q27	57
Israel	18.2	Q801	58
Italy	24.3	Q38	59
Jamaica	36.6	Q766	60
Japan	20.6	Q17	61
Jordan	25.3	Q810	62
Kazakhstan	7.5	Q232	63
Kenya	76.4	Q114	64
Kyrgyzstan	4.9	Q813	65
Laos	20.3	Q819	66
Latvia	17.7	Q211	67
Lebanon	19.5	Q822	68
Lesotho	44.7	Q1013	69
Lithuania	18.0	Q37	70
Luxembourg	42.8	Q32	71
Macau (People's Republic of China)	19.1	Q14773	72
Malaysia	23.8	Q833	73
Mali	166.9	Q912	74
Malta	44.4	Q233	75
Mauritania	95.8	Q1025	76
Mauritius	9.6	Q1027	77
Mexico	29.7	Q96	78
Moldova	26.6	Q217	79
Mongolia	5.2	Q711	80
Mozambique	165.6	Q1029	81
Myanmar	16.7	Q836	82
Namibia	76.0	Q1030	83
Nepal	24.2	Q837	84
Netherlands	35.8	Q55	85
New Zealand	25.3	Q664	86
Norway	39.8	Q20	87
Pakistan	67.2	Q843	88
Panama	18.7	Q804	89
Paraguay	14.3	Q733	90
Peru	10.9	Q419	91
Poland	25.4	Q36	92
Portugal	26.9	Q45	93
Romania	26.1	Q218	94
Russia	19.8	Q159	95
Rwanda	97.7	Q1037	96
San Marino	8.7	Q238	97
Senegal	131.0	Q1041	98
Serbia	29.8	Q403	99
Singapore	23.5	Q334	100
Slovakia	27.6	Q214	101
Slovenia	24.3	Q215	102
South Africa	48.0	Q258	103
South Korea	15.0	Q884	104
Spain	21.8	Q29	105
Sri Lanka	31.6	Q854	106
Sweden	43.2	Q34	107
Switzerland	37.4	Q39	108
Tajikistan	19.6	Q863	109
Thailand	18.2	Q869	110
Tunisia	54.7	Q948	111
Turkey	35.3	Q43	112
Turks and Caicos Islands	87.6	Q18221	113
Ukraine  (excluding territories in dispute)	34.5	Q212	114
United Kingdom	38.0	Q145	115
United States	19.4	Q30	116
Uruguay	25.4	Q77	117
Vietnam	34.2	Q881	118
Zimbabwe	161.4	Q954	119
