Country	Primary	Secondary	ID	id_row
Afghanistan	49.0	34.0	Q889	0
Albania	18.0	11.0	Q222	1
Andorra	10.0	8.0	Q228	2
Antigua and Barbuda	12.0	9.0	Q781	3
Armenia	15.0	8.0	Q399	4
Austria	10.0	9.0	Q40	5
Azerbaijan	15.0	8.0	Q227	6
Bahamas, The	19.0	12.0	Q778	7
Bahrain	12.0	10.0	Q398	8
Bangladesh	30.0	35.0	Q902	9
Barbados	14.0	18.0	Q244	10
Belarus	19.0	9.0	Q184	11
Belgium	11.0	9.0	Q31	12
Belize	20.0	17.0	Q242	13
Benin	39.0	11.0	Q962	14
Bhutan	35.0	11.0	Q917	15
Bolivia	18.0	18.0	Q750	16
Bosnia and Herzegovina	17.0	9.0	Q225	17
Brazil	20.0	17.0	Q155	18
Brunei Darussalam	10.0	8.0	Q921	19
Bulgaria	15.0	13.0	Q219	20
Burkina Faso	40.0	23.0	Q965	21
Burundi	43.0	27.0	Q967	22
Cabo Verde	21.0	15.0	Q1011	23
Cameroon	45.0	19.0	Q1009	24
Cayman Islands	16.0	11.0	Q5785	25
Central African Republic	83.0	32.0	Q929	26
Chad	57.0	27.0	Q657	27
Chile	18.0	18.0	Q298	28
China	16.0	13.0	Q148	29
Hong Kong SAR, China	13.0	11.0	Q8646	30
Macao SAR, China	13.0	10.0	Q14773	31
Colombia	23.0	26.0	Q739	32
Comoros	28.0	8.0	Q970	33
Costa Rica	12.0	12.0	Q800	34
Cote d'Ivoire	42.0	27.0	Q1008	35
Croatia	14.0	7.0	Q224	36
Cuba	9.0	10.0	Q241	37
Cyprus	12.0	8.0	Q229	38
Djibouti	29.0	25.0	Q977	39
Dominican Republic	19.0	19.0	Q786	40
Ecuador	24.0	21.0	Q736	41
Egypt, Arab Rep.	24.0	15.0	Q79	42
El Salvador	27.0	28.0	Q792	43
Eritrea	39.0	35.0	Q986	44
Estonia	11.0	9.0	Q191	45
Eswatini	27.0	16.0	Q1050	46
Finland	14.0	14.0	Q33	47
Georgia	9.0	8.0	Q230	48
Germany	12.0	12.0	Q183	49
Ghana	27.0	16.0	Q117	50
Greece	9.0	9.0	Q41	51
Grenada	16.0	13.0	Q769	52
Guatemala	20.0	10.0	Q774	53
Honduras	26.0	17.0	Q783	54
Hungary	11.0	10.0	Q28	55
India	33.0	29.0	Q668	56
Indonesia	17.0	15.0	Q252	57
Iran, Islamic Rep.	29.0	19.0	Q794	58
Italy	11.0	10.0	Q38	59
Jamaica	25.0	17.0	Q766	60
Japan	16.0	11.0	Q17	61
Jordan	19.0	12.0	Q810	62
Kazakhstan	20.0	7.0	Q232	63
Korea, Rep.	16.0	13.0	Q884	64
Kyrgyz Republic	25.0	11.0	Q813	65
Lao PDR	22.0	18.0	Q819	66
Latvia	12.0	8.0	Q211	67
Lebanon	12.0	8.0	Q822	68
Lesotho	33.0	25.0	Q1013	69
Liechtenstein	8.0	10.0	Q347	70
Lithuania	14.0	8.0	Q37	71
Luxembourg	8.0	9.0	Q32	72
Madagascar	40.0	19.0	Q1019	73
Malawi	59.0	72.0	Q1020	74
Malaysia	12.0	11.0	Q833	75
Mali	38.0	17.0	Q912	76
Malta	13.0	7.0	Q233	77
Mauritania	34.0	26.0	Q1025	78
Mauritius	16.0	11.0	Q1027	79
Mexico	27.0	17.0	Q96	80
Moldova	18.0	10.0	Q217	81
Monaco	11.0	9.0	Q235	82
Morocco	27.0	19.0	Q1028	83
Mozambique	55.0	37.0	Q1029	84
Myanmar	24.0	27.0	Q836	85
Nepal	20.0	28.0	Q837	86
Netherlands	12.0	15.0	Q55	87
New Zealand	15.0	14.0	Q664	88
Niger	36.0	30.0	Q1032	89
North Macedonia	15.0	9.0	Q221	90
Norway	9.0	9.0	Q20	91
Oman	10.0	10.0	Q842	92
Pakistan	44.0	20.0	Q843	93
Panama	22.0	14.0	Q804	94
Papua New Guinea	36.0	34.0	Q691	95
Peru	17.0	14.0	Q419	96
Philippines	29.0	24.0	Q928	97
Poland	10.0	9.0	Q36	98
Portugal	12.0	10.0	Q45	99
Puerto Rico	14.0	17.0	Q1183	100
Qatar	12.0	11.0	Q846	101
Romania	19.0	12.0	Q218	102
Rwanda	60.0	28.0	Q1037	103
San Marino	7.0	6.0	Q238	104
Sao Tome and Principe	31.0	25.0	Q1039	105
Saudi Arabia	14.0	12.0	Q851	106
Senegal	36.0	19.0	Q1041	107
Serbia	14.0	8.0	Q403	108
Seychelles	14.0	11.0	Q1042	109
Sierra Leone	28.0	22.0	Q1044	110
Singapore	15.0	11.0	Q334	111
Slovak Republic	16.0	11.0	Q214	112
Slovenia	14.0	10.0	Q215	113
Spain	13.0	12.0	Q29	114
Sri Lanka	22.0	18.0	Q854	115
St. Kitts and Nevis	14.0	8.0	Q763	116
St. Lucia	15.0	11.0	Q760	117
St. Vincent and the Grenadines	14.0	14.0	Q757	118
Sweden	12.0	13.0	Q34	119
Switzerland	10.0	10.0	Q39	120
Tanzania	51.0	21.0	Q924	121
Thailand	17.0	26.0	Q869	122
Timor-Leste	27.0	27.0	Q574	123
Turkey	17.0	17.0	Q43	124
Turks and Caicos Islands	18.0	10.0	Q18221	125
Tuvalu	16.0	9.0	Q672	126
Ukraine	13.0	7.0	Q212	127
United Arab Emirates	25.0	10.0	Q878	128
United Kingdom	15.0	17.0	Q145	129
United States	14.0	15.0	Q30	130
Uzbekistan	22.0	10.0	Q265	131
West Bank and Gaza	24.0	17.0	Q407199	132
