Country	Institution	ID	id_row
Afghanistan	-10.2	Q889	0
Albania	0.0	Q222	1
Algeria	0.0	Q262	2
Angola	7.7	Q916	3
Argentina	-3.9	Q414	4
Armenia	-4.5	Q399	5
Azerbaijan	-4.1	Q227	6
Bangladesh	168.7	Q902	7
Belarus	0.0	Q184	8
Belize	0.0	Q242	9
Benin	24.2	Q962	10
Bhutan	4.2	Q917	11
Bolivia	-21.0	Q750	12
Bosnia and Herzegovina	0.0	Q225	13
Botswana	-3.0	Q963	14
Brazil	-5.7	Q155	15
Bulgaria	0.0	Q219	16
Burkina Faso	25.1	Q965	17
Burundi	-0.5	Q967	18
Cabo Verde	-0.9	Q1011	19
Cambodia	50.9	Q424	20
Cameroon	48.9	Q1009	21
Central African Republic	0.0	Q929	22
Chad	3.5	Q657	23
China	0.0	Q148	24
Colombia	-5.3	Q739	25
Comoros	0.8	Q970	26
Congo, Dem. Rep.	-0.3	Q974	27
Congo, Rep.	2.0	Q971	28
Costa Rica	-0.9	Q800	29
Cote d'Ivoire	17.1	Q1008	30
Djibouti	-2.4	Q977	31
Dominica	0.0	Q784	32
Dominican Republic	-16.8	Q786	33
Ecuador	-24.1	Q736	34
Egypt, Arab Rep.	-7.3	Q79	35
El Salvador	-19.5	Q792	36
Eritrea	-2.0	Q986	37
Ethiopia	163.9	Q115	38
Fiji	0.0	Q712	39
Gabon	-0.1	Q1000	40
Gambia, The	1.1	Q1005	41
Georgia	3.1	Q230	42
Ghana	29.7	Q117	43
Grenada	0.0	Q769	44
Guatemala	-11.4	Q774	45
Guinea	13.2	Q1006	46
Guinea-Bissau	-0.5	Q1007	47
Guyana	-11.4	Q734	48
Haiti	0.0	Q790	49
Honduras	-20.9	Q783	50
India	0.0	Q668	51
Indonesia	-124.0	Q252	52
Iran, Islamic Rep.	0.0	Q794	53
Jamaica	0.3	Q766	54
Jordan	0.0	Q810	55
Kazakhstan	-0.6	Q232	56
Kenya	172.3	Q114	57
Kosovo	0.0	Q1246	58
Kyrgyz Republic	-4.4	Q813	59
Lao PDR	3.1	Q819	60
Lebanon	0.0	Q822	61
Lesotho	1.2	Q1013	62
Liberia	31.3	Q1014	63
North Macedonia	0.0	Q221	64
Madagascar	12.3	Q1019	65
Malawi	42.4	Q1020	66
Maldives	-5.4	Q826	67
Mali	23.6	Q912	68
Mauritania	5.5	Q1025	69
Mauritius	-0.1	Q1027	70
Mexico	2.7	Q96	71
Moldova	0.0	Q217	72
Mongolia	25.1	Q711	73
Montenegro	0.0	Q236	74
Morocco	-1.6	Q1028	75
Mozambique	38.1	Q1029	76
Myanmar	24.0	Q836	77
Nepal	136.3	Q837	78
Nicaragua	-21.3	Q811	79
Niger	23.4	Q1032	80
Nigeria	62.1	Q1033	81
Pakistan	-297.4	Q843	82
Papua New Guinea	9.6	Q691	83
Paraguay	-13.8	Q733	84
Peru	-1.1	Q419	85
Philippines	-82.6	Q928	86
Romania	-10.5	Q218	87
Russian Federation	0.0	Q159	88
Rwanda	115.4	Q1037	89
Samoa	-5.8	Q683	90
Sao Tome and Principe	5.2	Q1039	91
Senegal	28.6	Q1041	92
Serbia	0.0	Q403	93
Sierra Leone	3.2	Q1044	94
Solomon Islands	0.8	Q685	95
Somalia	0.0	Q1045	96
South Africa	0.0	Q258	97
Sri Lanka	-39.8	Q854	98
St. Lucia	0.0	Q760	99
St. Vincent and the Grenadines	0.0	Q757	100
Sudan	0.8	Q1049	101
Eswatini	-2.2	Q1050	102
Syrian Arab Republic	0.0	Q858	103
Tajikistan	-10.1	Q863	104
Tanzania	143.0	Q924	105
Thailand	0.0	Q869	106
Timor-Leste	13.2	Q574	107
Togo	1.7	Q945	108
Tonga	1.4	Q678	109
Tunisia	0.0	Q948	110
Turkey	0.0	Q43	111
Turkmenistan	0.0	Q874	112
Uganda	106.9	Q1036	113
Ukraine	0.0	Q212	114
Uzbekistan	44.8	Q265	115
Vanuatu	0.4	Q686	116
Venezuela, RB	0.0	Q717	117
Vietnam	180.9	Q881	118
Yemen, Rep.	0.0	Q805	119
Zambia	17.4	Q953	120
Zimbabwe	0.0	Q954	121
