Country	Christian	Muslim	Irreligion	Hindu	Buddhist	Folkreligion	Otherreligion	Jewish	ID	id_row
Angola	90.5	1.0	5.1	0.0	0.0	4.2	0.0	0.0	Q916	0
Cameroon	70.3	30.0	5.3	0.0	0.0	3.3	2.7	0.0	Q1009	1
Central African Republic	89.5	15.0	1.0	0.0	0.0	1.0	0.0	0.0	Q929	2
Chad	40.6	58.0	2.5	0.0	0.0	1.4	0.1	0.0	Q657	3
Congo, Democratic Republic of the	95.8	15.0	1.8	0.05	0.0	0.7	0.1	0.0	Q974	4
Congo, Republic of the	85.9	2.0	9.0	0.0	0.0	2.8	1.1	0.0	Q971	5
Equatorial Guinea	88.7	10.0	5.0	0.0	0.0	1.7	0.5	0.0	Q983	6
Gabon	76.5	11.2	5.6	0.0	0.0	6.0	0.7	0.0	Q1000	7
São Tomé and Príncipe	82.2	3.0	12.6	0.0	0.0	2.9	2.4	0.0	Q1039	8
Burundi	91.5	10.0	0.0	0.0	0.0	5.7	0.0	0.0	Q967	9
Comoros	0.2	99.8	0.0	0.0	0.0	0.0	0.0	0.0	Q970	10
Djibouti	2.3	96.9	0.2	0.0	0.0	0.3	0.0	0.2	Q977	11
Eritrea	50.0	48.0	0.1	0.0	0.0	0.4	0.0	0.0	Q986	12
Ethiopia	54.0	42.6	0.06	0.0	0.0	2.6	0.0	1.0	Q115	13
Kenya	84.8	9.7	2.5	0.1	0.0	1.7	1.2	0.0	Q114	14
Madagascar	85.3	3.0	6.9	0.05	0.0	4.5	0.1	0.0	Q1019	15
Malawi	82.7	13.0	2.5	0.0	0.0	1.7	0.0	0.0	Q1020	16
Mauritius	25.3	16.7	0.6	56.4	0.0	0.7	0.3	0.0	Q1027	17
Mayotte	0.7	98.6	0.2	0.0	0.0	0.5	0.0	0.0	Q17063	18
Mozambique	56.7	18.0	17.9	0.0	0.0	7.4	0.0	0.0	Q1029	19
Réunion	87.6	4.2	2.0	4.5	0.2	0.4	1.1	0.0	Q17070	20
Rwanda	93.4	4.8	3.6	0.0	0.0	1.0	0.2	0.0	Q1037	21
Seychelles	94.0	1.1	2.1	2.1	0.0	0.0	0.6	0.0	Q1042	22
