Country	Riskofdeathfromnoncommunicabledisease	ID	id_row
South Korea	8.3	Q884	0
Switzerland	8.7	Q39	1
Japan	8.8	Q17	2
Australia	8.9	Q408	3
Sweden	9.1	Q34	4
Italy	9.4	Q38	5
Israel	9.5	Q801	6
Norway	9.6	Q20	7
Luxembourg	9.7	Q32	8
Canada	9.8	Q16	9
Spain	10.0	Q29	10
Singapore	10.1	Q334	11
Finland	10.1	Q33	12
Ireland	10.3	Q27	13
New Zealand	10.4	Q664	14
Malta	10.5	Q233	15
France	10.9	Q142	16
Netherlands	11.0	Q55	17
United Kingdom	11.0	Q145	18
Costa Rica	11.1	Q800	19
Austria	11.2	Q40	20
Portugal	11.3	Q45	21
Chile	11.5	Q298	22
Cyprus	11.5	Q229	23
Denmark	11.6	Q35	24
Belgium	11.6	Q31	25
Germany	12.0	Q183	26
Greece	12.3	Q41	27
Maldives	12.4	Q826	28
Brunei	12.6	Q921	29
Peru	12.7	Q419	30
Ecuador	13.1	Q736	31
Slovenia	13.2	Q215	32
United States	13.6	Q30	33
Panama	13.7	Q804	34
Honduras	13.9	Q783	35
Qatar	14.2	Q846	36
El Salvador	14.2	Q792	37
Colombia	14.6	Q739	38
Albania	14.7	Q222	39
