Country	2000	2018	ID	id_row
Afghanistan	78.0	75.0	Q889	0
Albania	58.0	40.0	Q222	1
Algeria	40.0	27.0	Q262	2
American Samoa	11.0	13.0	Q16641	3
Andorra	8.0	12.0	Q228	4
Angola	50.0	34.0	Q916	5
Antigua and Barbuda	68.0	75.0	Q781	6
Argentina	11.0	8.0	Q414	7
Armenia	35.0	37.0	Q399	8
Aruba	53.0	57.0	Q21203	9
Australia	16.0	14.0	Q408	10
Austria	40.0	42.0	Q40	11
Azerbaijan	49.0	44.0	Q227	12
Bahamas, The	18.0	17.0	Q778	13
Bahrain	12.0	11.0	Q398	14
Bangladesh	76.0	63.0	Q902	15
Barbados	66.0	69.0	Q244	16
Belarus	30.0	21.0	Q184	17
Belgium	3.0	2.0	Q31	18
Belize	55.0	54.0	Q242	19
Benin	62.0	53.0	Q962	20
Bermuda	0.0	0.0	Q23635	21
Bhutan	75.0	59.0	Q917	22
Bolivia	38.0	31.0	Q750	23
Bosnia and Herzegovina	58.0	52.0	Q225	24
Botswana	47.0	31.0	Q963	25
Brazil	19.0	13.0	Q155	26
Brunei Darussalam	29.0	22.0	Q921	27
Bulgaria	31.0	25.0	Q219	28
Burkina Faso	82.0	71.0	Q965	29
Burundi	92.0	87.0	Q967	30
Cabo Verde	47.0	34.0	Q1011	31
Cambodia	81.0	77.0	Q424	32
Cameroon	54.0	44.0	Q1009	33
Canada	21.0	19.0	Q16	34
Cayman Islands	0.0	0.0	Q5785	35
Central African Republic	62.0	59.0	Q929	36
Chad	78.0	77.0	Q657	37
Channel Islands	70.0	69.0	Q42314	38
Chile	14.0	12.0	Q298	39
China	64.0	41.0	Q148	40
Hong Kong SAR, China	0.0	0.0	Q8646	41
Macao SAR, China	0.0	0.0	Q14773	42
Colombia	26.0	19.0	Q739	43
Comoros	72.0	71.0	Q970	44
Congo, Dem. Rep.	65.0	56.0	Q974	45
Congo, Rep.	41.0	33.0	Q971	46
Costa Rica	41.0	21.0	Q800	47
Cote d'Ivoire	57.0	49.0	Q1008	48
Croatia	47.0	43.0	Q224	49
Cuba	25.0	23.0	Q241	50
Curacao	9.0	11.0	Q25279	51
Cyprus	31.0	33.0	Q229	52
Czech Republic	26.0	26.0	Q213	53
Denmark	15.0	12.0	Q35	54
Djibouti	23.0	22.0	Q977	55
Dominica	35.0	30.0	Q784	56
Dominican Republic	38.0	19.0	Q786	57
Ecuador	40.0	36.0	Q736	58
Egypt, Arab Rep.	57.0	57.0	Q79	59
El Salvador	41.0	28.0	Q792	60
Equatorial Guinea	51.0	28.0	Q983	61
Estonia	31.0	31.0	Q191	62
Eswatini	77.0	76.0	Q1050	63
Ethiopia	85.0	79.0	Q115	64
Faroe Islands	64.0	58.0	Q4628	65
Fiji	52.0	44.0	Q712	66
Finland	18.0	15.0	Q33	67
France	24.0	20.0	Q142	68
French Polynesia	44.0	38.0	Q30971	69
Gabon	21.0	11.0	Q1000	70
Gambia, The	52.0	39.0	Q1005	71
Georgia	47.0	41.0	Q230	72
Germany	25.0	23.0	Q183	73
Ghana	56.0	44.0	Q117	74
Greece	27.0	21.0	Q41	75
Greenland	18.0	13.0	Q223	76
Grenada	64.0	64.0	Q769	77
Guam	7.0	5.0	Q16635	78
Guatemala	55.0	49.0	Q774	79
Guinea	69.0	64.0	Q1006	80
Guinea-Bissau	64.0	57.0	Q1007	81
Guyana	71.0	73.0	Q734	82
Haiti	64.0	45.0	Q790	83
Honduras	55.0	43.0	Q783	84
Hungary	35.0	29.0	Q28	85
Iceland	8.0	6.0	Q189	86
India	72.0	66.0	Q668	87
Indonesia	58.0	45.0	Q252	88
Iran, Islamic Rep.	36.0	25.0	Q794	89
Iraq	32.0	30.0	Q796	90
Ireland	41.0	37.0	Q27	91
Isle of Man	48.0	47.0	Q9676	92
Israel	9.0	8.0	Q801	93
Italy	33.0	30.0	Q38	94
Jamaica	48.0	44.0	Q766	95
Japan	21.0	8.0	Q17	96
Jordan	22.0	9.0	Q810	97
Kazakhstan	44.0	43.0	Q232	98
Kenya	80.0	73.0	Q114	99
Kiribati	57.0	46.0	Q710	100
Korea, Dem. Peopleâ€™s Rep.	41.0	38.0	Q423	101
Korea, Rep.	20.0	19.0	Q884	102
Kuwait	1.0	0.0	Q817	103
Kyrgyz Republic	65.0	64.0	Q813	104
Lao PDR	78.0	65.0	Q819	105
Latvia	32.0	32.0	Q211	106
Lebanon	14.0	11.0	Q822	107
Lesotho	80.0	72.0	Q1013	108
Liberia	56.0	49.0	Q1014	109
Libya	24.0	20.0	Q1016	110
Liechtenstein	85.0	86.0	Q347	111
Lithuania	33.0	32.0	Q37	112
Luxembourg	16.0	9.0	Q32	113
North Macedonia	41.0	42.0	Q221	114
Madagascar	73.0	63.0	Q1019	115
Malawi	85.0	83.0	Q1020	116
Malaysia	38.0	24.0	Q833	117
Maldives	72.0	60.0	Q826	118
Mali	72.0	58.0	Q912	119
Malta	8.0	5.0	Q233	120
Marshall Islands	31.0	23.0	Q709	121
Mauritania	62.0	46.0	Q1025	122
Mauritius	57.0	59.0	Q1027	123
Mexico	25.0	20.0	Q96	124
Micronesia, Fed. Sts.	78.0	77.0	Q702	125
Moldova	55.0	57.0	Q217	126
Monaco	0.0	0.0	Q235	127
Mongolia	43.0	32.0	Q711	128
Montenegro	41.0	33.0	Q236	129
Morocco	47.0	38.0	Q1028	130
Mozambique	71.0	64.0	Q1029	131
Myanmar	73.0	69.0	Q836	132
Namibia	68.0	50.0	Q1030	133
Nepal	87.0	80.0	Q837	134
Netherlands	23.0	9.0	Q55	135
New Caledonia	38.0	29.0	Q33788	136
New Zealand	14.0	13.0	Q664	137
Nicaragua	45.0	41.0	Q811	138
Niger	84.0	84.0	Q1032	139
Nigeria	65.0	50.0	Q1033	140
Northern Mariana Islands	10.0	8.0	Q16644	141
Norway	24.0	18.0	Q20	142
Oman	28.0	15.0	Q842	143
Pakistan	67.0	63.0	Q843	144
Palau	30.0	20.0	Q695	145
Panama	38.0	32.0	Q804	146
Papua New Guinea	87.0	87.0	Q691	147
Paraguay	45.0	38.0	Q733	148
Peru	27.0	22.0	Q419	149
Philippines	54.0	53.0	Q928	150
Poland	38.0	40.0	Q36	151
Portugal	46.0	35.0	Q45	152
Puerto Rico	6.0	6.0	Q1183	153
Qatar	4.0	1.0	Q846	154
Romania	47.0	46.0	Q218	155
Russian Federation	27.0	26.0	Q159	156
Rwanda	85.0	83.0	Q1037	157
Samoa	78.0	82.0	Q683	158
San Marino	7.0	3.0	Q238	159
Sao Tome and Principe	47.0	27.0	Q1039	160
Saudi Arabia	20.0	16.0	Q851	161
Senegal	60.0	53.0	Q1041	162
Serbia	47.0	44.0	Q403	163
Seychelles	50.0	43.0	Q1042	164
Sierra Leone	64.0	58.0	Q1044	165
Singapore	0.0	0.0	Q334	166
Sint Maarten (Dutch part)	0.0	0.0	Q26273	167
Slovak Republic	44.0	46.0	Q214	168
Slovenia	49.0	45.0	Q215	169
Solomon Islands	84.0	76.0	Q685	170
Somalia	67.0	55.0	Q1045	171
South Africa	43.0	34.0	Q258	172
South Sudan	83.0	80.0	Q958	173
Spain	24.0	20.0	Q29	174
Sri Lanka	82.0	82.0	Q854	175
St. Kitts and Nevis	67.0	69.0	Q763	176
St. Lucia	72.0	81.0	Q760	177
St. Vincent and the Grenadines	55.0	48.0	Q757	178
Sudan	68.0	65.0	Q1049	179
Suriname	34.0	34.0	Q730	180
Sweden	16.0	13.0	Q34	181
Switzerland	27.0	26.0	Q39	182
Syrian Arab Republic	48.0	46.0	Q858	183
Tajikistan	73.0	73.0	Q863	184
Tanzania	78.0	66.0	Q924	185
Thailand	69.0	50.0	Q869	186
Timor-Leste	76.0	69.0	Q574	187
Togo	67.0	58.0	Q945	188
Tonga	77.0	77.0	Q678	189
Trinidad and Tobago	44.0	47.0	Q754	190
Tunisia	37.0	31.0	Q948	191
Turkey	35.0	25.0	Q43	192
Turkmenistan	54.0	48.0	Q874	193
Turks and Caicos Islands	15.0	7.0	Q18221	194
Tuvalu	54.0	38.0	Q672	195
Uganda	85.0	76.0	Q1036	196
Ukraine	33.0	31.0	Q212	197
United Arab Emirates	20.0	13.0	Q878	198
United Kingdom	21.0	17.0	Q145	199
United States	21.0	18.0	Q30	200
Uruguay	8.0	5.0	Q77	201
Uzbekistan	54.0	50.0	Q265	202
Vanuatu	78.0	75.0	Q686	203
Venezuela, RB	12.0	12.0	Q717	204
Vietnam	76.0	64.0	Q881	205
Virgin Islands (U.S.)	7.0	4.0	Q11703	206
West Bank and Gaza	28.0	24.0	Q407199	207
Yemen, Rep.	74.0	63.0	Q805	208
Zambia	65.0	56.0	Q953	209
Zimbabwe	66.0	68.0	Q954	210
