Country	Annual	ID	id_row
Afghanistan	2.1	Q889	0
Albania	-2.6	Q222	1
Algeria	-0.1	Q262	2
American Samoa	-0.1	Q16641	3
Andorra	0.7	Q228	4
Angola	1.3	Q916	5
Antigua and Barbuda	1.0	Q781	6
Argentina	-0.5	Q414	7
Armenia	0.1	Q399	8
Aruba	0.2	Q21203	9
Australia	0.8	Q408	10
Austria	0.0	Q40	11
Azerbaijan	0.1	Q227	12
Bahamas, The	0.4	Q778	13
Bahrain	4.0	Q398	14
Bangladesh	-0.2	Q902	15
Barbados	0.2	Q244	16
Belarus	-2.3	Q184	17
Belgium	-1.5	Q31	18
Belize	1.7	Q242	19
Benin	1.7	Q962	20
Bhutan	0.0	Q917	21
Bolivia	0.3	Q750	22
Bosnia and Herzegovina	-1.5	Q225	23
Botswana	-0.2	Q963	24
Brazil	-1.1	Q155	25
Brunei Darussalam	-0.4	Q921	26
Bulgaria	-2.1	Q219	27
Burkina Faso	2.0	Q965	28
Burundi	2.8	Q967	29
Cabo Verde	-0.2	Q1011	30
Cambodia	1.0	Q424	31
Cameroon	1.3	Q1009	32
Canada	1.1	Q16	33
Central African Republic	0.9	Q929	34
Chad	2.8	Q657	35
Channel Islands	1.1	Q42314	36
Chile	0.8	Q298	37
China	-2.4	Q148	38
Colombia	-0.2	Q739	39
Comoros	2.0	Q970	40
Congo, Dem. Rep.	2.2	Q974	41
Congo, Rep.	1.2	Q971	42
Costa Rica	-2.7	Q800	43
Cote d'Ivoire	1.6	Q1008	44
Croatia	-1.5	Q224	45
Cuba	-0.3	Q241	46
Curacao	0.3	Q25279	47
Cyprus	0.9	Q229	48
Czech Republic	-0.1	Q213	49
Denmark	-0.5	Q35	50
Djibouti	1.0	Q977	51
Dominica	-0.8	Q784	52
Dominican Republic	-3.0	Q786	53
Ecuador	1.3	Q736	54
Egypt, Arab Rep.	2.0	Q79	55
El Salvador	-2.1	Q792	56
Equatorial Guinea	1.9	Q983	57
Estonia	-0.2	Q191	58
Eswatini	0.8	Q1050	59
Ethiopia	2.0	Q115	60
Faroe Islands	0.1	Q4628	61
Fiji	-0.5	Q712	62
Finland	-0.3	Q33	63
France	-1.2	Q142	64
French Polynesia	0.4	Q30971	65
Gabon	-1.0	Q1000	66
Gambia, The	1.2	Q1005	67
