Country	Savings	ID	id_row
Afghanistan	0.0	Q889	0
Albania	0.1	Q222	1
Algeria	0.0	Q262	2
Angola	0.0	Q916	3
Antigua and Barbuda	0.0	Q781	4
Argentina	0.3	Q414	5
Armenia	3.2	Q399	6
Aruba	0.0	Q21203	7
Australia	2.1	Q408	8
Austria	0.0	Q40	9
Azerbaijan	0.4	Q227	10
Bahamas, The	0.0	Q778	11
Bahrain	0.0	Q398	12
Bangladesh	0.0	Q902	13
Barbados	0.0	Q244	14
Belarus	0.0	Q184	15
Belgium	0.0	Q31	16
Belize	0.0	Q242	17
Benin	0.0	Q962	18
Bhutan	0.0	Q917	19
Bolivia	3.5	Q750	20
Bosnia and Herzegovina	0.2	Q225	21
Botswana	0.3	Q963	22
Brazil	0.8	Q155	23
Brunei Darussalam	0.0	Q921	24
Bulgaria	0.4	Q219	25
Burkina Faso	8.9	Q965	26
Burundi	0.7	Q967	27
Cabo Verde	0.0	Q1011	28
Cambodia	0.0	Q424	29
Cameroon	0.1	Q1009	30
Canada	0.4	Q16	31
Cayman Islands	0.0	Q5785	32
Central African Republic	0.1	Q929	33
Chad	0.0	Q657	34
Chile	7.2	Q298	35
China	0.2	Q148	36
Hong Kong SAR, China	0.0	Q8646	37
Macao SAR, China	0.0	Q14773	38
Colombia	0.4	Q739	39
Comoros	0.0	Q970	40
Congo, Dem. Rep.	12.6	Q974	41
Congo, Rep.	0.0	Q971	42
Costa Rica	0.0	Q800	43
Cote d'Ivoire	1.3	Q1008	44
Croatia	0.0	Q224	45
Cuba	0.0	Q241	46
Curacao	0.0	Q25279	47
Cyprus	0.0	Q229	48
Czech Republic	0.0	Q213	49
Denmark	0.0	Q35	50
Djibouti	0.0	Q977	51
Dominica	0.0	Q784	52
Dominican Republic	1.1	Q786	53
Ecuador	0.1	Q736	54
Egypt, Arab Rep.	0.2	Q79	55
El Salvador	0.0	Q792	56
Equatorial Guinea	0.0	Q983	57
Estonia	0.0	Q191	58
Eswatini	0.0	Q1050	59
Ethiopia	0.3	Q115	60
Fiji	0.8	Q712	61
Finland	0.2	Q33	62
France	0.0	Q142	63
Gabon	0.1	Q1000	64
Gambia, The	0.0	Q1005	65
Georgia	0.4	Q230	66
Germany	0.0	Q183	67
Ghana	5.0	Q117	68
Greece	0.0	Q41	69
Grenada	0.0	Q769	70
Guatemala	0.4	Q774	71
Guinea	4.4	Q1006	72
Guinea-Bissau	0.0	Q1007	73
Guyana	12.4	Q734	74
Haiti	0.0	Q790	75
Honduras	0.4	Q783	76
Hungary	0.0	Q28	77
Iceland	0.0	Q189	78
India	0.3	Q668	79
Indonesia	0.6	Q252	80
Iran, Islamic Rep.	0.3	Q794	81
Iraq	0.0	Q796	82
Ireland	0.0	Q27	83
Isle of Man	0.0	Q9676	84
Israel	0.0	Q801	85
Italy	0.0	Q38	86
Jamaica	0.2	Q766	87
Japan	0.0	Q17	88
Jordan	0.1	Q810	89
Kazakhstan	2.8	Q232	90
Kenya	0.0	Q114	91
Kiribati	0.0	Q710	92
Korea, Rep.	0.0	Q884	93
Kosovo	0.4	Q1246	94
Kuwait	0.0	Q817	95
Kyrgyz Republic	9.2	Q813	96
Lao PDR	2.9	Q819	97
Latvia	0.0	Q211	98
Lebanon	0.0	Q822	99
Lesotho	0.0	Q1013	100
Liberia	6.6	Q1014	101
Libya	0.0	Q1016	102
Liechtenstein	0.0	Q347	103
Lithuania	0.0	Q37	104
Luxembourg	0.0	Q32	105
Madagascar	0.8	Q1019	106
Malawi	0.0	Q1020	107
Malaysia	0.0	Q833	108
Maldives	0.0	Q826	109
Mali	6.7	Q912	110
Malta	0.0	Q233	111
Marshall Islands	0.0	Q709	112
Mauritania	7.3	Q1025	113
Mauritius	0.0	Q1027	114
Mexico	0.5	Q96	115
Micronesia, Fed. Sts.	0.0	Q702	116
Moldova	0.0	Q217	117
Mongolia	16.4	Q711	118
Montenegro	0.7	Q236	119
Morocco	0.2	Q1028	120
Mozambique	0.5	Q1029	121
Myanmar	0.9	Q836	122
Namibia	2.9	Q1030	123
Nepal	0.0	Q837	124
Netherlands	0.0	Q55	125
New Zealand	0.1	Q664	126
Nicaragua	1.3	Q811	127
Niger	0.3	Q1032	128
Nigeria	0.0	Q1033	129
North Macedonia	1.0	Q221	130
Norway	0.0	Q20	131
Oman	0.0	Q842	132
Pakistan	0.0	Q843	133
Palau	0.0	Q695	134
Panama	0.0	Q804	135
Papua New Guinea	8.4	Q691	136
Paraguay	0.0	Q733	137
Peru	5.3	Q419	138
Philippines	0.7	Q928	139
Poland	0.2	Q36	140
Portugal	0.0	Q45	141
Puerto Rico	0.0	Q1183	142
Qatar	0.0	Q846	143
Romania	0.0	Q218	144
Russian Federation	0.6	Q159	145
Rwanda	0.1	Q1037	146
Samoa	0.0	Q683	147
Sao Tome and Principe	0.0	Q1039	148
Saudi Arabia	0.1	Q851	149
Senegal	0.8	Q1041	150
Serbia	0.3	Q403	151
Seychelles	0.0	Q1042	152
Sierra Leone	0.2	Q1044	153
Singapore	0.0	Q334	154
Slovak Republic	0.0	Q214	155
Slovenia	0.0	Q215	156
Solomon Islands	0.2	Q685	157
Somalia	0.0	Q1045	158
South Africa	1.4	Q258	159
Spain	0.0	Q29	160
Sri Lanka	0.0	Q854	161
St. Kitts and Nevis	0.0	Q763	162
St. Lucia	0.0	Q760	163
St. Vincent and the Grenadines	0.0	Q757	164
Sudan	7.0	Q1049	165
Suriname	17.0	Q730	166
Sweden	0.2	Q34	167
Switzerland	0.0	Q39	168
Tajikistan	3.2	Q863	169
Tanzania	1.8	Q924	170
Thailand	0.0	Q869	171
Timor-Leste	0.0	Q574	172
Togo	5.6	Q945	173
Tonga	0.0	Q678	174
Trinidad and Tobago	0.0	Q754	175
Tunisia	0.1	Q948	176
Turkey	0.1	Q43	177
Turkmenistan	0.0	Q874	178
Turks and Caicos Islands	0.0	Q18221	179
Tuvalu	0.0	Q672	180
Uganda	0.1	Q1036	181
Ukraine	0.4	Q212	182
United Arab Emirates	0.0	Q878	183
United Kingdom	0.0	Q145	184
United States	0.0	Q30	185
Uruguay	0.0	Q77	186
Uzbekistan	5.0	Q265	187
Vanuatu	0.0	Q686	188
Vietnam	0.1	Q881	189
West Bank and Gaza	0.0	Q407199	190
Zambia	10.3	Q953	191
Zimbabwe	2.2	Q954	192
