Country	Imports2010	Imports2019	ID	id_row
Afghanistan	10.0	11.0	Q889	0
Albania	68.0	78.0	Q222	1
Algeria	5.0	5.0	Q262	2
Angola	1.0	6.0	Q916	3
Antigua and Barbuda	24.0	17.0	Q781	4
Argentina	35.0	41.0	Q414	5
Armenia	46.0	65.0	Q399	6
Aruba	38.0	37.0	Q21203	7
Australia	44.0	51.0	Q408	8
Austria	26.0	18.0	Q40	9
Azerbaijan	20.0	27.0	Q227	10
Bahamas, The	21.0	21.0	Q778	11
Bahrain	27.0	26.0	Q398	12
Bangladesh	6.0	10.0	Q902	13
Barbados	11.0	8.0	Q244	14
Belarus	21.0	19.0	Q184	15
Belgium	21.0	15.0	Q31	16
Belize	24.0	22.0	Q242	17
Benin	11.0	4.0	Q962	18
Bermuda	30.0	25.0	Q23635	19
Bhutan	31.0	28.0	Q917	20
Bolivia	28.0	33.0	Q750	21
Bosnia and Herzegovina	36.0	36.0	Q225	22
Botswana	36.0	23.0	Q963	23
Brazil	28.0	26.0	Q155	24
Brunei Darussalam	39.0	34.0	Q921	25
Bulgaria	24.0	29.0	Q219	26
Burkina Faso	8.0	8.0	Q965	27
Burundi	13.0	11.0	Q967	28
Cabo Verde	43.0	24.0	Q1011	29
Cambodia	6.0	29.0	Q424	30
Cameroon	11.0	26.0	Q1009	31
Canada	31.0	30.0	Q16	32
Chile	11.0	17.0	Q298	33
China	39.0	51.0	Q148	34
Hong Kong SAR, China	25.0	34.0	Q8646	35
Macao SAR, China	32.0	29.0	Q14773	36
Colombia	28.0	37.0	Q739	37
Comoros	21.0	24.0	Q970	38
Congo, Dem. Rep.	6.0	4.0	Q974	39
Congo, Rep.	6.0	11.0	Q971	40
Costa Rica	22.0	26.0	Q800	41
Cote d'Ivoire	13.0	13.0	Q1008	42
Croatia	21.0	32.0	Q224	43
Curacao	33.0	43.0	Q25279	44
Cyprus	25.0	18.0	Q229	45
Czech Republic	24.0	23.0	Q213	46
Denmark	16.0	15.0	Q35	47
Djibouti	8.0	4.0	Q977	48
Dominica	19.0	12.0	Q784	49
Dominican Republic	16.0	17.0	Q786	50
Ecuador	19.0	31.0	Q736	51
Egypt, Arab Rep.	17.0	17.0	Q79	52
El Salvador	21.0	26.0	Q792	53
Estonia	22.0	27.0	Q191	54
Eswatini	9.0	19.0	Q1050	55
Ethiopia	6.0	10.0	Q115	56
Fiji	20.0	21.0	Q712	57
Finland	16.0	16.0	Q33	58
France	21.0	19.0	Q142	59
French Polynesia	27.0	40.0	Q30971	60
Gambia, The	19.0	9.0	Q1005	61
Georgia	20.0	28.0	Q230	62
Germany	30.0	25.0	Q183	63
Ghana	24.0	5.0	Q117	64
Greece	14.0	15.0	Q41	65
Grenada	12.0	10.0	Q769	66
Guatemala	26.0	23.0	Q774	67
Guinea	2.0	2.0	Q1006	68
Guinea-Bissau	29.0	45.0	Q1007	69
Guyana	21.0	8.0	Q734	70
Haiti	9.0	9.0	Q790	71
Honduras	28.0	21.0	Q783	72
Hungary	15.0	13.0	Q28	73
Iceland	30.0	44.0	Q189	74
India	13.0	18.0	Q668	75
Indonesia	25.0	29.0	Q252	76
Iraq	17.0	48.0	Q796	77
Ireland	7.0	3.0	Q27	78
Israel	20.0	26.0	Q801	79
Italy	24.0	25.0	Q38	80
Jamaica	11.0	12.0	Q766	81
Japan	17.0	10.0	Q17	82
Jordan	36.0	30.0	Q810	83
Kazakhstan	11.0	24.0	Q232	84
Kenya	11.0	9.0	Q114	85
Kiribati	24.0	24.0	Q710	86
Korea, Rep.	20.0	25.0	Q884	87
Kosovo	26.0	45.0	Q1246	88
Kuwait	45.0	40.0	Q817	89
Kyrgyz Republic	19.0	33.0	Q813	90
Lao PDR	79.0	81.0	Q819	91
Latvia	28.0	21.0	Q211	92
Lebanon	35.0	44.0	Q822	93
Lesotho	66.0	73.0	Q1013	94
Liberia	1.0	4.0	Q1014	95
Libya	39.0	45.0	Q1016	96
Lithuania	29.0	18.0	Q37	97
