Country	Coal	Naturalgas	Oil	Hydropower	Renewablesources	Nuclearpower	ID	id_row
Albania	0.0	0.0	0.0	100.0	0.0	0.0	Q222	0
Algeria	0.0	98.4	1.3	0.2	0.1	0.0	Q262	1
Angola	0.0	0.0	46.8	53.2	0.0	0.0	Q916	2
Argentina	2.0	49.5	15.4	26.2	1.9	4.2	Q414	3
Armenia	0.0	35.9	0.0	28.3	0.1	31.8	Q399	4
Australia	62.9	20.8	2.7	5.3	8.3	0.0	Q408	5
Austria	8.2	12.6	1.4	60.0	16.5	0.0	Q40	6
Azerbaijan	0.0	86.1	6.5	6.6	0.4	0.0	Q227	7
Bahrain	0.0	100.0	0.0	0.0	0.0	0.0	Q398	8
Bangladesh	1.7	80.7	16.4	1.0	0.3	0.0	Q902	9
Belarus	0.0	97.9	1.1	0.3	0.5	0.0	Q184	10
Belgium	6.1	32.8	0.3	0.5	20.3	37.5	Q31	11
Benin	0.0	0.0	94.4	4.1	1.5	0.0	Q962	12
Bolivia	0.0	66.3	2.3	28.9	2.5	0.0	Q750	13
Bosnia and Herzegovina	64.0	0.2	0.3	35.5	0.0	0.0	Q225	14
Botswana	96.4	0.0	3.6	0.0	0.0	0.0	Q963	15
Brazil	4.7	13.7	5.0	61.8	12.1	2.6	Q155	16
Brunei Darussalam	0.0	99.0	1.0	0.0	0.0	0.0	Q921	17
Bulgaria	46.2	3.8	0.4	11.6	6.4	33.8	Q219	18
Cambodia	48.4	0.0	5.2	45.5	0.9	0.0	Q424	19
Cameroon	0.0	6.0	17.9	75.0	1.1	0.0	Q1009	20
Canada	9.8	10.0	1.2	56.7	6.3	15.5	Q16	21
Chile	37.1	15.1	4.2	31.7	11.9	0.0	Q298	22
China	70.3	2.5	0.2	19.1	4.9	2.3	Q148	23
Hong Kong SAR, China	65.4	33.8	0.5	0.0	0.3	0.0	Q8646	24
Colombia	11.9	19.3	0.6	65.0	3.3	0.0	Q739	25
Congo, Dem. Rep.	0.0	0.0	0.1	99.7	0.1	0.0	Q974	26
Congo, Rep.	0.0	46.7	0.0	53.3	0.0	0.0	Q971	27
Costa Rica	0.0	0.0	1.0	74.6	24.4	0.0	Q800	28
Cote d'Ivoire	0.0	78.1	5.2	15.5	1.2	0.0	Q1008	29
Croatia	20.6	10.7	2.0	56.9	10.0	0.0	Q224	30
Cuba	0.0	14.5	46.0	0.2	3.7	0.0	Q241	31
Cyprus	0.0	0.0	91.2	0.0	8.8	0.0	Q229	32
Czech Republic	53.1	2.7	0.1	2.2	9.2	32.5	Q213	33
Denmark	24.5	6.3	1.1	0.1	65.4	0.0	Q35	34
Dominican Republic	12.9	22.0	53.5	6.4	5.3	0.0	Q786	35
Ecuador	0.0	12.7	34.5	50.7	2.1	0.0	Q736	36
Egypt, Arab Rep.	0.0	70.7	21.0	7.4	0.9	0.0	Q79	37
El Salvador	0.0	0.0	42.2	22.6	35.2	0.0	Q792	38
Eritrea	0.0	0.0	99.5	0.0	0.5	0.0	Q986	39
Estonia	5.3	0.6	1.2	0.3	14.2	0.0	Q191	40
Ethiopia	0.0	0.0	0.0	92.7	7.3	0.0	Q115	41
Finland	8.3	7.6	0.3	24.4	20.1	33.9	Q33	42
France	2.2	3.5	0.4	9.7	6.2	77.6	Q142	43
Gabon	0.0	46.0	10.2	43.2	0.6	0.0	Q1000	44
Georgia	0.0	22.0	0.0	78.0	0.0	0.0	Q230	45
Germany	44.3	9.8	1.0	3.0	26.3	14.3	Q183	46
Ghana	0.0	38.8	0.0	50.9	0.0	0.0	Q117	47
Greece	42.7	17.5	10.9	11.8	16.9	0.0	Q41	48
Guatemala	21.4	0.0	18.2	35.0	25.3	0.0	Q774	49
Haiti	0.0	0.0	92.0	8.0	0.0	0.0	Q790	50
Honduras	1.0	0.0	56.7	26.1	16.2	0.0	Q783	51
Hungary	19.5	16.8	0.3	0.8	9.8	52.2	Q28	52
Iceland	0.0	0.0	0.0	73.3	26.7	0.0	Q189	53
India	75.3	4.9	1.7	10.0	5.4	2.8	Q668	54
Indonesia	55.8	25.2	8.4	5.9	4.8	0.0	Q252	55
Iran, Islamic Rep.	0.2	79.3	14.4	5.0	0.1	1.6	Q794	56
Iraq	0.0	24.4	25.7	3.7	0.0	0.0	Q796	57
Ireland	17.3	44.0	1.4	2.9	25.1	0.0	Q27	58
Israel	45.4	51.6	0.7	0.0	1.9	0.0	Q801	59
Italy	16.1	39.4	4.8	16.2	22.5	0.0	Q38	60
Jamaica	0.0	0.0	89.7	3.1	7.1	0.0	Q766	61
Japan	33.2	39.6	7.5	8.2	7.8	0.9	Q17	62
Jordan	0.0	48.4	50.6	0.3	0.7	0.0	Q810	63
Kazakhstan	71.6	18.4	1.2	8.7	0.2	0.0	Q232	64
Kenya	0.0	0.0	12.5	39.2	48.3	0.0	Q114	65
Korea, Dem. Peopleâ€™s Rep.	21.3	0.0	5.9	72.8	0.0	0.0	Q423	66
Korea, Rep.	43.1	22.4	2.3	0.4	1.5	30.0	Q884	67
Kosovo	97.5	0.0	0.2	2.3	0.0	0.0	Q1246	68
Kuwait	0.0	36.4	63.6	0.0	0.0	0.0	Q817	69
Kyrgyz Republic	13.2	1.3	0.3	85.2	0.0	0.0	Q813	70
Latvia	0.0	49.8	0.0	33.6	16.6	0.0	Q211	71
Lebanon	0.0	0.0	97.4	2.6	0.0	0.0	Q822	72
Libya	0.0	53.7	46.3	0.0	0.0	0.0	Q1016	73
Lithuania	0.0	46.5	6.5	8.2	31.2	0.0	Q37	74
Luxembourg	0.0	62.7	0.0	7.4	24.9	0.0	Q32	75
North Macedonia	58.4	3.2	2.5	33.0	2.9	0.0	Q221	76
Malaysia	42.3	46.6	1.2	9.3	0.7	0.0	Q833	77
Malta	0.0	0.0	92.3	0.0	7.7	0.0	Q233	78
Mauritius	39.4	0.0	37.8	4.1	18.7	0.0	Q1027	79
Mexico	10.9	59.9	10.1	9.9	5.5	3.7	Q96	80
Moldova	0.0	94.5	0.1	5.1	0.3	0.0	Q217	81
Mongolia	92.7	0.0	4.2	0.0	3.1	0.0	Q711	82
Montenegro	50.3	0.0	0.0	49.7	0.0	0.0	Q236	83
Morocco	55.5	18.8	7.2	6.1	8.2	0.0	Q1028	84
