Country	Total	ID	id_row
Afghanistan	0.0	Q889	0
Albania	11.6	Q222	1
Algeria	12.1	Q262	2
Andorra	83.1	Q228	3
Antigua and Barbuda	14.0	Q781	4
Argentina	50.1	Q414	5
Armenia	86.7	Q399	6
Australia	45.1	Q408	7
Austria	109.9	Q40	8
Azerbaijan	67.6	Q227	9
Bahrain	14.4	Q398	10
Bangladesh	2.9	Q902	11
Barbados	17.2	Q244	12
Belarus	124.2	Q184	13
Belgium	89.8	Q31	14
Belize	10.5	Q242	15
Benin	1.9	Q962	16
Bhutan	2.9	Q917	17
Bolivia	33.9	Q750	18
Bosnia and Herzegovina	32.3	Q225	19
Botswana	3.6	Q963	20
Brazil	55.5	Q155	21
Bulgaria	112.7	Q219	22
Burkina Faso	0.6	Q965	23
Burundi	0.4	Q967	24
Cabo Verde	16.0	Q1011	25
Cambodia	4.2	Q424	26
Cameroon	1.2	Q1009	27
Canada	43.9	Q16	28
Cayman Islands	156.8	Q5785	29
Central African Republic	0.4	Q929	30
Chad	0.3	Q657	31
Channel Islands	38.7	Q42314	32
Chile	59.3	Q298	33
China	40.1	Q148	34
Hong Kong SAR, China	27.8	Q8646	35
Colombia	22.7	Q739	36
Congo, Dem. Rep.	0.2	Q974	37
Congo, Rep.	0.2	Q971	38
Costa Rica	25.5	Q800	39
Cote d'Ivoire	2.8	Q1008	40
Croatia	81.2	Q224	41
Cuba	100.9	Q241	42
Cyprus	84.4	Q229	43
Czech Republic	124.5	Q213	44
Denmark	69.0	Q35	45
Djibouti	4.4	Q977	46
Dominica	11.3	Q784	47
Ecuador	59.4	Q736	48
Egypt, Arab Rep.	50.1	Q79	49
El Salvador	22.3	Q792	50
Eritrea	0.4	Q986	51
Estonia	65.0	Q191	52
Eswatini	0.2	Q1050	53
Ethiopia	0.5	Q115	54
Fiji	5.4	Q712	55
Finland	76.3	Q33	56
France	58.6	Q142	57
French Polynesia	32.6	Q30971	58
Gambia, The	1.8	Q1005	59
Georgia	130.4	Q230	60
Germany	108.0	Q183	61
Greece	163.5	Q41	62
Grenada	12.6	Q769	63
Guatemala	3.4	Q774	64
Guyana	8.8	Q734	65
Haiti	5.9	Q790	66
Honduras	13.7	Q783	67
Hungary	55.7	Q28	68
Iceland	101.6	Q189	69
India	6.8	Q668	70
Iran, Islamic Rep.	5.0	Q794	71
Iraq	7.6	Q796	72
Ireland	72.0	Q27	73
Isle of Man	52.4	Q9676	74
Israel	75.6	Q801	75
Italy	142.4	Q38	76
Jamaica	11.2	Q766	77
Japan	37.4	Q17	78
Jordan	24.5	Q810	79
Kazakhstan	73.2	Q232	80
Kenya	2.4	Q114	81
Kiribati	8.2	Q710	82
Korea, Rep.	49.6	Q884	83
Kosovo	27.7	Q1246	84
Kyrgyz Republic	50.1	Q813	85
Lao PDR	3.7	Q819	86
Latvia	67.6	Q211	87
Lebanon	87.4	Q822	88
Lesotho	0.6	Q1013	89
Liberia	0.6	Q1014	90
Liechtenstein	71.9	Q347	91
Lithuania	130.9	Q37	92
Luxembourg	80.8	Q32	93
Madagascar	0.8	Q1019	94
Malawi	0.4	Q1020	95
Malaysia	11.4	Q833	96
Maldives	4.8	Q826	97
Mali	1.1	Q912	98
Malta	113.5	Q233	99
Marshall Islands	15.9	Q709	100
Mauritius	17.6	Q1027	101
Micronesia, Fed. Sts.	7.0	Q702	102
Moldova	86.1	Q217	103
Monaco	195.6	Q235	104
Mongolia	45.0	Q711	105
Montenegro	64.1	Q236	106
Morocco	3.7	Q1028	107
Mozambique	0.5	Q1029	108
Myanmar	2.4	Q836	109
Namibia	6.1	Q1030	110
Nepal	3.0	Q837	111
Netherlands	49.0	Q55	112
New Zealand	43.0	Q664	113
Nicaragua	15.5	Q811	114
Niger	0.4	Q1032	115
Nigeria	1.4	Q1033	116
North Macedonia	61.2	Q221	117
Norway	67.2	Q20	118
Oman	30.5	Q842	119
Pakistan	5.5	Q843	120
Panama	26.2	Q804	121
Papua New Guinea	2.3	Q691	122
Paraguay	20.5	Q733	123
Peru	42.9	Q419	124
Philippines	9.6	Q928	125
Poland	67.9	Q36	126
Portugal	86.1	Q45	127
Qatar	14.5	Q846	128
Romania	60.5	Q218	129
Russian Federation	63.1	Q159	130
Rwanda	0.8	Q1037	131
Samoa	1.6	Q683	132
San Marino	112.9	Q238	133
Senegal	1.1	Q1041	134
Serbia	86.7	Q403	135
Seychelles	48.6	Q1042	136
Sierra Leone	0.1	Q1044	137
Singapore	31.5	Q334	138
Slovak Republic	53.9	Q214	139
Slovenia	66.7	Q215	140
Solomon Islands	2.5	Q685	141
Somalia	0.2	Q1045	142
South Africa	11.4	Q258	143
South Sudan	0.3	Q958	144
Spain	79.9	Q29	145
Sri Lanka	2.8	Q854	146
St. Kitts and Nevis	33.5	Q763	147
St. Lucia	23.6	Q760	148
St. Vincent and the Grenadines	23.6	Q757	149
Sudan	2.7	Q1049	150
Sweden	113.1	Q34	151
Switzerland	94.8	Q39	152
Tajikistan	41.7	Q863	153
Tanzania	0.5	Q924	154
Thailand	13.1	Q869	155
Timor-Leste	0.9	Q574	156
Togo	0.5	Q945	157
Tonga	14.0	Q678	158
Trinidad and Tobago	30.9	Q754	159
Tunisia	11.5	Q948	160
Turkey	47.6	Q43	161
Turkmenistan	58.8	Q874	162
Tuvalu	26.1	Q672	163
Uganda	1.1	Q1036	164
Ukraine	86.6	Q212	165
United Kingdom	133.3	Q145	166
United States	54.7	Q30	167
Uruguay	38.9	Q77	168
Uzbekistan	50.4	Q265	169
Vanuatu	3.2	Q686	170
Venezuela, RB	18.1	Q717	171
Yemen, Rep.	0.8	Q805	172
Zambia	1.5	Q953	173
Zimbabwe	1.6	Q954	174
