Country	Mostrecentyear	Tariff	ID	id_row
Albania	2017	6.8	Q222	0
Angola	2016	59.1	Q916	1
Antigua and Barbuda	2017	58.8	Q781	2
Argentina	2017	31.7	Q414	3
Armenia	2017	8.7	Q399	4
Australia	2017	9.6	Q408	5
Austria	2017	4.4	Q40	6
Bahrain	2017	34.7	Q398	7
Bangladesh	2016	158.1	Q902	8
Barbados	2013	78.2	Q244	9
Belgium	2017	4.4	Q31	10
Belize	2017	59.3	Q242	11
Benin	2017	29.5	Q962	12
Bolivia	2017	40.0	Q750	13
Botswana	2017	19.0	Q963	14
Brazil	2017	31.5	Q155	15
Brunei Darussalam	2017	24.3	Q921	16
Bulgaria	2017	4.4	Q219	17
Burkina Faso	2017	44.3	Q965	18
Burundi	2016	69.0	Q967	19
Cabo Verde	2015	16.0	Q1011	20
Cambodia	2016	19.4	Q424	21
Cameroon	2014	79.9	Q1009	22
Canada	2017	4.9	Q16	23
Central African Republic	2017	35.9	Q929	24
Chad	2016	79.9	Q657	25
Chile	2017	25.2	Q298	26
China	2017	10.0	Q148	27
Hong Kong SAR, China	2017	0.0	Q8646	28
Macao SAR, China	2017	0.0	Q14773	29
Colombia	2017	42.8	Q739	30
Congo, Dem. Rep.	2014	96.1	Q974	31
Congo, Rep.	2015	27.5	Q971	32
Costa Rica	2016	43.0	Q800	33
Cote d'Ivoire	2017	11.2	Q1008	34
Croatia	2017	4.4	Q224	35
Cuba	2017	21.6	Q241	36
Czech Republic	2017	4.4	Q213	37
Denmark	2017	4.4	Q35	38
Djibouti	2014	41.3	Q977	39
Dominica	2017	58.7	Q784	40
Dominican Republic	2017	34.6	Q786	41
Ecuador	2017	21.8	Q736	42
Egypt, Arab Rep.	2017	36.5	Q79	43
El Salvador	2017	36.9	Q792	44
Estonia	2017	4.4	Q191	45
Fiji	2017	40.1	Q712	46
Finland	2017	4.4	Q33	47
France	2017	4.4	Q142	48
Gabon	2016	22.8	Q1000	49
Gambia, The	2013	102.0	Q1005	50
Georgia	2016	7.1	Q230	51
Germany	2017	4.4	Q183	52
Ghana	2017	92.5	Q117	53
Greece	2017	4.4	Q41	54
Grenada	2016	57.3	Q769	55
Guatemala	2015	41.6	Q774	56
Guinea	2017	20.9	Q1006	57
Guinea-Bissau	2017	48.5	Q1007	58
Guyana	2017	56.6	Q734	59
Haiti	2016	17.7	Q790	60
Honduras	2015	32.1	Q783	61
Hungary	2017	4.4	Q28	62
Iceland	2017	13.8	Q189	63
India	2017	52.0	Q668	64
Indonesia	2017	37.3	Q252	65
Ireland	2017	4.4	Q27	66
Israel	2017	23.2	Q801	67
Italy	2017	4.4	Q38	68
Jamaica	2016	50.4	Q766	69
Japan	2017	3.1	Q17	70
Jordan	2017	16.4	Q810	71
Kazakhstan	2017	6.0	Q232	72
Kenya	2016	94.5	Q114	73
Korea, Rep.	2017	16.6	Q884	74
Kuwait	2017	98.3	Q817	75
Kyrgyz Republic	2017	7.6	Q813	76
Lao PDR	2017	19.0	Q819	77
Latvia	2017	4.4	Q211	78
Lesotho	2017	80.2	Q1013	79
Lithuania	2017	4.4	Q37	80
Luxembourg	2017	4.4	Q32	81
North Macedonia	2017	6.9	Q221	82
Madagascar	2017	27.5	Q1019	83
Malawi	2016	75.1	Q1020	84
Malaysia	2016	14.6	Q833	85
Maldives	2017	36.6	Q826	86
Mali	2017	29.7	Q912	87
Malta	2017	4.4	Q233	88
Mauritania	2015	20.8	Q1025	89
Mauritius	2017	85.9	Q1027	90
Mexico	2017	35.0	Q96	91
Moldova	2016	6.8	Q217	92
Mongolia	2017	17.6	Q711	93
Montenegro	2017	5.3	Q236	94
Morocco	2017	41.3	Q1028	95
Mozambique	2016	97.5	Q1029	96
Myanmar	2015	83.8	Q836	97
Namibia	2017	19.4	Q1030	98
Nepal	2016	26.3	Q837	99
Netherlands	2017	4.4	Q55	100
New Zealand	2017	9.4	Q664	101
Nicaragua	2017	41.2	Q811	102
Niger	2017	45.2	Q1032	103
Nigeria	2016	120.9	Q1033	104
Norway	2017	2.8	Q20	105
Oman	2017	14.1	Q842	106
Pakistan	2016	60.8	Q843	107
Panama	2015	22.9	Q804	108
Papua New Guinea	2013	33.8	Q691	109
Paraguay	2017	33.5	Q733	110
Peru	2017	29.5	Q419	111
Philippines	2017	25.8	Q928	112
Poland	2017	4.4	Q36	113
Portugal	2017	4.4	Q45	114
Qatar	2017	15.8	Q846	115
Romania	2017	4.4	Q218	116
Russian Federation	2017	7.4	Q159	117
Rwanda	2016	89.2	Q1037	118
Samoa	2017	21.3	Q683	119
Saudi Arabia	2017	10.7	Q851	120
Senegal	2017	30.0	Q1041	121
Seychelles	2017	9.4	Q1042	122
Sierra Leone	2012	47.4	Q1044	123
Singapore	2017	6.9	Q334	124
Slovak Republic	2017	4.4	Q214	125
