Country	Mostrecentyear	Tariff	ID	id_row
Albania	2017	1.0	Q222	0
Angola	2016	9.2	Q916	1
Antigua and Barbuda	2017	11.4	Q781	2
Argentina	2017	13.2	Q414	3
Armenia	2017	4.5	Q399	4
Australia	2017	2.4	Q408	5
Austria	2017	1.7	Q40	6
Bahrain	2017	3.9	Q398	7
Bangladesh	2016	12.9	Q902	8
Barbados	2013	9.8	Q244	9
Belgium	2017	1.7	Q31	10
Belize	2017	10.4	Q242	11
Benin	2017	12.9	Q962	12
Bolivia	2017	10.4	Q750	13
Botswana	2017	4.1	Q963	14
Brazil	2017	14.0	Q155	15
Brunei Darussalam	2017	0.2	Q921	16
Bulgaria	2017	1.7	Q219	17
Burkina Faso	2017	12.1	Q965	18
Burundi	2016	10.1	Q967	19
Cabo Verde	2015	14.5	Q1011	20
Cambodia	2016	12.0	Q424	21
Cameroon	2014	18.3	Q1009	22
Canada	2017	1.6	Q16	23
Central African Republic	2017	15.8	Q929	24
Chad	2016	17.9	Q657	25
Chile	2017	1.0	Q298	26
China	2017	8.4	Q148	27
Hong Kong SAR, China	2017	0.0	Q8646	28
Macao SAR, China	2017	0.0	Q14773	29
Colombia	2017	4.4	Q739	30
Congo, Dem. Rep.	2014	11.6	Q974	31
Congo, Rep.	2015	12.4	Q971	32
Costa Rica	2016	3.7	Q800	33
Cote d'Ivoire	2017	12.3	Q1008	34
Croatia	2017	1.7	Q224	35
Cuba	2017	9.8	Q241	36
Czech Republic	2017	1.7	Q213	37
Denmark	2017	1.7	Q35	38
Djibouti	2014	20.1	Q977	39
Dominica	2017	8.9	Q784	40
Dominican Republic	2017	5.9	Q786	41
Ecuador	2017	9.6	Q736	42
Egypt, Arab Rep.	2017	6.6	Q79	43
El Salvador	2017	3.6	Q792	44
Estonia	2017	1.7	Q191	45
Fiji	2017	12.2	Q712	46
Finland	2017	1.7	Q33	47
France	2017	1.7	Q142	48
Gabon	2016	18.7	Q1000	49
Gambia, The	2013	15.6	Q1005	50
Georgia	2016	0.8	Q230	51
Germany	2017	1.7	Q183	52
Ghana	2017	11.7	Q117	53
Greece	2017	1.7	Q41	54
Grenada	2016	10.0	Q769	55
Guatemala	2015	3.2	Q774	56
Guinea	2017	12.6	Q1006	57
Guinea-Bissau	2017	13.4	Q1007	58
Guyana	2017	8.6	Q734	59
Haiti	2016	5.8	Q790	60
Honduras	2015	4.1	Q783	61
Hungary	2017	1.7	Q28	62
Iceland	2017	0.0	Q189	63
India	2017	7.8	Q668	64
Indonesia	2017	5.8	Q252	65
Ireland	2017	1.7	Q27	66
Israel	2017	1.4	Q801	67
Italy	2017	1.7	Q38	68
Jamaica	2016	9.2	Q766	69
Japan	2017	2.1	Q17	70
Jordan	2017	3.8	Q810	71
Kazakhstan	2017	4.8	Q232	72
Kenya	2016	11.5	Q114	73
Korea, Rep.	2017	2.4	Q884	74
Kuwait	2017	4.0	Q817	75
Kyrgyz Republic	2017	4.2	Q813	76
Lao PDR	2017	1.9	Q819	77
Latvia	2017	1.7	Q211	78
Lesotho	2017	2.5	Q1013	79
Lithuania	2017	1.7	Q37	80
Luxembourg	2017	1.7	Q32	81
North Macedonia	2017	2.9	Q221	82
Madagascar	2017	6.8	Q1019	83
Malawi	2016	9.1	Q1020	84
Malaysia	2016	5.8	Q833	85
Maldives	2017	11.9	Q826	86
Mali	2017	12.3	Q912	87
Malta	2017	1.7	Q233	88
Mauritania	2015	12.5	Q1025	89
Mauritius	2017	1.2	Q1027	90
Mexico	2017	2.8	Q96	91
Moldova	2016	4.9	Q217	92
Mongolia	2017	4.9	Q711	93
Montenegro	2017	2.2	Q236	94
Morocco	2017	3.8	Q1028	95
Mozambique	2016	6.8	Q1029	96
Myanmar	2015	1.9	Q836	97
Namibia	2017	6.3	Q1030	98
Nepal	2016	11.9	Q837	99
Netherlands	2017	1.7	Q55	100
New Zealand	2017	2.2	Q664	101
Nicaragua	2017	3.3	Q811	102
Niger	2017	12.6	Q1032	103
Nigeria	2016	11.3	Q1033	104
Norway	2017	0.4	Q20	105
Oman	2017	3.4	Q842	106
Pakistan	2016	12.7	Q843	107
Panama	2015	7.1	Q804	108
Papua New Guinea	2013	3.1	Q691	109
Paraguay	2017	8.3	Q733	110
Peru	2017	1.5	Q419	111
Philippines	2017	3.6	Q928	112
Poland	2017	1.7	Q36	113
Portugal	2017	1.7	Q45	114
Qatar	2017	3.9	Q846	115
Romania	2017	1.7	Q218	116
Russian Federation	2017	5.1	Q159	117
Rwanda	2016	11.1	Q1037	118
Samoa	2017	11.4	Q683	119
Saudi Arabia	2017	4.2	Q851	120
Senegal	2017	12.7	Q1041	121
Seychelles	2017	1.9	Q1042	122
Sierra Leone	2012	12.4	Q1044	123
Singapore	2017	0.0	Q334	124
Slovak Republic	2017	1.7	Q214	125
Slovenia	2017	1.7	Q215	126
Solomon Islands	2017	8.6	Q685	127
South Africa	2017	7.0	Q258	128
Spain	2017	1.7	Q29	129
Sri Lanka	2017	8.3	Q854	130
St. Kitts and Nevis	2017	11.4	Q763	131
St. Lucia	2016	7.8	Q760	132
St. Vincent and the Grenadines	2017	8.2	Q757	133
Suriname	2013	10.1	Q730	134
Eswatini	2017	3.2	Q1050	135
Sweden	2017	1.7	Q34	136
Switzerland	2017	0.9	Q39	137
Tajikistan	2017	5.1	Q863	138
Tanzania	2016	11.6	Q924	139
Thailand	2015	7.3	Q869	140
Togo	2017	12.7	Q945	141
Tonga	2017	11.2	Q678	142
Trinidad and Tobago	2013	10.6	Q754	143
Tunisia	2016	9.3	Q948	144
Turkey	2017	1.4	Q43	145
Uganda	2016	11.2	Q1036	146
Ukraine	2017	2.4	Q212	147
United Arab Emirates	2017	4.2	Q878	148
United Kingdom	2017	1.7	Q145	149
United States	2017	2.8	Q30	150
Uruguay	2017	10.3	Q77	151
Vanuatu	2017	8.7	Q686	152
Venezuela, RB	2017	12.0	Q717	153
Vietnam	2017	6.2	Q881	154
Yemen, Rep.	2017	5.7	Q805	155
Zambia	2016	14.9	Q953	156
Zimbabwe	2016	9.8	Q954	157
