Country	Revenue2010	Revenue20101	ID	id_row
Afghanistan	9.2	9.3	Q889	0
Albania	18.0	18.6	Q222	1
Angola	16.6	9.2	Q916	2
Argentina	12.9	10.1	Q414	3
Armenia	17.1	20.9	Q399	4
Australia	20.5	23.0	Q408	5
Austria	25.3	25.4	Q40	6
Azerbaijan	12.2	13.0	Q227	7
Bahamas, The	10.9	14.8	Q778	8
Bangladesh	7.8	8.8	Q902	9
Barbados	24.7	27.5	Q244	10
Belarus	16.3	14.7	Q184	11
Belgium	24.5	24.0	Q31	12
Belize	23.9	26.3	Q242	13
Bhutan	13.5	16.0	Q917	14
Bosnia and Herzegovina	19.7	20.4	Q225	15
Botswana	23.6	19.5	Q963	16
Brazil	14.3	14.2	Q155	17
Bulgaria	18.5	20.2	Q219	18
Burkina Faso	11.3	15.0	Q965	19
Cabo Verde	18.4	20.1	Q1011	20
Cambodia	10.0	17.1	Q424	21
Cameroon	11.8	12.8	Q1009	22
Canada	11.8	12.9	Q16	23
Central African Republic	8.4	8.6	Q929	24
Chile	17.4	18.2	Q298	25
China	10.2	9.4	Q148	26
Macao SAR, China	34.5	28.8	Q14773	27
Colombia	12.1	14.4	Q739	28
Congo, Rep.	7.6	9.0	Q971	29
Costa Rica	13.1	13.6	Q800	30
Cote d'Ivoire	14.3	11.8	Q1008	31
Croatia	19.8	22.0	Q224	32
Cyprus	23.1	24.5	Q229	33
Czech Republic	13.4	14.9	Q213	34
Denmark	32.7	32.4	Q35	35
Dominican Republic	12.2	13.0	Q786	36
El Salvador	15.8	18.1	Q792	37
Equatorial Guinea	7.6	6.1	Q983	38
Estonia	19.7	20.9	Q191	39
Ethiopia	8.2	7.5	Q115	40
Fiji	21.8	24.2	Q712	41
Finland	18.6	20.8	Q33	42
France	22.1	24.2	Q142	43
Gabon	14.1	10.2	Q1000	44
Georgia	21.0	21.7	Q230	45
Germany	11.2	11.5	Q183	46
Ghana	13.4	12.6	Q117	47
Greece	20.2	26.2	Q41	48
Guatemala	10.4	10.6	Q774	49
Hungary	22.8	23.0	Q28	50
Iceland	20.1	23.4	Q189	51
India	10.4	11.2	Q668	52
Indonesia	10.5	10.2	Q252	53
Ireland	21.8	18.3	Q27	54
Israel	22.5	23.1	Q801	55
Italy	23.7	24.3	Q38	56
Jamaica	24.3	26.8	Q766	57
Japan	8.8	11.9	Q17	58
Jordan	15.7	15.1	Q810	59
Kazakhstan	15.7	11.7	Q232	60
Kiribati	17.6	22.0	Q710	61
Korea, Rep.	13.4	15.6	Q884	62
Latvia	19.8	22.9	Q211	63
Lebanon	16.8	15.3	Q822	64
Lesotho	29.8	31.6	Q1013	65
Lithuania	16.0	16.9	Q37	66
Luxembourg	25.0	26.5	Q32	67
North Macedonia	16.9	17.7	Q221	68
Madagascar	8.5	10.2	Q1019	69
Malawi	15.4	17.4	Q1020	70
Malaysia	13.3	12.0	Q833	71
Mali	12.9	11.6	Q912	72
Malta	26.1	26.2	Q233	73
Marshall Islands	17.6	17.8	Q709	74
Mauritius	18.0	19.1	Q1027	75
Mexico	10.1	13.1	Q96	76
Micronesia, Fed. Sts.	4.7	25.2	Q702	77
Moldova	15.2	17.7	Q217	78
Mongolia	19.6	16.8	Q711	79
Morocco	22.8	21.9	Q1028	80
Mozambique	14.8	21.6	Q1029	81
Myanmar	4.5	5.4	Q836	82
Namibia	25.9	29.3	Q1030	83
Nepal	13.4	20.7	Q837	84
Netherlands	21.0	23.0	Q55	85
New Zealand	26.1	28.0	Q664	86
Nicaragua	13.7	15.7	Q811	87
Norway	26.9	23.9	Q20	88
Palau	17.0	21.3	Q695	89
Paraguay	8.9	10.0	Q733	90
Peru	15.5	14.3	Q419	91
Philippines	11.6	14.0	Q928	92
Poland	16.5	17.4	Q36	93
Portugal	19.6	22.8	Q45	94
Romania	16.6	14.6	Q218	95
Russian Federation	13.0	11.4	Q159	96
Samoa	20.9	25.5	Q683	97
San Marino	15.6	18.1	Q238	98
Saudi Arabia	2.5	8.9	Q851	99
Seychelles	27.9	34.1	Q1042	100
Singapore	12.8	13.1	Q334	101
Slovak Republic	15.2	18.7	Q214	102
Slovenia	18.1	18.6	Q215	103
Solomon Islands	28.7	29.5	Q685	104
South Africa	25.0	27.5	Q258	105
Spain	12.4	14.2	Q29	106
Sri Lanka	11.3	11.9	Q854	107
St. Kitts and Nevis	16.7	18.5	Q763	108
St. Lucia	18.2	18.2	Q760	109
St. Vincent and the Grenadines	22.9	25.4	Q757	110
Sudan	6.2	8.0	Q1049	111
Sweden	27.4	27.9	Q34	112
Switzerland	9.7	10.1	Q39	113
Tanzania	9.9	11.5	Q924	114
Thailand	14.9	14.9	Q869	115
Timor-Leste	110.2	25.0	Q574	116
Togo	14.5	16.9	Q945	117
Trinidad and Tobago	26.2	19.5	Q754	118
Turkey	19.4	17.9	Q43	119
Ukraine	15.6	20.1	Q212	120
United Arab Emirates	0.3	0.1	Q878	121
United Kingdom	25.3	25.5	Q145	122
United States	8.6	9.6	Q30	123
Uruguay	18.9	20.1	Q77	124
Uzbekistan	13.2	14.8	Q265	125
Vanuatu	15.5	18.0	Q686	126
West Bank and Gaza	5.5	6.4	Q407199	127
Zambia	12.8	16.2	Q953	128
Zimbabwe	17.4	20.7	Q954	129
