Country	Surveyyear	Poorestquintile	Richestquintile	ID	id_row
Afghanistan	2015	15.0	9.0	Q889	0
Albania	2009	6.0	1.0	Q222	1
Angola	2016	48.0	16.0	Q916	2
Armenia	2016	6.0	0.0	Q399	3
Bangladesh	2014	41.0	23.0	Q902	4
Benin	2018	31.0	9.0	Q962	5
Bolivia	2008	31.0	8.0	Q750	6
Burkina Faso	2010	36.0	12.0	Q965	7
Burundi	2017	13.0	7.0	Q967	8
Cambodia	2014	18.0	7.0	Q424	9
Cameroon	2014	38.0	14.0	Q1009	10
Chad	2015	47.0	25.0	Q657	11
Colombia	2015	27.0	5.0	Q739	12
Comoros	2012	17.0	4.0	Q970	13
Congo, Dem. Rep.	2014	42.0	15.0	Q974	14
Congo, Rep.	2016	51.0	17.0	Q971	15
Cote d'Ivoire	2016	51.0	13.0	Q1008	16
Dominican Republic	2014	35.0	9.0	Q786	17
Egypt, Arab Rep.	2014	9.0	4.0	Q79	18
Ethiopia	2016	24.0	6.0	Q115	19
Gabon	2012	49.0	10.0	Q1000	20
Gambia, The	2018	25.0	6.0	Q1005	21
Ghana	2014	24.0	8.0	Q117	22
Guatemala	2015	28.0	11.0	Q774	23
Guinea	2018	35.0	14.0	Q1006	24
Guyana	2009	38.0	4.0	Q734	25
Haiti	2017	19.0	4.0	Q790	26
Honduras	2012	35.0	11.0	Q783	27
India	2016	11.0	3.0	Q668	28
Indonesia	2017	13.0	2.0	Q252	29
Jordan	2018	13.0	1.0	Q810	30
Kenya	2014	22.0	9.0	Q114	31
Kyrgyz Republic	2018	7.0	2.0	Q813	32
Lesotho	2018	28.0	6.0	Q1013	33
Liberia	2013	48.0	13.0	Q1014	34
Madagascar	2009	53.0	20.0	Q1019	35
Malawi	2016	43.0	17.0	Q1020	36
Maldives	2017	3.0	2.0	Q826	37
Mali	2018	34.0	25.0	Q912	38
Mozambique	2011	64.0	21.0	Q1029	39
Myanmar	2016	9.0	3.0	Q836	40
Namibia	2013	28.0	8.0	Q1030	41
Nepal	2016	20.0	6.0	Q837	42
Niger	2012	49.0	24.0	Q1032	43
Nigeria	2018	32.0	3.0	Q1033	44
Pakistan	2018	10.0	5.0	Q843	45
Papua New Guinea	2018	16.0	6.0	Q691	46
Peru	2012	26.0	3.0	Q419	47
Philippines	2017	15.0	3.0	Q928	48
Rwanda	2015	13.0	5.0	Q1037	49
Sao Tome and Principe	2009	37.0	8.0	Q1039	50
Senegal	2017	32.0	6.0	Q1041	51
Sierra Leone	2017	51.0	16.0	Q1044	52
South Africa	2016	20.0	7.0	Q258	53
Tajikistan	2017	5.0	6.0	Q863	54
Tanzania	2016	42.0	15.0	Q924	55
Timor-Leste	2016	11.0	4.0	Q574	56
Togo	2014	36.0	8.0	Q945	57
Turkey	2013	7.0	1.0	Q43	58
Uganda	2016	34.0	15.0	Q1036	59
Yemen, Rep.	2013	11.0	8.0	Q805	60
Zambia	2014	45.0	10.0	Q953	61
Zimbabwe	2015	34.0	6.0	Q954	62
