Country	Areas	ID	id_row
Afghanistan	0.1	Q889	0
Albania	17.7	Q222	1
Algeria	7.5	Q262	2
American Samoa	15.8	Q16641	3
Andorra	26.7	Q228	4
Angola	7.0	Q916	5
Antigua and Barbuda	18.6	Q781	6
Argentina	8.8	Q414	7
Armenia	23.1	Q399	8
Aruba	18.9	Q21203	9
Australia	19.3	Q408	10
Austria	28.4	Q40	11
Azerbaijan	10.2	Q227	12
Bahamas, The	36.6	Q778	13
Bahrain	6.6	Q398	14
Bangladesh	4.6	Q902	15
Barbados	1.3	Q244	16
Belarus	9.4	Q184	17
Belgium	23.3	Q31	18
Belize	37.7	Q242	19
Benin	29.6	Q962	20
Bermuda	2.1	Q23635	21
Bhutan	48.0	Q917	22
Bolivia	30.9	Q750	23
Bosnia and Herzegovina	1.4	Q225	24
Botswana	29.1	Q963	25
Brazil	29.4	Q155	26
Brunei Darussalam	46.9	Q921	27
Bulgaria	34.7	Q219	28
Burkina Faso	14.9	Q965	29
Burundi	7.6	Q967	30
Cabo Verde	2.9	Q1011	31
Cambodia	26.0	Q424	32
Cameroon	10.6	Q1009	33
Canada	9.7	Q16	34
Cayman Islands	10.8	Q5785	35
Central African Republic	18.1	Q929	36
Chad	20.4	Q657	37
Chile	18.5	Q298	38
China	15.4	Q148	39
Hong Kong SAR, China	41.9	Q8646	40
Colombia	14.8	Q739	41
Comoros	10.2	Q970	42
Congo, Dem. Rep.	13.8	Q974	43
Congo, Rep.	40.7	Q971	44
Costa Rica	27.6	Q800	45
Cote d'Ivoire	22.9	Q1008	46
Croatia	38.3	Q224	47
Cuba	16.6	Q241	48
Curacao	15.5	Q25279	49
Cyprus	18.7	Q229	50
Czech Republic	22.2	Q213	51
Denmark	18.1	Q35	52
Djibouti	1.6	Q977	53
Dominica	22.0	Q784	54
Dominican Republic	26.2	Q786	55
Ecuador	21.7	Q736	56
Egypt, Arab Rep.	13.1	Q79	57
El Salvador	8.8	Q792	58
Equatorial Guinea	19.3	Q983	59
Eritrea	4.9	Q986	60
Estonia	20.2	Q191	61
Eswatini	4.2	Q1050	62
Ethiopia	18.5	Q115	63
Faroe Islands	2.3	Q4628	64
Fiji	5.4	Q712	65
Finland	15.0	Q33	66
France	25.8	Q142	67
French Polynesia	2.0	Q30971	68
Gabon	22.4	Q1000	69
Gambia, The	4.1	Q1005	70
Georgia	8.3	Q230	71
Germany	37.8	Q183	72
Ghana	15.1	Q117	73
Greece	35.2	Q41	74
Greenland	41.2	Q223	75
Grenada	9.8	Q769	76
Guam	22.5	Q16635	77
Guatemala	20.0	Q774	78
Guinea	35.6	Q1006	79
Guinea-Bissau	16.7	Q1007	80
Guyana	8.7	Q734	81
Haiti	1.9	Q790	82
Honduras	23.9	Q783	83
Hungary	22.6	Q28	84
Iceland	18.2	Q189	85
India	6.0	Q668	86
Indonesia	12.2	Q252	87
Iran, Islamic Rep.	8.6	Q794	88
Iraq	1.5	Q796	89
Ireland	14.4	Q27	90
Isle of Man	3.7	Q9676	91
Israel	19.9	Q801	92
Italy	21.5	Q38	93
Jamaica	15.9	Q766	94
Japan	29.4	Q17	95
Jordan	1.8	Q810	96
Kazakhstan	3.3	Q232	97
Kenya	12.4	Q114	98
Kiribati	22.4	Q710	99
Korea, Dem. Peopleâ€™s Rep.	2.4	Q423	100
Korea, Rep.	11.7	Q884	101
Kuwait	17.5	Q817	102
Kyrgyz Republic	6.7	Q813	103
Lao PDR	16.7	Q819	104
Latvia	18.2	Q211	105
Lebanon	2.6	Q822	106
Lesotho	0.3	Q1013	107
Liberia	4.1	Q1014	108
Libya	0.2	Q1016	109
Liechtenstein	11.9	Q347	110
Lithuania	17.0	Q37	111
Luxembourg	40.9	Q32	112
North Macedonia	9.7	Q221	113
Madagascar	5.6	Q1019	114
Malawi	22.9	Q1020	115
Malaysia	19.1	Q833	116
Maldives	1.2	Q826	117
Mali	8.2	Q912	118
Malta	30.3	Q233	119
