Country	Exports	ID	id_row
Albania	20.7	Q222	0
Algeria	0.5	Q262	1
Angola	21.9	Q916	2
Argentina	45.0	Q414	3
Armenia	29.9	Q399	4
Azerbaijan	10.5	Q227	5
Bangladesh	6.3	Q902	6
Belarus	13.5	Q184	7
Belize	10.1	Q242	8
Benin	7.8	Q962	9
Bhutan	10.7	Q917	10
Bolivia	9.6	Q750	11
Bosnia and Herzegovina	10.8	Q225	12
Botswana	2.4	Q963	13
Brazil	31.7	Q155	14
Bulgaria	15.3	Q219	15
Cabo Verde	5.6	Q1011	16
Cambodia	6.7	Q424	17
China	8.2	Q148	18
Colombia	40.8	Q739	19
Congo, Dem. Rep.	2.4	Q974	20
Costa Rica	18.3	Q800	21
Dominica	16.5	Q784	22
Dominican Republic	15.1	Q786	23
Ecuador	36.7	Q736	24
Egypt, Arab Rep.	15.0	Q79	25
El Salvador	45.8	Q792	26
Fiji	2.0	Q712	27
Georgia	23.7	Q230	28
Grenada	8.4	Q769	29
Guatemala	26.7	Q774	30
Guinea	2.2	Q1006	31
Haiti	1.2	Q790	32
Honduras	28.1	Q783	33
India	11.4	Q668	34
Indonesia	26.0	Q252	35
Iran, Islamic Rep.	0.8	Q794	36
Jamaica	20.4	Q766	37
Jordan	14.1	Q810	38
Kazakhstan	48.3	Q232	39
Kenya	22.6	Q114	40
Kosovo	11.4	Q1246	41
Kyrgyz Republic	31.3	Q813	42
Lao PDR	14.6	Q819	43
Lebanon	72.1	Q822	44
Lesotho	3.6	Q1013	45
North Macedonia	16.6	Q221	46
Madagascar	2.7	Q1019	47
Maldives	9.2	Q826	48
Mauritius	23.3	Q1027	49
Mexico	11.9	Q96	50
Moldova	12.9	Q217	51
Mongolia	101.6	Q711	52
Montenegro	63.7	Q236	53
Morocco	8.8	Q1028	54
Mozambique	13.1	Q1029	55
Myanmar	4.9	Q836	56
Nicaragua	19.0	Q811	57
Nigeria	8.3	Q1033	58
Pakistan	19.9	Q843	59
Papua New Guinea	26.1	Q691	60
Paraguay	15.7	Q733	61
Peru	12.2	Q419	62
Philippines	8.7	Q928	63
Romania	20.8	Q218	64
Russian Federation	19.6	Q159	65
Rwanda	12.6	Q1037	66
Samoa	9.8	Q683	67
Sao Tome and Principe	4.5	Q1039	68
Serbia	22.3	Q403	69
Solomon Islands	5.6	Q685	70
South Africa	19.9	Q258	71
Sri Lanka	36.0	Q854	72
St. Lucia	3.9	Q760	73
St. Vincent and the Grenadines	12.3	Q757	74
Sudan	4.2	Q1049	75
Eswatini	2.3	Q1050	76
Tajikistan	22.0	Q863	77
Thailand	5.4	Q869	78
Timor-Leste	0.3	Q574	79
Tonga	7.2	Q678	80
Tunisia	14.0	Q948	81
Turkey	36.7	Q43	82
Uganda	12.2	Q1036	83
Ukraine	20.7	Q212	84
Uzbekistan	5.8	Q265	85
Vietnam	7.1	Q881	86
Zambia	14.6	Q953	87
Zimbabwe	11.7	Q954	88
