Country	Primary	Secondary	ID	id_row
Andorra	100.0	100.0	Q228	0
Antigua and Barbuda	52.8	47.7	Q781	1
Azerbaijan	99.5	91.9	Q227	2
Bahamas, The	89.8	83.1	Q778	3
Bahrain	100.0	100.0	Q398	4
Bangladesh	50.4	66.5	Q902	5
Barbados	76.5	48.9	Q244	6
Belarus	99.6	96.6	Q184	7
Belize	79.2	61.3	Q242	8
Benin	70.4	18.0	Q962	9
Bermuda	100.0	100.0	Q23635	10
Bhutan	100.0	100.0	Q917	11
Bolivia	90.4	88.7	Q750	12
Brunei Darussalam	86.4	89.1	Q921	13
Burkina Faso	87.6	59.8	Q965	14
Burundi	100.0	100.0	Q967	15
Cabo Verde	98.6	96.0	Q1011	16
Cayman Islands	100.0	100.0	Q5785	17
Hong Kong SAR, China	96.6	97.0	Q8646	18
Macao SAR, China	98.5	91.3	Q14773	19
Colombia	97.5	97.6	Q739	20
Costa Rica	94.4	96.1	Q800	21
Cote d'Ivoire	100.0	100.0	Q1008	22
Cuba	100.0	100.0	Q241	23
Dominica	65.7	48.6	Q784	24
Egypt, Arab Rep.	82.7	81.9	Q79	25
El Salvador	95.5	92.5	Q792	26
Gambia, The	100.0	100.0	Q1005	27
Ghana	60.4	77.1	Q117	28
Grenada	62.9	46.3	Q769	29
India	69.8	76.5	Q668	30
Iran, Islamic Rep.	100.0	97.5	Q794	31
Jamaica	100.0	100.0	Q766	32
Jordan	100.0	100.0	Q810	33
Kazakhstan	100.0	100.0	Q232	34
Kyrgyz Republic	95.4	74.8	Q813	35
Lao PDR	97.0	95.9	Q819	36
Lesotho	86.5	88.9	Q1013	37
Madagascar	14.7	20.2	Q1019	38
Malaysia	97.3	93.4	Q833	39
Mauritania	91.2	97.2	Q1025	40
Mauritius	100.0	53.1	Q1027	41
Mexico	96.6	92.1	Q96	42
Moldova	99.0	98.4	Q217	43
Mongolia	93.3	88.9	Q711	44
Morocco	100.0	100.0	Q1028	45
Myanmar	95.3	89.0	Q836	46
Nepal	97.3	83.3	Q837	47
Niger	61.6	10.6	Q1032	48
Oman	100.0	100.0	Q842	49
Peru	94.7	90.5	Q419	50
Philippines	100.0	100.0	Q928	51
Puerto Rico	92.6	84.0	Q1183	52
Rwanda	94.4	62.6	Q1037	53
Saudi Arabia	100.0	100.0	Q851	54
Senegal	79.4	76.7	Q1041	55
Seychelles	85.0	100.0	Q1042	56
Singapore	99.0	99.0	Q334	57
Sri Lanka	82.8	82.2	Q854	58
St. Kitts and Nevis	72.0	61.7	Q763	59
St. Lucia	89.0	74.4	Q760	60
Thailand	100.0	100.0	Q869	61
Tunisia	100.0	100.0	Q948	62
Tuvalu	80.0	65.1	Q672	63
Ukraine	87.3	93.4	Q212	64
United Arab Emirates	100.0	100.0	Q878	65
Uzbekistan	99.0	97.3	Q265	66
West Bank and Gaza	100.0	100.0	Q407199	67
