Country	Total1990	Total2019	Male2019	Female2019	ID	id_row
Afghanistan	178.0	60.0	64.0	57.0	Q889	0
Albania	41.0	10.0	11.0	9.0	Q222	1
Algeria	50.0	23.0	25.0	22.0	Q262	2
Andorra	13.0	3.0	3.0	3.0	Q228	3
Angola	222.0	75.0	80.0	69.0	Q916	4
Antigua and Barbuda	14.0	7.0	7.0	6.0	Q781	5
Argentina	29.0	9.0	10.0	8.0	Q414	6
Armenia	49.0	12.0	13.0	11.0	Q399	7
Australia	9.0	4.0	4.0	3.0	Q408	8
Austria	10.0	4.0	4.0	3.0	Q40	9
Azerbaijan	95.0	20.0	22.0	18.0	Q227	10
Bahamas, The	24.0	13.0	14.0	12.0	Q778	11
Bahrain	23.0	7.0	7.0	7.0	Q398	12
Bangladesh	144.0	31.0	33.0	29.0	Q902	13
Barbados	18.0	13.0	14.0	12.0	Q244	14
Belarus	15.0	3.0	4.0	3.0	Q184	15
Belgium	10.0	3.0	4.0	3.0	Q31	16
Belize	38.0	12.0	14.0	11.0	Q242	17
Benin	175.0	90.0	96.0	84.0	Q962	18
Bhutan	127.0	29.0	31.0	26.0	Q917	19
Bolivia	122.0	26.0	29.0	23.0	Q750	20
Bosnia and Herzegovina	18.0	6.0	6.0	5.0	Q225	21
Botswana	48.0	42.0	45.0	38.0	Q963	22
Brazil	63.0	14.0	16.0	12.0	Q155	23
Brunei Darussalam	13.0	11.0	13.0	10.0	Q921	24
Bulgaria	18.0	7.0	7.0	6.0	Q219	25
Burkina Faso	199.0	88.0	92.0	83.0	Q965	26
Burundi	174.0	57.0	61.0	52.0	Q967	27
Cabo Verde	61.0	15.0	16.0	13.0	Q1011	28
Cambodia	116.0	27.0	30.0	23.0	Q424	29
Cameroon	136.0	75.0	81.0	69.0	Q1009	30
Canada	8.0	5.0	5.0	5.0	Q16	31
Central African Republic	177.0	110.0	116.0	104.0	Q929	32
Chad	212.0	114.0	120.0	107.0	Q657	33
Chile	19.0	7.0	8.0	6.0	Q298	34
China	54.0	8.0	8.0	7.0	Q148	35
Colombia	35.0	14.0	15.0	12.0	Q739	36
Comoros	124.0	63.0	68.0	58.0	Q970	37
Congo, Dem. Rep.	185.0	85.0	91.0	78.0	Q974	38
Congo, Rep.	90.0	48.0	52.0	44.0	Q971	39
Costa Rica	17.0	9.0	9.0	8.0	Q800	40
Cote d'Ivoire	152.0	79.0	87.0	71.0	Q1008	41
Croatia	13.0	5.0	5.0	4.0	Q224	42
Cuba	14.0	5.0	6.0	5.0	Q241	43
Cyprus	11.0	2.0	3.0	2.0	Q229	44
Czech Republic	12.0	3.0	4.0	3.0	Q213	45
Denmark	9.0	4.0	4.0	3.0	Q35	46
Djibouti	118.0	58.0	62.0	52.0	Q977	47
Dominica	17.0	35.0	39.0	34.0	Q784	48
Dominican Republic	60.0	28.0	31.0	25.0	Q786	49
Ecuador	54.0	14.0	16.0	12.0	Q736	50
Egypt, Arab Rep.	86.0	20.0	22.0	19.0	Q79	51
El Salvador	60.0	13.0	15.0	12.0	Q792	52
Equatorial Guinea	178.0	82.0	88.0	76.0	Q983	53
Eritrea	153.0	41.0	46.0	35.0	Q986	54
Estonia	18.0	2.0	3.0	2.0	Q191	55
Eswatini	67.0	49.0	54.0	45.0	Q1050	56
Ethiopia	200.0	51.0	56.0	45.0	Q115	57
Fiji	29.0	26.0	28.0	23.0	Q712	58
Finland	7.0	2.0	3.0	2.0	Q33	59
France	9.0	5.0	5.0	4.0	Q142	60
Gabon	92.0	43.0	47.0	38.0	Q1000	61
Gambia, The	167.0	52.0	56.0	47.0	Q1005	62
Georgia	48.0	10.0	11.0	9.0	Q230	63
Germany	9.0	4.0	4.0	4.0	Q183	64
Ghana	127.0	46.0	51.0	41.0	Q117	65
Greece	10.0	4.0	4.0	3.0	Q41	66
Grenada	22.0	17.0	18.0	15.0	Q769	67
Guatemala	80.0	25.0	27.0	22.0	Q774	68
Guinea	231.0	99.0	105.0	93.0	Q1006	69
Guinea-Bissau	221.0	79.0	85.0	72.0	Q1007	70
Guyana	60.0	29.0	33.0	25.0	Q734	71
Haiti	145.0	63.0	68.0	57.0	Q790	72
Honduras	58.0	17.0	19.0	15.0	Q783	73
Hungary	17.0	4.0	4.0	3.0	Q28	74
Iceland	7.0	2.0	2.0	2.0	Q189	75
India	126.0	34.0	34.0	35.0	Q668	76
Indonesia	84.0	24.0	26.0	21.0	Q252	77
Iran, Islamic Rep.	56.0	14.0	15.0	13.0	Q794	78
Iraq	54.0	26.0	28.0	23.0	Q796	79
Ireland	9.0	3.0	4.0	3.0	Q27	80
Israel	12.0	4.0	4.0	3.0	Q801	81
Italy	10.0	3.0	3.0	3.0	Q38	82
Jamaica	30.0	14.0	16.0	12.0	Q766	83
Japan	6.0	3.0	3.0	2.0	Q17	84
Jordan	36.0	16.0	17.0	14.0	Q810	85
Kazakhstan	52.0	11.0	12.0	9.0	Q232	86
Kenya	102.0	43.0	47.0	39.0	Q114	87
Kiribati	96.0	51.0	56.0	46.0	Q710	88
Korea, Dem. Peopleâ€™s Rep.	43.0	17.0	19.0	15.0	Q423	89
Korea, Rep.	15.0	3.0	4.0	3.0	Q884	90
Kuwait	18.0	8.0	9.0	7.0	Q817	91
Kyrgyz Republic	65.0	18.0	20.0	16.0	Q813	92
Lao PDR	153.0	46.0	50.0	41.0	Q819	93
Latvia	17.0	4.0	4.0	3.0	Q211	94
Lebanon	32.0	7.0	8.0	7.0	Q822	95
Lesotho	85.0	86.0	94.0	79.0	Q1013	96
Liberia	263.0	85.0	91.0	78.0	Q1014	97
Libya	42.0	12.0	13.0	10.0	Q1016	98
Lithuania	15.0	4.0	4.0	3.0	Q37	99
Luxembourg	9.0	3.0	3.0	3.0	Q32	100
Madagascar	157.0	51.0	55.0	46.0	Q1019	101
Malawi	243.0	42.0	46.0	37.0	Q1020	102
Malaysia	17.0	9.0	9.0	8.0	Q833	103
Maldives	86.0	8.0	8.0	7.0	Q826	104
Mali	230.0	94.0	99.0	88.0	Q912	105
Malta	11.0	7.0	8.0	6.0	Q233	106
Marshall Islands	49.0	32.0	35.0	28.0	Q709	107
Mauritania	118.0	73.0	79.0	67.0	Q1025	108
Mauritius	23.0	16.0	18.0	14.0	Q1027	109
Mexico	45.0	14.0	16.0	13.0	Q96	110
Micronesia, Fed. Sts.	55.0	29.0	32.0	26.0	Q702	111
Moldova	33.0	14.0	16.0	13.0	Q217	112
Monaco	8.0	3.0	3.0	3.0	Q235	113
Mongolia	108.0	16.0	18.0	14.0	Q711	114
