Country	_2000	_2018	ID	id_row
Afghanistan	14.7	13.9	Q889	0
Albania	16.9	11.2	Q222	1
Algeria	29.7	21.1	Q262	2
Angola	2.8	7.3	Q916	3
Argentina	16.3	10.5	Q414	4
Armenia	14.5	17.2	Q399	5
Australia	6.1	5.3	Q408	6
Austria	4.6	4.7	Q40	7
Azerbaijan	12.8	5.8	Q227	8
Bahamas, The	8.0	9.9	Q778	9
Bahrain	4.5	2.7	Q398	10
Bangladesh	3.3	6.6	Q902	11
Barbados	11.4	9.6	Q244	12
Belarus	10.1	3.6	Q184	13
Belgium	8.3	5.6	Q31	14
Belize	18.3	9.7	Q242	15
Benin	0.5	2.6	Q962	16
Bhutan	2.2	3.1	Q917	17
Bolivia	3.7	3.6	Q750	18
Bosnia and Herzegovina	29.7	20.3	Q225	19
Botswana	17.3	20.5	Q963	20
Brazil	12.9	14.2	Q155	21
Brunei Darussalam	7.3	9.6	Q921	22
Bulgaria	15.8	4.7	Q219	23
Burkina Faso	2.7	8.9	Q965	24
Burundi	1.4	1.0	Q967	25
Cabo Verde	10.9	11.5	Q1011	26
Cambodia	1.5	0.8	Q424	27
Cameroon	6.6	3.8	Q1009	28
Canada	6.7	5.5	Q16	29
Central African Republic	3.8	3.6	Q929	30
Chad	0.6	1.6	Q657	31
Channel Islands	8.2	7.7	Q42314	32
Chile	12.5	8.0	Q298	33
China	2.8	3.7	Q148	34
Colombia	25.1	11.8	Q739	35
Comoros	4.9	4.7	Q970	36
Congo, Dem. Rep.	2.2	3.4	Q974	37
Congo, Rep.	21.2	10.3	Q971	38
Costa Rica	6.6	12.2	Q800	39
Cote d'Ivoire	4.4	3.8	Q1008	40
Croatia	17.3	9.3	Q224	41
Cuba	8.4	1.8	Q241	42
Cyprus	7.4	8.8	Q229	43
Czech Republic	10.5	2.8	Q213	44
Denmark	5.0	5.1	Q35	45
Djibouti	10.5	10.4	Q977	46
Dominican Republic	10.7	8.1	Q786	47
Ecuador	6.4	4.4	Q736	48
Egypt, Arab Rep.	23.0	23.0	Q79	49
El Salvador	3.7	3.8	Q792	50
Equatorial Guinea	6.7	6.1	Q983	51
Eritrea	5.2	4.9	Q986	52
Estonia	11.6	5.3	Q191	53
Eswatini	27.5	23.9	Q1050	54
Ethiopia	4.7	2.7	Q115	55
Fiji	5.1	5.5	Q712	56
Finland	12.0	7.3	Q33	57
France	12.2	9.1	Q142	58
French Polynesia	13.5	13.4	Q30971	59
Gabon	20.2	28.1	Q1000	60
Gambia, The	12.6	12.2	Q1005	61
Georgia	10.5	12.5	Q230	62
