Country	_2000	_2018	ID	id_row
Afghanistan	17.2	16.1	Q889	0
Albania	28.0	31.1	Q222	1
Algeria	51.1	26.6	Q262	2
Angola	11.2	16.8	Q916	3
Argentina	29.7	21.2	Q414	4
Armenia	11.7	32.7	Q399	5
Australia	12.9	13.0	Q408	6
Austria	6.9	9.4	Q40	7
Azerbaijan	23.8	11.2	Q227	8
Bahamas, The	12.1	21.5	Q778	9
Bahrain	2.6	1.3	Q398	10
Bangladesh	9.5	10.2	Q902	11
Barbados	18.1	26.9	Q244	12
Belarus	22.9	12.7	Q184	13
Belgium	12.9	16.2	Q31	14
Belize	13.9	9.4	Q242	15
Benin	1.2	4.6	Q962	16
Bhutan	4.6	7.8	Q917	17
Bolivia	4.9	6.7	Q750	18
Bosnia and Herzegovina	50.4	35.8	Q225	19
Botswana	30.4	29.5	Q963	20
Brazil	15.0	25.2	Q155	21
Brunei Darussalam	16.3	29.1	Q921	22
Bulgaria	35.8	13.2	Q219	23
Burkina Faso	2.8	5.1	Q965	24
Burundi	4.2	3.9	Q967	25
Cabo Verde	20.8	24.5	Q1011	26
Cambodia	1.4	1.0	Q424	27
Cameroon	12.2	5.4	Q1009	28
Canada	13.8	12.5	Q16	29
Central African Republic	6.7	6.0	Q929	30
Chad	2.5	3.5	Q657	31
Channel Islands	17.9	15.9	Q42314	32
Chile	20.7	16.8	Q298	33
China	7.6	11.1	Q148	34
Colombia	31.2	14.5	Q739	35
Comoros	10.8	11.1	Q970	36
Congo, Dem. Rep.	6.3	10.1	Q974	37
Congo, Rep.	40.0	22.6	Q971	38
Costa Rica	9.6	21.9	Q800	39
Cote d'Ivoire	6.5	4.4	Q1008	40
Croatia	40.9	19.6	Q224	41
Cuba	9.3	4.7	Q241	42
Cyprus	6.6	23.3	Q229	43
Czech Republic	17.2	6.4	Q213	44
Denmark	6.5	10.5	Q35	45
Djibouti	19.7	21.1	Q977	46
Dominican Republic	8.3	9.7	Q786	47
Ecuador	8.3	6.4	Q736	48
Egypt, Arab Rep.	15.7	29.3	Q79	49
El Salvador	14.3	8.2	Q792	50
Equatorial Guinea	12.5	12.7	Q983	51
Eritrea	8.9	9.0	Q986	52
Estonia	22.1	12.2	Q191	53
Eswatini	46.3	43.7	Q1050	54
Ethiopia	3.5	2.4	Q115	55
Fiji	6.8	11.5	Q712	56
Finland	28.6	17.1	Q33	57
France	18.8	21.3	Q142	58
French Polynesia	29.0	33.9	Q30971	59
Gabon	33.8	31.2	Q1000	60
Gambia, The	9.6	8.8	Q1005	61
Georgia	21.1	26.5	Q230	62
Germany	9.5	7.1	Q183	63
Ghana	16.1	9.1	Q117	64
Greece	21.6	36.3	Q41	65
Guam	34.3	12.4	Q16635	66
Guatemala	4.0	3.6	Q774	67
Guinea	6.8	6.4	Q1006	68
Guinea-Bissau	4.6	4.3	Q1007	69
Guyana	21.3	17.1	Q734	70
Haiti	16.5	23.9	Q790	71
Honduras	6.2	7.8	Q783	72
Hong Kong SAR, China	12.0	8.8	Q8646	73
Hungary	13.7	9.8	Q28	74
Iceland	4.9	6.3	Q189	75
India	18.1	22.6	Q668	76
Indonesia	18.1	16.3	Q252	77
Iran, Islamic Rep.	20.0	24.4	Q794	78
Iraq	16.7	21.7	Q796	79
Ireland	6.1	14.9	Q27	80
Israel	17.2	7.0	Q801	81
Italy	28.4	30.4	Q38	82
Jamaica	26.1	21.5	Q766	83
Japan	10.2	4.1	Q17	84
Jordan	26.4	30.5	Q810	85
Kazakhstan	22.2	3.5	Q232	86
Kenya	6.9	7.1	Q114	87
Korea, Dem. Peopleâ€™s Rep.	7.5	7.1	Q423	88
Korea, Rep.	12.6	10.8	Q884	89
Kuwait	3.9	9.1	Q817	90
Kyrgyz Republic	11.8	10.2	Q813	91
Lao PDR	4.0	1.8	Q819	92
Latvia	21.0	12.5	Q211	93
Lebanon	21.7	15.6	Q822	94
Lesotho	38.5	30.3	Q1013	95
Liberia	2.6	2.3	Q1014	96
Libya	39.6	41.7	Q1016	97
Lithuania	29.5	12.0	Q37	98
Luxembourg	5.7	16.1	Q32	99
Macao SAR, China	15.4	6.3	Q14773	100
Madagascar	9.0	3.5	Q1019	101
Malawi	7.7	6.9	Q1020	102
Malaysia	10.2	10.4	Q833	103
Maldives	3.9	17.4	Q826	104
Mali	6.6	13.9	Q912	105
Malta	13.2	11.2	Q233	106
Mauritania	13.5	13.8	Q1025	107
Mauritius	24.8	18.4	Q1027	108
Mexico	4.4	6.4	Q96	109
Moldova	17.1	7.6	Q217	110
Mongolia	10.9	14.5	Q711	111
Montenegro	48.0	33.3	Q236	112
Morocco	21.9	22.1	Q1028	113
Mozambique	8.9	6.9	Q1029	114
Myanmar	1.3	3.2	Q836	115
Namibia	36.3	37.4	Q1030	116
Nepal	3.6	2.8	Q837	117
Netherlands	4.7	7.7	Q55	118
New Caledonia	39.5	32.8	Q33788	119
New Zealand	14.5	12.4	Q664	120
Nicaragua	10.8	8.7	Q811	121
Niger	4.2	0.8	Q1032	122
Nigeria	10.3	10.4	Q1033	123
North Macedonia	56.0	46.6	Q221	124
Norway	10.7	10.6	Q20	125
Oman	14.4	10.0	Q842	126
Pakistan	1.1	8.3	Q843	127
Panama	6.4	7.6	Q804	128
Papua New Guinea	6.1	5.6	Q691	129
Paraguay	13.1	9.8	Q733	130
Peru	9.4	8.7	Q419	131
Philippines	7.8	5.7	Q928	132
Poland	33.6	11.5	Q36	133
Portugal	5.5	19.9	Q45	134
Puerto Rico	23.2	23.5	Q1183	135
Qatar	1.9	0.2	Q846	136
Romania	18.9	16.3	Q218	137
Russian Federation	19.5	16.4	Q159	138
Rwanda	1.3	1.2	Q1037	139
Samoa	9.9	14.9	Q683	140
Sao Tome and Principe	18.6	15.3	Q1039	141
Saudi Arabia	22.2	19.9	Q851	142
Senegal	7.0	7.1	Q1041	143
Serbia	27.7	27.9	Q403	144
Sierra Leone	7.0	13.7	Q1044	145
Singapore	5.4	6.5	Q334	146
Slovak Republic	39.6	14.3	Q214	147
Slovenia	14.8	8.3	Q215	148
Solomon Islands	3.5	0.9	Q685	149
Somalia	18.5	17.0	Q1045	150
South Africa	49.1	49.5	Q258	151
South Sudan	21.0	20.2	Q958	152
Spain	19.7	35.3	Q29	153
Sri Lanka	20.5	16.7	Q854	154
St. Lucia	22.5	42.0	Q760	155
St. Vincent and the Grenadines	40.5	40.4	Q757	156
Sudan	27.4	26.8	Q1049	157
Suriname	22.1	8.9	Q730	158
Sweden	10.6	18.0	Q34	159
Switzerland	5.8	8.4	Q39	160
Syrian Arab Republic	13.9	16.9	Q858	161
Tajikistan	28.1	21.2	Q863	162
Tanzania	5.6	2.9	Q924	163
Thailand	7.3	3.6	Q869	164
Timor-Leste	6.2	10.0	Q574	165
Togo	6.4	3.6	Q945	166
Tonga	6.4	1.8	Q678	167
Trinidad and Tobago	6.4	6.0	Q754	168
Tunisia	32.7	33.6	Q948	169
Turkey	13.2	17.1	Q43	170
Turkmenistan	22.8	9.4	Q874	171
Uganda	4.6	1.9	Q1036	172
Ukraine	21.5	17.0	Q212	173
United Arab Emirates	5.9	5.2	Q878	174
United Kingdom	13.4	12.2	Q145	175
United States	9.6	9.4	Q30	176
Uruguay	25.4	23.0	Q77	177
Uzbekistan	20.8	10.8	Q265	178
Vanuatu	8.6	8.4	Q686	179
Venezuela, RB	21.6	13.7	Q717	180
Vietnam	5.0	7.2	Q881	181
Virgin Islands (U.S.)	19.0	18.4	Q11703	182
