Country	Water	ID	id_row
Albania	43.0	Q222	0
Algeria	36.0	Q262	1
Antigua and Barbuda	63.0	Q781	2
Argentina	15.0	Q414	3
Armenia	6.0	Q399	4
Australia	23.0	Q408	5
Austria	21.0	Q40	6
Bangladesh	10.0	Q902	7
Belarus	36.0	Q184	8
Belgium	12.0	Q31	9
Bhutan	5.0	Q917	10
Bolivia	7.0	Q750	11
Brazil	23.0	Q155	12
Bulgaria	16.0	Q219	13
Cambodia	4.0	Q424	14
Canada	14.0	Q16	15
Chile	4.0	Q298	16
China	13.0	Q148	17
Colombia	27.0	Q739	18
Costa Rica	32.0	Q800	19
Croatia	80.0	Q224	20
Cuba	24.0	Q241	21
Cyprus	33.0	Q229	22
Denmark	55.0	Q35	23
Dominica	95.0	Q784	24
Dominican Republic	12.0	Q786	25
Egypt, Arab Rep.	12.0	Q79	26
Estonia	3.0	Q191	27
Finland	6.0	Q33	28
France	18.0	Q142	29
Greece	9.0	Q41	30
Grenada	85.0	Q769	31
Guatemala	25.0	Q774	32
Guyana	4.0	Q734	33
Haiti	13.0	Q790	34
Hungary	14.0	Q28	35
Iceland	29.0	Q189	36
India	7.0	Q668	37
Ireland	83.0	Q27	38
Italy	18.0	Q38	39
Jamaica	35.0	Q766	40
Japan	19.0	Q17	41
Jordan	44.0	Q810	42
Kazakhstan	4.0	Q232	43
Kenya	37.0	Q114	44
Kyrgyz Republic	3.0	Q813	45
Latvia	64.0	Q211	46
Libya	12.0	Q1016	47
Lithuania	24.0	Q37	48
Luxembourg	95.0	Q32	49
North Macedonia	41.0	Q221	50
Madagascar	3.0	Q1019	51
Maldives	95.0	Q826	52
Mali	2.0	Q912	53
Malta	34.0	Q233	54
Mexico	15.0	Q96	55
Moldova	14.0	Q217	56
Monaco	100.0	Q235	57
Mongolia	13.0	Q711	58
Montenegro	60.0	Q236	59
Morocco	10.0	Q1028	60
Mozambique	25.0	Q1029	61
Nepal	2.0	Q837	62
Netherlands	11.0	Q55	63
New Zealand	16.0	Q664	64
Nicaragua	19.0	Q811	65
Nigeria	40.0	Q1033	66
Norway	31.0	Q20	67
Pakistan	5.0	Q843	68
Panama	56.0	Q804	69
Paraguay	15.0	Q733	70
Peru	9.0	Q419	71
Philippines	8.0	Q928	72
Portugal	11.0	Q45	73
Puerto Rico	23.0	Q1183	74
Romania	15.0	Q218	75
Saudi Arabia	9.0	Q851	76
Slovak Republic	46.0	Q214	77
Slovenia	14.0	Q215	78
South Africa	27.0	Q258	79
South Sudan	29.0	Q958	80
Spain	14.0	Q29	81
St. Kitts and Nevis	99.0	Q763	82
St. Lucia	29.0	Q760	83
St. Vincent and the Grenadines	100.0	Q757	84
Sudan	4.0	Q1049	85
Suriname	8.0	Q730	86
Sweden	38.0	Q34	87
Switzerland	60.0	Q39	88
Tajikistan	6.0	Q863	89
Thailand	5.0	Q869	90
Trinidad and Tobago	62.0	Q754	91
Tunisia	15.0	Q948	92
Uganda	51.0	Q1036	93
Ukraine	22.0	Q212	94
United Kingdom	71.0	Q145	95
United States	13.0	Q30	96
Venezuela, RB	23.0	Q717	97
Zimbabwe	12.0	Q954	98
