Country	Total	ID	id_row
Afghanistan	38.1	Q889	0
Albania	91.3	Q222	1
Algeria	57.5	Q262	2
Angola	73.1	Q916	3
Antigua and Barbuda	66.3	Q781	4
Argentina	76.3	Q414	5
Armenia	82.5	Q399	6
Australia	96.9	Q408	7
Austria	94.4	Q40	8
Azerbaijan	78.8	Q227	9
Bahamas, The	81.3	Q778	10
Bahrain	46.3	Q398	11
Bangladesh	49.4	Q902	12
Barbados	76.9	Q244	13
Belarus	75.6	Q184	14
Belgium	100.0	Q31	15
Belize	79.4	Q242	16
Benin	74.4	Q962	17
Bhutan	71.9	Q917	18
Bolivia	82.5	Q750	19
Bosnia and Herzegovina	85.0	Q225	20
Botswana	63.8	Q963	21
Brazil	81.9	Q155	22
Brunei Darussalam	53.1	Q921	23
Bulgaria	90.6	Q219	24
Burkina Faso	79.4	Q965	25
Burundi	73.1	Q967	26
Cabo Verde	86.3	Q1011	27
Cambodia	75.0	Q424	28
Cameroon	56.9	Q1009	29
Canada	100.0	Q16	30
Central African Republic	71.3	Q929	31
Chad	66.3	Q657	32
Chile	77.5	Q298	33
China	75.6	Q148	34
Hong Kong SAR, China	89.4	Q8646	35
Colombia	81.9	Q739	36
Comoros	58.8	Q970	37
Congo, Dem. Rep.	78.8	Q974	38
Congo, Rep.	46.3	Q971	39
Costa Rica	80.0	Q800	40
Cote d'Ivoire	83.1	Q1008	41
Croatia	93.8	Q224	42
Cyprus	91.3	Q229	43
Czech Republic	93.8	Q213	44
Denmark	100.0	Q35	45
Djibouti	68.1	Q977	46
Dominica	62.5	Q784	47
Dominican Republic	86.3	Q786	48
Ecuador	89.4	Q736	49
Egypt, Arab Rep.	45.0	Q79	50
El Salvador	88.8	Q792	51
Equatorial Guinea	51.9	Q983	52
Eritrea	69.4	Q986	53
Estonia	97.5	Q191	54
Eswatini	46.3	Q1050	55
Ethiopia	71.9	Q115	56
Fiji	79.4	Q712	57
Finland	97.5	Q33	58
France	100.0	Q142	59
Gabon	57.5	Q1000	60
Gambia, The	74.4	Q1005	61
Georgia	85.6	Q230	62
Germany	97.5	Q183	63
Ghana	75.0	Q117	64
Greece	97.5	Q41	65
Grenada	80.6	Q769	66
Guatemala	70.6	Q774	67
Guinea	65.0	Q1006	68
Guinea-Bissau	42.5	Q1007	69
Guyana	86.9	Q734	70
Haiti	61.3	Q790	71
Honduras	75.0	Q783	72
Hungary	96.9	Q28	73
Iceland	100.0	Q189	74
India	74.4	Q668	75
Indonesia	64.4	Q252	76
Iran, Islamic Rep.	31.3	Q794	77
Iraq	45.0	Q796	78
Ireland	97.5	Q27	79
Israel	77.5	Q801	80
Italy	97.5	Q38	81
Jamaica	68.1	Q766	82
Japan	81.9	Q17	83
Jordan	40.6	Q810	84
Kazakhstan	72.5	Q232	85
Kenya	80.6	Q114	86
Kiribati	78.8	Q710	87
Korea, Rep.	85.0	Q884	88
Kosovo	91.9	Q1246	89
Kuwait	32.5	Q817	90
Kyrgyz Republic	76.9	Q813	91
Lao PDR	88.1	Q819	92
Latvia	100.0	Q211	93
Lebanon	52.5	Q822	94
Lesotho	75.6	Q1013	95
Liberia	83.8	Q1014	96
Libya	50.0	Q1016	97
Lithuania	93.8	Q37	98
Luxembourg	100.0	Q32	99
North Macedonia	85.0	Q221	100
Madagascar	71.9	Q1019	101
Malawi	80.6	Q1020	102
Malaysia	50.0	Q833	103
Maldives	73.8	Q826	104
Mali	60.6	Q912	105
Malta	88.8	Q233	106
Marshall Islands	58.8	Q709	107
Mauritania	45.6	Q1025	108
Mauritius	91.9	Q1027	109
Mexico	83.8	Q96	110
Micronesia, Fed. Sts.	61.3	Q702	111
Moldova	84.4	Q217	112
Mongolia	82.5	Q711	113
Montenegro	81.9	Q236	114
Morocco	75.6	Q1028	115
Mozambique	76.9	Q1029	116
Myanmar	58.8	Q836	117
Namibia	86.3	Q1030	118
Nepal	73.8	Q837	119
Netherlands	97.5	Q55	120
New Zealand	94.4	Q664	121
Nicaragua	86.3	Q811	122
Niger	59.4	Q1032	123
Nigeria	63.1	Q1033	124
Norway	96.9	Q20	125
Oman	38.8	Q842	126
Pakistan	49.4	Q843	127
Palau	58.8	Q695	128
Panama	79.4	Q804	129
Papua New Guinea	60.0	Q691	130
Paraguay	94.4	Q733	131
Peru	95.0	Q419	132
Philippines	81.3	Q928	133
Poland	93.8	Q36	134
Portugal	97.5	Q45	135
Puerto Rico	81.3	Q1183	136
Qatar	32.5	Q846	137
Romania	90.6	Q218	138
Russian Federation	73.1	Q159	139
Rwanda	78.1	Q1037	140
Samoa	80.0	Q683	141
San Marino	80.0	Q238	142
Sao Tome and Principe	86.3	Q1039	143
Saudi Arabia	70.6	Q851	144
Senegal	63.8	Q1041	145
Serbia	93.8	Q403	146
Seychelles	76.3	Q1042	147
Sierra Leone	63.1	Q1044	148
Singapore	82.5	Q334	149
Slovak Republic	94.4	Q214	150
Slovenia	93.8	Q215	151
Solomon Islands	56.9	Q685	152
Somalia	46.9	Q1045	153
South Africa	88.1	Q258	154
South Sudan	70.0	Q958	155
Spain	97.5	Q29	156
Sri Lanka	68.1	Q854	157
St. Kitts and Nevis	71.3	Q763	158
St. Lucia	83.8	Q760	159
St. Vincent and the Grenadines	68.1	Q757	160
Sudan	29.4	Q1049	161
Suriname	66.3	Q730	162
Sweden	100.0	Q34	163
Switzerland	85.6	Q39	164
Syrian Arab Republic	36.9	Q858	165
Tajikistan	78.8	Q863	166
Tanzania	84.4	Q924	167
Thailand	78.1	Q869	168
Timor-Leste	83.1	Q574	169
Togo	84.4	Q945	170
Tonga	58.8	Q678	171
Trinidad and Tobago	75.0	Q754	172
Tunisia	70.0	Q948	173
Turkey	82.5	Q43	174
Uganda	73.1	Q1036	175
Ukraine	78.8	Q212	176
United Arab Emirates	56.3	Q878	177
United Kingdom	97.5	Q145	178
United States	91.3	Q30	179
Uruguay	88.8	Q77	180
Uzbekistan	67.5	Q265	181
Vanuatu	58.1	Q686	182
Venezuela, RB	85.0	Q717	183
Vietnam	78.8	Q881	184
West Bank and Gaza	26.3	Q407199	185
Yemen, Rep.	26.9	Q805	186
Zambia	81.3	Q953	187
Zimbabwe	86.9	Q954	188
