Country	Total	ID	id_row
Afghanistan	28.0	Q889	0
Albania	30.0	Q222	1
Algeria	26.0	Q262	2
Andorra	46.0	Q228	3
Angola	30.0	Q916	4
Antigua and Barbuda	11.0	Q781	5
Argentina	40.0	Q414	6
Armenia	23.0	Q399	7
Australia	30.0	Q408	8
Austria	39.0	Q40	9
Azerbaijan	17.0	Q227	10
Bahamas, The	13.0	Q778	11
Bahrain	15.0	Q398	12
Bangladesh	21.0	Q902	13
Barbados	20.0	Q244	14
Belarus	40.0	Q184	15
Belgium	42.0	Q31	16
Belize	9.0	Q242	17
Benin	7.0	Q962	18
Bhutan	15.0	Q917	19
Bolivia	53.0	Q750	20
Bosnia and Herzegovina	21.0	Q225	21
Botswana	11.0	Q963	22
Brazil	15.0	Q155	23
Brunei Darussalam	9.0	Q921	24
Bulgaria	26.0	Q219	25
Burkina Faso	13.0	Q965	26
Burundi	36.0	Q967	27
Cabo Verde	24.0	Q1011	28
Cambodia	20.0	Q424	29
Cameroon	31.0	Q1009	30
Canada	29.0	Q16	31
Central African Republic	9.0	Q929	32
Chad	15.0	Q657	33
Chile	23.0	Q298	34
China	25.0	Q148	35
Colombia	19.0	Q739	36
Comoros	6.0	Q970	37
Congo, Dem. Rep.	10.0	Q974	38
Congo, Rep.	11.0	Q971	39
Costa Rica	46.0	Q800	40
Cote d'Ivoire	11.0	Q1008	41
Croatia	21.0	Q224	42
Cuba	53.0	Q241	43
Cyprus	18.0	Q229	44
Czech Republic	23.0	Q213	45
Denmark	39.0	Q35	46
Djibouti	26.0	Q977	47
Dominica	25.0	Q784	48
Dominican Republic	27.0	Q786	49
Ecuador	38.0	Q736	50
Egypt, Arab Rep.	15.0	Q79	51
El Salvador	31.0	Q792	52
Equatorial Guinea	21.0	Q983	53
Eritrea	22.0	Q986	54
Estonia	30.0	Q191	55
Eswatini	7.0	Q1050	56
Ethiopia	39.0	Q115	57
Fiji	20.0	Q712	58
Finland	47.0	Q33	59
France	40.0	Q142	60
Gabon	18.0	Q1000	61
Gambia, The	10.0	Q1005	62
Georgia	15.0	Q230	63
Germany	31.0	Q183	64
Ghana	13.0	Q117	65
Greece	21.0	Q41	66
Grenada	47.0	Q769	67
Guatemala	19.0	Q774	68
Guinea	23.0	Q1006	69
Guinea-Bissau	14.0	Q1007	70
Guyana	32.0	Q734	71
Haiti	3.0	Q790	72
Honduras	21.0	Q783	73
Hungary	13.0	Q28	74
Iceland	38.0	Q189	75
India	14.0	Q668	76
Indonesia	17.0	Q252	77
Iran, Islamic Rep.	6.0	Q794	78
Iraq	25.0	Q796	79
Ireland	22.0	Q27	80
Israel	23.0	Q801	81
Italy	36.0	Q38	82
Jamaica	17.0	Q766	83
Japan	10.0	Q17	84
Jordan	15.0	Q810	85
Kazakhstan	27.0	Q232	86
Kenya	22.0	Q114	87
Kiribati	7.0	Q710	88
Korea, Dem. Peopleâ€™s Rep.	18.0	Q423	89
Korea, Rep.	17.0	Q884	90
Kuwait	5.0	Q817	91
Kyrgyz Republic	19.0	Q813	92
Lao PDR	28.0	Q819	93
Latvia	30.0	Q211	94
Lebanon	5.0	Q822	95
Lesotho	23.0	Q1013	96
Liberia	12.0	Q1014	97
Libya	16.0	Q1016	98
Liechtenstein	12.0	Q347	99
Lithuania	21.0	Q37	100
Luxembourg	25.0	Q32	101
North Macedonia	39.0	Q221	102
Madagascar	16.0	Q1019	103
Malawi	23.0	Q1020	104
Malaysia	14.0	Q833	105
Maldives	5.0	Q826	106
Mali	10.0	Q912	107
Malta	15.0	Q233	108
Marshall Islands	6.0	Q709	109
Mauritania	20.0	Q1025	110
Mauritius	20.0	Q1027	111
Mexico	48.0	Q96	112
Micronesia, Fed. Sts.	0.0	Q702	113
Moldova	26.0	Q217	114
Monaco	33.0	Q235	115
Mongolia	17.0	Q711	116
Montenegro	28.0	Q236	117
Morocco	21.0	Q1028	118
Mozambique	41.0	Q1029	119
Myanmar	11.0	Q836	120
