Country	Penetration (%)
South Korea	97.49
Japan	94.70
Norway	92.16
Hong Kong	90.34
United States	90.32
Netherlands	89.64
Hungary	89.26
Kuwait	88.40
Lithuania	88.40
Czech Republic	87.37
Sweden	87.31
Taiwan	87.08
Australia	86.48
India	86.26
Thailand	85.58
Switzerland	85.39
Belgium	85.11
Qatar	84.47
Singapore	84.43
Estonia	84.21
Latvia	84.17
United Arab Emirates	83.78
Spain	83.73
Finland	82.79
Macedonia	82.62
Canada	82.38
Uruguay	81.59
Denmark	80.50
Croatia	80.44
Luxembourg	79.95
Slovenia	79.22
Bahrain	79.02
Slovakia	78.96
Peru	78.67
Oman	78.41
United Kingdom	77.28
Mexico	76.95
Greece	76.04
Austria	75.60
Portugal	75.57
Serbia	75.19
Malaysia	74.88
Georgia	74.54
Lebanon	74.48
Bulgaria	73.96
Brunei	73.66
Bolivia	73.52
Argentina	73.17
Romania	72.88
Poland	72.84
Saudi Arabia	72.61
Indonesia	72.39
Panama	72.11
Vietnam	71.26
Kazakhstan	71.18
Jordan	70.63
Cambodia	70.51
Paraguay	69.93
Italy	69.66
Morocco	69.34
Ivory Coast	69.30
Iran	69.27
Chile	69.26
Pakistan	69.99
New Zealand	69.07
France	68.31
South Africa	68.30
Turkey	67.95
Albania	67.94
Germany	65.67
Colombia	65.51
Guatemala	65.13
Russia	65.08
Israel	64.66
Philippines	63.73
Myanmar	62.52
Tunisia	61.38
Brazil	61.26
Dominican Republic	60.60
Armenia	59.99
Costa Rica	58.45
Belarus	56.99
Ireland	56.67
Ecuador	46.69
Egypt	45.43
Sri Lanka	45.30
El Salvador	44.70
Algeria	40.94
Bangladesh	40.50
