Country	Total
Afghanistan	97.7
Albania	100
Algeria	100
American Samoa	..
Andorra	100
Angola	42
Antigua and Barbuda	100
Argentina	100
Armenia	100
Aruba	100
Australia	100
Austria	100
Azerbaijan	100
Bahamas, The	100
Bahrain	100
Bangladesh	88
Barbados	100
Belarus	100
Belgium	100
Belize	98.3
Benin	34.5
Bermuda	100
Bhutan	97.7
Bolivia	91.8
Bosnia and Herzegovina	100
Botswana	62.6
Brazil	100
Brunei Darussalam	100
Bulgaria	100
Burkina Faso	17.5
Burundi	9.3
Cabo Verde	91.4
Cambodia	89.1
Cameroon	61.3
Canada	100
Cayman Islands	100
Central African Republic	29.8
Chad	10.9
Channel Islands	..
Chile	100
China	100
Hong Kong SAR, China	100
Macao SAR, China	100
Colombia	98.5
Comoros	79.4
Congo, Dem. Rep.	18.2
Congo, Rep.	64.7
Costa Rica	99.6
Cote d'Ivoire	65.6
Croatia	100
Cuba	99.9
Curacao	100
Cyprus	100
Czech Republic	100
Denmark	100
Djibouti	60.2
Dominica	100
Dominican Republic	100
Ecuador	99.2
Egypt, Arab Rep.	100
El Salvador	96.8
Equatorial Guinea	66.8
Eritrea	48.3
Estonia	100
Eswatini	73.5
Ethiopia	44.3
Faroe Islands	100
Fiji	96
Finland	100
France	100
French Polynesia	100
Gabon	91.9
Gambia, The	56.2
Georgia	100
Germany	100
Ghana	79
Greece	100
Greenland	100
Grenada	94.5
Guam	100
Guatemala	93.3
Guinea	35.4
Guinea-Bissau	26
Guyana	90.9
Haiti	43.8
Honduras	86.5
Hungary	100
Iceland	100
India	92.6
Indonesia	98.1
Iran, Islamic Rep.	100
Iraq	99.9
Ireland	100
Isle of Man	100
Israel	100
Italy	100
Jamaica	98
Japan	100
Jordan	100
Kazakhstan	100
Kenya	63.6
Kiribati	98.6
Korea, Dem. People’s Rep.	46
Korea, Rep.	100
Kosovo	99.8
Kuwait	100
Kyrgyz Republic	100
Lao PDR	93.6
Latvia	100
Lebanon	100
Lesotho	33.7
Liberia	24.2
Libya	70.4
Liechtenstein	100
Lithuania	100
Luxembourg	100
Madagascar	100
Malawi	24.1
Malaysia	12.7
Maldives	100
Mali	99.8
Malta	43.1
Marshall Islands	100
Mauritania	94.6
Mauritius	42.9
Mexico	97.4
Micronesia, Fed. Sts.	100
Moldova	80.1
Monaco	100
Mongolia	100
Montenegro	93.8
Morocco	100
Mozambique	100
Myanmar	29.3
Namibia	69.8
Nepal	52.5
Netherlands	92.4
New Caledonia	100
New Zealand	100
Nicaragua	100
Niger	86.8
Nigeria	18.2
North Macedonia	54.4
Northern Mariana Islands	100
Norway	100
Oman	100
Pakistan	70.8
Palau	100
Panama	100
Papua New Guinea	54.4
Paraguay	99.3
Peru	94.8
Philippines	93
Poland	100
Portugal	100
Puerto Rico	100
Qatar	100
Romania	100
Russian Federation	100
Rwanda	34.1
Samoa	96.8
San Marino	100
Sao Tome and Principe	69.7
Saudi Arabia	99.9
Senegal	61.7
Serbia	100
Seychelles	100
Sierra Leone	23.4
Singapore	100
Sint Maarten (Dutch part)	100
Slovak Republic	100
Slovenia	100
Solomon Islands	62.9
Somalia	33.4
South Africa	84.4
South Sudan	25.1
Spain	100
Sri Lanka	97.5
St. Kitts and Nevis	100
St. Lucia	98.8
St. Martin (French part)	100
St. Vincent and the Grenadines	100
Sudan	56.5
Suriname	96.8
Sweden	100
Switzerland	100
Syrian Arab Republic	89.7
Tajikistan	99.3
Tanzania	32.7
Thailand	99.9
Timor-Leste	80
Togo	48
Tonga	98
Trinidad and Tobago	100
Tunisia	100
Turkey	100
Turkmenistan	100
Turks and Caicos Islands	100
Tuvalu	99.9
Uganda	31.8
Ukraine	100
United Arab Emirates	100
United Kingdom	100
United States	100
Uruguay	100
Uzbekistan	100
Vanuatu	62.8
Venezuela, RB	99.2
Vietnam	100
Virgin Islands (U.S.)	100
West Bank and Gaza	99.7
Yemen, Rep.	79.2
Zambia	40.3
Zimbabwe	40.5
World	88.8
East Asia & Pacific	97.9
Europe & Central Asia	100
Latin America & Caribbean	97.9
Middle East & North Africa	97.7
North America	100
South Asia	89.8
Sub-Saharan Africa	44.7
Low income	40.6
Lower middle income	84.6
Upper middle income	99.2
High income	100
