Country	% Avg (2000-2018)	%vg (2017-2018)
Afghanistan	..	..
Albania	..	..
Algeria	5.4	..
American Samoa	..	..
Andorra	..	..
Angola	13.2	-14
Antigua and Barbuda	..	..
Argentina	3.9	-5.3
Armenia	5.1	2.3
Aruba	..	..
Australia	3.4	0.7
Austria	1.1	2.9
Azerbaijan	17.9	..
Bahamas, The	-1	-4.5
Bahrain	6.4	1.2
Bangladesh	6	8
Barbados	..	..
Belarus	7	6.8
Belgium	1.1	0
Belize	2.3	-3.2
Benin	4.1	6.4
Bermuda	..	..
Bhutan	6.7	2.7
Bolivia	4.3	3.5
Bosnia and Herzegovina	0.8	5.2
Botswana	5.2	1
Brazil	3.1	-0.3
Brunei Darussalam	4	-2.5
Bulgaria	4	3.9
Burkina Faso	5.1	12.5
Burundi	5.9	8.3
Cabo Verde	1.9	7
Cambodia	7.6	6.3
Cameroon	4.3	3.7
Canada	2.1	1.6
Cayman Islands	..	..
Central African Republic	..	..
Chad	3.9	1.7
Channel Islands	..	..
Chile	5	1.3
China	9.8	9
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	4.7	-2
Comoros	3.2	5.4
Congo, Dem. Rep.	5.3	1.2
Congo, Rep.	9.5	-32.8
Costa Rica	4.2	1.8
Cote d'Ivoire	..	..
Croatia	1.8	3.3
Cuba	4.6	..
Curacao	..	..
Cyprus	2	12.7
Czech Republic	2.2	4
Denmark	1.6	0.7
Djibouti	..	..
Dominica	..	..
Dominican Republic	5	5.5
Ecuador	4.3	-1.9
Egypt, Arab Rep.	4.2	3.8
El Salvador	0.8	0
Equatorial Guinea	3.7	-6.3
Eritrea	-0.7	..
Estonia	3.7	5.2
Eswatini	2.8	9.2
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	0.7	3
France	1	1
French Polynesia	..	..
Gabon	6	-1.2
Gambia, The	3.3	11.9
Georgia	..	6.7
Germany	1.4	1.2
Ghana	4.9	5.6
Greece	-1.1	2.2
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	3.2	4.3
Guinea	5	-4.7
Guinea-Bissau	3.9	4.3
Guyana	..	3.2
Haiti	0.9	0.6
Honduras	3.2	-1
Hungary	1.7	4.4
Iceland	..	..
India	7.2	5.9
Indonesia	10.5	3.8
Iran, Islamic Rep.	3.7	..
Iraq	..	..
Ireland	2.1	9.3
Isle of Man	..	..
Israel	4.1	3.7
Italy	-0.4	1.4
Jamaica	0.3	0.3
Japan	0.6	0.4
Jordan	4.8	3.5
Kazakhstan	9.5	-1.5
Kenya	5.7	7
Kiribati	8.8	-0.1
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	3.2	0.6
Kosovo	..	..
Kuwait	..	9
Kyrgyz Republic	3.2	6.7
Lao PDR	8.1	..
Latvia	3.4	5.6
Lebanon	4.8	-0.1
Lesotho	2.1	2.2
Liberia	6	3.5
Libya	..	..
Liechtenstein	..	..
Lithuania	3.7	4.3
Luxembourg	0.7	2.4
Madagascar	3.7	-2
Malawi	6.4	8.7
Malaysia	5.7	1
Maldives	..	..
Mali	4.6	5.7
Malta	..	..
Marshall Islands	..	..
Mauritania	3.9	10.1
Mauritius	2.9	4.8
Mexico	1.7	1.1
Micronesia, Fed. Sts.	..	..
Moldova	5.3	2
Monaco	..	..
Mongolia	..	11.9
Montenegro	2.6	5.8
Morocco	4.2	3
Mozambique	10	3.4
Myanmar	..	0.9
Namibia	5.1	2.9
Nepal	4.5	5.7
Netherlands	1	2.8
New Caledonia	..	..
New Zealand	3.2	0.8
Nicaragua	3.8	-5.8
Niger	4.1	11.3
Nigeria	5.7	1.9
North Macedonia	3.3	..
Northern Mariana Islands	..	..
Norway	2.5	3
Oman	7.1	6.3
Pakistan	5.2	5.1
Palau	..	..
Panama	7.1	..
Papua New Guinea	..	..
Paraguay	4.1	3.3
Peru	6	2.7
Philippines	5.3	4.1
Poland	4	4.4
Portugal	0.2	2.5
Puerto Rico	..	..
Qatar	13	..
Romania	5.1	3.4
Russian Federation	4.1	2.5
Rwanda	7.3	10.2
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	5.8	6.7
Senegal	4.5	8.1
Serbia	0.8	6.4
Seychelles	..	..
Sierra Leone	5.6	5.5
Singapore	5.1	3.5
Sint Maarten (Dutch part)	..	..
Slovak Republic	3.4	2
Slovenia	1.4	4.9
Solomon Islands	..	..
Somalia	..	..
South Africa	3.2	-0.1
South Sudan	..	..
Spain	1	2.2
Sri Lanka	6.1	2.9
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	..	..
Suriname	..	..
Sweden	2	1.3
Switzerland	1.4	1.2
Syrian Arab Republic	..	..
Tajikistan	5.1	..
Tanzania	6.1	..
Thailand	3.6	4.1
Timor-Leste	..	..
Togo	2	12.3
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	5.8	..
Turkey	5.2	1
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	4.3	12.5
Ukraine	3	4.1
United Arab Emirates	3.9	-1.3
United Kingdom	1.3	0.6
United States	1.9	2.4
Uruguay	3.4	4.5
Uzbekistan	6.6	..
Vanuatu	4.5	..
Venezuela, RB	5.8	..
Vietnam	6.8	8.8
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	..	..
Zambia	..	..
Zimbabwe	10	36.1
World	2.9	2.8
East Asia & Pacific	5	4.6
Europe & Central Asia	1.6	1.7
Latin America & Caribbean	3.2	-0.2
Middle East & North Africa	5	..
North America	1.9	2.3
South Asia	6.9	5.9
Sub-Saharan Africa	4.8	2.1
Low income	..	..
Lower middle income	6.1	5.1
Upper middle income	6.5	4.7
High income	1.6	1.8
