Country	Male 	Female 
Afghanistan	238	193
Albania	93	49
Algeria	103	81
American Samoa	..	..
Andorra	..	..
Angola	327	220
Antigua and Barbuda	127	83
Argentina	147	79
Armenia	173	66
Aruba	111	69
Australia	76	45
Austria	79	42
Azerbaijan	149	89
Bahamas, The	194	117
Bahrain	72	56
Bangladesh	151	115
Barbados	130	92
Belarus	235	83
Belgium	80	49
Belize	214	118
Benin	259	211
Bermuda	..	..
Bhutan	197	195
Bolivia	219	138
Bosnia and Herzegovina	115	60
Botswana	249	162
Brazil	189	91
Brunei Darussalam	144	99
Bulgaria	184	86
Burkina Faso	260	228
Burundi	311	253
Cabo Verde	182	86
Cambodia	200	132
Cameroon	318	281
Canada	83	52
Cayman Islands	..	..
Central African Republic	453	371
Chad	378	335
Channel Islands	48	33
Chile	108	59
China	94	60
Hong Kong SAR, China	62	33
Macao SAR, China	58	24
Colombia	152	78
Comoros	246	194
Congo, Dem. Rep.	274	225
Congo, Rep.	280	240
Costa Rica	113	57
Cote d'Ivoire	361	325
Croatia	118	50
Cuba	113	74
Curacao	130	63
Cyprus	65	33
Czech Republic	109	51
Denmark	82	52
Djibouti	232	178
Dominica	..	..
Dominican Republic	197	115
Ecuador	161	88
Egypt, Arab Rep.	183	105
El Salvador	268	103
Equatorial Guinea	334	295
Eritrea	276	202
Estonia	155	56
Eswatini	480	310
Ethiopia	237	185
Faroe Islands	..	..
Fiji	257	175
Finland	89	44
France	95	48
French Polynesia	113	66
Gabon	238	182
Gambia, The	280	224
Georgia	222	77
Germany	87	48
Ghana	255	214
Greece	94	42
Greenland	..	..
Grenada	179	118
Guam	80	39
Guatemala	201	111
Guinea	260	233
Guinea-Bissau	374	301
Guyana	269	182
Haiti	257	197
Honduras	167	116
Hungary	168	81
Iceland	66	38
India	204	147
Indonesia	178	126
Iran, Islamic Rep.	83	50
Iraq	186	129
Ireland	71	42
Isle of Man	..	..
Israel	71	40
Italy	65	37
Jamaica	175	104
Japan	66	36
Jordan	124	89
Kazakhstan	221	94
Kenya	265	195
Kiribati	235	153
Korea, Dem. Peopleâ€™s Rep.	162	96
Korea, Rep.	79	32
Kosovo	..	..
Kuwait	69	41
Kyrgyz Republic	211	94
Lao PDR	206	157
Latvia	229	85
Lebanon	76	53
Lesotho	546	419
Liberia	247	207
Libya	180	99
Liechtenstein	..	..
Lithuania	213	79
Luxembourg	66	41
Madagascar	233	182
Malawi	325	212
Malaysia	160	84
Maldives	67	42
Mali	264	245
Malta	64	35
Marshall Islands	..	..
Mauritania	218	176
Mauritius	188	94
Mexico	184	96
Micronesia, Fed. Sts.	178	146
Moldova	237	96
Monaco	..	..
Mongolia	288	123
Montenegro	125	66
Morocco	72	62
Mozambique	390	268
Myanmar	248	150
Namibia	349	249
Nepal	167	130
Netherlands	66	51
New Caledonia	98	57
New Zealand	81	53
Nicaragua	201	103
Niger	252	223
Nigeria	364	325
North Macedonia	120	63
Northern Mariana Islands	..	..
Norway	62	39
Oman	101	63
Pakistan	173	138
Palau	..	..
Panama	148	77
Papua New Guinea	251	188
Paraguay	164	121
Peru	146	85
Philippines	235	131
Poland	161	62
Portugal	104	42
Puerto Rico	146	63
Qatar	41	32
Romania	172	73
Russian Federation	322	120
Rwanda	216	162
Samoa	138	81
San Marino	..	..
Sao Tome and Principe	188	124
Saudi Arabia	92	76
Senegal	216	145
Serbia	142	75
Seychelles	202	98
Sierra Leone	392	353
Singapore	60	35
Sint Maarten (Dutch part)	..	..
Slovak Republic	145	64
Slovenia	91	45
Solomon Islands	163	125
Somalia	325	269
South Africa	376	249
South Sudan	351	301
Spain	75	38
Sri Lanka	151	56
St. Kitts and Nevis	..	..
St. Lucia	175	97
St. Martin (French part)	..	..
St. Vincent and the Grenadines	207	125
Sudan	245	187
Suriname	220	118
Sweden	62	38
Switzerland	58	36
Syrian Arab Republic	237	73
Tajikistan	165	96
Tanzania	250	193
Thailand	187	78
Timor-Leste	169	117
Togo	278	244
Tonga	214	121
Trinidad and Tobago	186	109
Tunisia	107	67
Turkey	119	62
Turkmenistan	244	128
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	302	233
Ukraine	292	111
United Arab Emirates	70	45
United Kingdom	86	55
United States	139	82
Uruguay	139	76
Uzbekistan	170	101
Vanuatu	152	102
Venezuela, RB	207	95
Vietnam	189	76
Virgin Islands (U.S.)	70	41
West Bank and Gaza	127	92
Yemen, Rep.	220	175
Zambia	321	222
Zimbabwe	373	338
World	175	121
East Asia & Pacific	124	76
Europe & Central Asia	123	62
Latin America & Caribbean	177	93
Middle East & North Africa	128	86
North America	139	82
South Asia	195	142
Sub-Saharan Africa	303	243
Low income	264	206
Lower middle income	211	153
Upper middle income	131	80
High income	108	61
