Country	employment (2000-02)	employment (2014-16)
Afghanistan	64.3	45.8
Albania	49.4	39.8
Algeria	2020.7	2020.3
American Samoa	..	..
Andorra	..	..
Angola	36.3	50.6
Antigua and Barbuda	..	..
Argentina	1	0.1
Armenia	41.2	33.6
Aruba	..	..
Australia	4.4	2.6
Austria	5.8	4.3
Azerbaijan	40.2	36.3
Bahamas, The	3.7	2.3
Bahrain	1.5	1
Bangladesh	59.7	42.7
Barbados	4	2.9
Belarus	14	2020.7
Belgium	1.8	1.3
Belize	23.3	18.6
Benin	47	40.8
Bermuda	..	..
Bhutan	62.7	57.1
Bolivia	42.4	2020.7
Bosnia and Herzegovina	23.2	18
Botswana	20.8	21.8
Brazil	16.5	10.1
Brunei Darussalam	1.1	1
Bulgaria	2020.7	2020.8
Burkina Faso	76.1	28
Burundi	92.2	92
Cabo Verde	21.7	14.1
Cambodia	67.2	37.5
Cameroon	65	45.6
Canada	2.1	1.6
Cayman Islands	..	..
Central African Republic	80	78.2
Chad	81.5	77
Channel Islands	5.8	3.9
Chile	13.5	9.5
China	50	27.7
Hong Kong SAR, China	0.3	0.2
Macao SAR, China	0.4	0.4
Colombia	2020.9	16
Comoros	56.2	51.4
Congo, Dem. Rep.	73.1	66.7
Congo, Rep.	41.1	35
Costa Rica	15.9	12.2
Cote d'Ivoire	50	42.7
Croatia	15.6	7.6
Cuba	24.7	18.3
Curacao	..	..
Cyprus	5.3	3.6
Czech Republic	2020.9	2020.9
Denmark	2020.2	2020.5
Djibouti	44.5	35.5
Dominica	..	..
Dominican Republic	15.2	9.3
Ecuador	29.7	26.9
Egypt, Arab Rep.	2020.5	2020.6
El Salvador	19.7	18.7
Equatorial Guinea	48.7	42.3
Eritrea	64.9	62.3
Estonia	6.6	3.9
Eswatini	18.3	13.2
Ethiopia	77.3	68.2
Faroe Islands	..	..
Fiji	48	38.9
Finland	2020.5	3.9
France	4.1	2020.9
French Polynesia	9.4	7.5
Gabon	40.2	34.4
Gambia, The	35	29.1
Georgia	53.8	43.8
Germany	2.5	2020.3
Ghana	55.2	33.7
Greece	2020.2	12.4
Greenland	..	..
Grenada	..	..
Guam	0.5	0.3
Guatemala	35.6	29.4
Guinea	70.4	64.1
Guinea-Bissau	72.6	69.3
Guyana	22.2	18.1
Haiti	36.3	29.9
Honduras	38.8	27.4
Hungary	6.1	5
Iceland	7.4	3.9
India	58.7	45.1
Indonesia	44.3	31.8
Iran, Islamic Rep.	2020.7	18
Iraq	2020.2	2020.5
Ireland	7	5.3
Isle of Man	..	..
Israel	2	1
Italy	2020.9	3.9
Jamaica	20.1	16.6
Japan	2020.7	2020.5
Jordan	3.9	3.3
Kazakhstan	35.5	17.5
Kenya	54.3	56.6
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	55.6	51.4
Korea, Rep.	2020.3	4.8
Kosovo	..	..
Kuwait	2.6	2.2
Kyrgyz Republic	49.1	26.8
Lao PDR	80.2	65
Latvia	16.2	7.7
Lebanon	18.3	14.2
Lesotho	15.4	9.1
Liberia	50.5	44.2
Libya	23.9	20.2
Liechtenstein	..	..
Lithuania	18.6	8
Luxembourg	2	1
North Macedonia	23.9	16.6
Madagascar	78	65.8
Malawi	53.7	45.2
Malaysia	14.9	11.4
Maldives	18.6	9.2
Mali	71.5	64.9
Malta	2.3	1.2
Marshall Islands	..	..
Mauritania	61.7	53.3
Mauritius	10.8	6.7
Mexico	17	13.1
Micronesia, Fed. Sts.	..	..
Moldova	49.6	33.7
Monaco	..	..
Mongolia	44.9	30.4
Montenegro	9.5	7.7
Morocco	44.4	36.6
Mozambique	80.9	71.6
Myanmar	60.2	51.2
Namibia	30.7	20.1
Nepal	74.1	67
Netherlands	2.9	2.3
New Caledonia	4.1	2.1
New Zealand	8.8	6.5
Nicaragua	30.9	30.5
Niger	77.8	75.7
Nigeria	47.2	36.6
Northern Mariana Islands	..	..
Norway	3.9	2.1
Oman	7	4.8
Pakistan	42.3	42.3
Palau	..	..
Panama	17.4	15.4
Papua New Guinea	72.8	60.5
Paraguay	33.8	21.3
Peru	34.2	2020.4
Philippines	37	27
Poland	2020.6	2020.6
Portugal	12.6	6.9
Puerto Rico	2	1.1
Qatar	2.4	1.2
Romania	37.7	2020.1
Russian Federation	11.3	6.7
Rwanda	87.7	65.6
Samoa	40.1	31.9
San Marino	..	..
Sao Tome and Principe	30.1	20.5
Saudi Arabia	4.7	5
Senegal	45.1	32.4
Serbia	25.3	2020.6
Seychelles	..	..
Sierra Leone	69.4	57
Singapore	0.8	0.8
Sint Maarten (Dutch part)	..	..
Slovak Republic	6.6	2.9
Slovenia	9.7	5
Solomon Islands	50.6	39.4
Somalia	84.4	83.3
South Africa	2020.7	2020.6
South Sudan	57.8	57.4
Spain	6	4.2
Sri Lanka	39.7	27.1
St. Kitts and Nevis	..	..
St. Lucia	21.7	18.1
St. Martin (French part)	..	..
St. Vincent and the Grenadines	15.6	11.4
Sudan	51.1	40.9
Suriname	7.7	7.7
Sweden	2020.5	2020.9
Switzerland	4.3	3.4
Syrian Arab Republic	2020.8	2020.7
Tajikistan	58	47.4
Tanzania	80.6	66.9
Thailand	43.8	31.2
Timor-Leste	57.9	47
Togo	47.8	39.6
Tonga	31.8	25.6
Trinidad and Tobago	6.9	3.2
Tunisia	19.6	14.1
Turkey	34.9	19.5
Turkmenistan	29.5	2020.2
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	69.1	72.8
Ukraine	24	15.6
United Arab Emirates	6.7	1.8
United Kingdom	2020.4	2020.1
United States	1.5	1.4
Uruguay	11.6	8.2
Uzbekistan	38.8	2020.9
