Country	Land area (2000-02)	Land area (2014-16)	Irrigated (2014-16)
Afghanistan	58	58	6.5
Albania	42	43	19.6
Algeria	17	17	2.8
American Samoa	23	25	..
Andorra	49	40	..
Angola	46	47	..
Antigua and Barbuda	20	20	..
Argentina	47	54	..
Armenia	49	59	9.2
Aruba	11	11	..
Australia	58	48	0.6
Austria	35	32	1.4
Azerbaijan	57	58	29.8
Bahamas, The	1	1	..
Bahrain	13	11	..
Bangladesh	72	71	59.7
Barbados	40	23	..
Belarus	44	42	0.4
Belgium	46	45	..
Belize	7	7	..
Benin	30	33	..
Bermuda	7	6	..
Bhutan	13	14	..
Bolivia	34	35	0.7
Bosnia and Herzegovina	41	43	..
Botswana	46	46	0
Brazil	32	34	..
Brunei Darussalam	2	3	..
Bulgaria	49	46	..
Burkina Faso	39	44	..
Burundi	71	79	..
Cabo Verde	18	20	..
Cambodia	28	31	..
Cameroon	19	21	..
Canada	7	7	1.4
Cayman Islands	11	11	..
Central African Republic	8	8	..
Chad	39	40	..
Channel Islands	37	46	3.7
Chile	21	21	..
China	55	56	..
Hong Kong SAR, China	7	5	..
Macao SAR, China	..	..	..
Colombia	38	40	..
Comoros	73	71	..
Congo, Dem. Rep.	11	12	..
Congo, Rep.	31	31	..
Costa Rica	36	34	..
Cote d'Ivoire	62	65	..
Croatia	21	28	1
Cuba	63	60	..
Curacao	..	..	..
Cyprus	15	12	22.3
Czech Republic	55	45	0.5
Denmark	63	62	4.8
Djibouti	73	73	..
Dominica	29	33	..
Dominican Republic	52	49	..
Ecuador	30	22	16.1
Egypt, Arab Rep.	3	4	..
El Salvador	75	76	1.4
Equatorial Guinea	12	10	..
Eritrea	75	75	..
Estonia	16	23	0.2
Eswatini	71	71	..
Ethiopia	30	36	..
Faroe Islands	2	2	..
Fiji	23	23	..
Finland	7	7	..
France	54	52	..
French Polynesia	12	12	..
Gabon	20	20	..
Gambia, The	51	60	..
Georgia	43	34	..
Germany	49	48	2.7
Ghana	64	69	0.2
Greece	65	48	19.7
Greenland	1	1	..
Grenada	38	24	..
Guam	37	33	..
Guatemala	42	36	..
Guinea	56	59	..
Guinea-Bissau	57	58	..
Guyana	9	9	..
Haiti	61	67	..
Honduras	27	29	..
Hungary	65	58	1.8
Iceland	19	19	..
India	61	60	..
Indonesia	27	31	..
Iran, Islamic Rep.	39	28	16.6
Iraq	20	21	..
Ireland	63	65	..
Isle of Man	80	70	..
Israel	26	25	32.8
Italy	52	43	..
Jamaica	44	41	..
Japan	13	12	34.8
Jordan	12	12	10
Kazakhstan	79	80	..
Kenya	47	49	..
Kiribati	42	42	..
Korea, Dem. Peopleâ€™s Rep.	21	22	..
Korea, Rep.	20	17	..
Kosovo	..	..	..
Kuwait	8	8	..
Kyrgyz Republic	56	55	9.5
Lao PDR	8	10	11.5
Latvia	26	31	0
Lebanon	60	64	..
Lesotho	76	78	..
Liberia	27	28	..
Libya	9	9	..
Liechtenstein	43	32	..
Lithuania	46	47	0.1
Luxembourg	53	54	..
North Macedonia	52	50	..
Madagascar	70	71	..
Malawi	51	61	..
Malaysia	21	26	5.2
Maldives	40	26	..
Mali	33	34	..
Malta	31	32	33.7
Marshall Islands	67	64	..
Mauritania	38	39	..
Mauritius	49	42	19.5
Mexico	55	55	5.5
Micronesia, Fed. Sts.	32	31	..
Moldova	77	74	..
Monaco	..	..	..
Mongolia	83	71	..
Montenegro	..	19	..
Morocco	68	69	..
Mozambique	62	64	..
Myanmar	17	20	..
Namibia	47	47	..
Nepal	30	29	..
Netherlands	58	53	11.2
New Caledonia	14	10	..
New Zealand	46	40	6.5
Nicaragua	44	42	..
Niger	30	36	..
Nigeria	78	78	..
Northern Mariana Islands	7	7	..
Norway	3	3	3.3
Oman	4	5	5.9
Pakistan	48	48	50.5
Palau	11	11	..
Panama	30	30	..
Papua New Guinea	2	3	..
Paraguay	49	55	..
Peru	18	19	..
Philippines	37	42	..
Poland	55	47	0.9
Portugal	42	39	13.1
Puerto Rico	25	22	..
Qatar	6	6	..
Romania	64	59	1.1
Russian Federation	13	13	..
Rwanda	74	73	..
Samoa	17	12	..
San Marino	17	17	..
Sao Tome and Principe	53	51	..
Saudi Arabia	81	81	..
Senegal	45	46	..
Serbia	..	39	1.3
Seychelles	9	3	..
Sierra Leone	45	55	..
Singapore	2	1	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	47	39	1.2
Slovenia	25	31	0.5
Solomon Islands	3	4	..
Somalia	70	70	..
South Africa	81	80	..
South Sudan	..	..	..
Spain	59	53	13.8
Sri Lanka	38	44	..
St. Kitts and Nevis	31	23	..
St. Lucia	21	17	..
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	26	26	..
Sudan	..	..	..
Suriname	0	1	..
Sweden	8	7	..
Switzerland	39	38	2.2
Syrian Arab Republic	75	76	..
Tajikistan	33	34	..
Tanzania	39	45	..
Thailand	39	43	..
Timor-Leste	24	26	..
Togo	64	70	..
Tonga	42	46	..
Trinidad and Tobago	12	11	..
