Country	Male_2000	Male_2018	Female_2000	Female_2018
Afghanistan	63.5	37.6	79.9	65.7
Albania	43.5	34.3	63	41.5
Algeria	23.6	11.2	13.1	3.6
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	29.6	44.4	45.5	56.7
Antigua and Barbuda	..	..	..	..
Argentina	1	0.1	0.2	0.1
Armenia	38.8	27.6	48.7	33.8
Aruba	..	..	..	..
Australia	6	3.4	3.4	1.7
Austria	5.8	4.1	6.4	3.3
Azerbaijan	36.6	30.9	46.2	42
Bahamas, The	6.8	3.9	1.1	0.3
Bahrain	2	1.2	0.2	0
Bangladesh	60.7	31.4	78.8	58.5
Barbados	5	3.7	3.4	1.6
Belarus	19.2	14.9	10.5	7.7
Belgium	2.4	1.3	1.2	0.6
Belize	34.7	24.3	5.6	4.9
Benin	53.5	47.2	41.3	31
Bermuda	..	..	..	..
Bhutan	58.2	50.3	74.6	64.3
Bolivia	40.2	31	37.2	31.1
Bosnia and Herzegovina	23.2	15.5	27	16.1
Botswana	22.1	25	17.3	16.5
Brazil	20.7	13.1	9.7	4.1
Brunei Darussalam	1.4	2	1	0.5
Bulgaria	15.4	8.6	10.6	4.2
Burkina Faso	84.8	32.1	75	17.8
Burundi	87.2	87.7	96.8	96
Cabo Verde	28	16.1	15.3	6.5
Cambodia	72.1	31.7	74.8	35.8
Cameroon	63.2	39.9	69.9	48.7
Canada	3.2	2	1.7	0.9
Cayman Islands	..	..	..	..
Central African Republic	75.9	74.1	85.3	81.6
Chad	80.8	78	83.9	75.2
Channel Islands	7.3	4.9	4.5	2.2
Chile	19.5	12.1	4.7	5.2
China	53.5	28.3	45.7	23.3
Hong Kong SAR, China	0.3	0.2	0.2	0.1
Macao SAR, China	0.6	0.7	0.2	0.1
Colombia	32.3	23.1	6.6	7.8
Comoros	51.8	46.7	64.4	56.1
Congo, Dem. Rep.	65	58.8	81.2	73.1
Congo, Rep.	40.2	35	43.5	34.2
Costa Rica	22.2	17.3	3.9	4.4
Cote d'Ivoire	51.4	47.3	47.4	31.9
Croatia	16.4	7.2	16.8	5.1
Cuba	34	24.2	14	7.5
Curacao	..	..	..	..
Cyprus	5.9	3.1	4.6	1
Czech Republic	6.3	3.6	3.8	1.8
Denmark	5.1	3.4	2	1
Djibouti	44.6	35.3	45.5	31.9
Dominica	..	..	..	..
Dominican Republic	21.9	14.5	2.5	1.3
Ecuador	32.6	30.7	24.8	26.1
Egypt, Arab Rep.	27.4	21.3	39.4	36.2
El Salvador	33.9	26.3	3.8	3.5
Equatorial Guinea	51.2	41.6	52	43
Eritrea	59.9	57.4	72.3	66.5
Estonia	8.2	4.8	4.4	1.6
Eswatini	20.3	14.4	17.1	10.7
Ethiopia	83.4	73.5	68.2	58.8
Faroe Islands	..	..	..	..
Fiji	49.3	37.7	49.5	35.4
Finland	8.3	5.2	3.9	2.1
France	5.2	3.5	2.9	1.4
French Polynesia	14.1	9.4	6.1	3.9
Gabon	29.5	24.7	59.6	48.7
Gambia, The	28.4	23.3	46.1	33.8
Georgia	47.3	40.5	57.8	44.8
Germany	3	1.6	2.1	0.8
Ghana	59.8	36.8	50	23.2
Greece	16.1	12.6	19.7	11.7
Greenland	..	..	..	..
Grenada	..	..	..	..
Guam	0.7	0.4	0.2	0.1
Guatemala	51.1	42.3	18.2	10.1
Guinea	66.7	60.3	75.1	63.9
Guinea-Bissau	68.2	66.1	77.6	71.1
Guyana	30.9	22.5	10.9	9.2
Haiti	50.3	42.2	21.2	13.2
Honduras	50.8	42.7	7.9	10.6
Hungary	9	6.6	3.3	2.7
Iceland	12.6	6.5	4.3	1.2
India	54.6	40.2	74.4	55.5
Indonesia	44.4	31	46.7	27.5
Iran, Islamic Rep.	24.6	16.9	24.2	21
Iraq	26.2	18.4	26.2	17.8
Ireland	11.9	7.6	2.2	1.5
Isle of Man	..	..	..	..
Israel	2.9	1.3	1.2	0.5
Italy	5.7	4.7	4.4	2.4
Jamaica	28.8	22.1	9.2	8.9
Japan	4.8	3.9	5.5	3
Jordan	4.3	3.6	3.4	1
Kazakhstan	38.1	17.6	35	14.8
Kenya	40	49.1	57.9	61.3
Kiribati	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	46.3	43.7	67	60.1
Korea, Rep.	9.5	5.2	12.2	4.7
Kosovo	..	..	..	..
Kuwait	3.2	2.7	0.1	0
Kyrgyz Republic	51.8	22.5	54.8	21.1
Lao PDR	78	61.4	85.2	65.1
Latvia	16.7	10	13.1	4
Lebanon	18.3	13.5	20.3	14.7
Lesotho	23.4	13.1	6.4	3
Liberia	49.5	44.9	53.3	41.8
Libya	21.5	16.8	30.2	22.1
Liechtenstein	..	..	..	..
Lithuania	23.4	9.7	15.2	4.7
Luxembourg	3.1	1.5	1.5	0.5
Madagascar	74.5	68.2	78.3	61
Malawi	51	44.3	56.1	44
Malaysia	20.7	13.2	14.1	6.5
Maldives	24.2	10.5	9.3	2
Mali	71.9	62.6	73.5	63.5
