Country	Registered carrier departures worldwide	Passengers carried	Air freight
Afghanistan	24	1723	30
Albania	3	303	..
Algeria	77	6442	28
American Samoa	..	..	..
Andorra	..	..	..
Angola	14	1517	78
Antigua and Barbuda	23	580	0
Argentina	162	18082	312
Armenia	..	..	..
Aruba	2	274	..
Australia	665	75668	2028
Austria	130	12936	374
Azerbaijan	20	2280	44
Bahamas, The	57	1197	0
Bahrain	57	5877	421
Bangladesh	101	5984	64
Barbados	..	..	..
Belarus	32	2760	2
Belgium	141	13639	1285
Belize	126	1298	4
Benin	0	1	0
Bermuda	..	..	..
Bhutan	5	276	1
Bolivia	57	4122	14
Bosnia and Herzegovina	..	..	..
Botswana	7	253	0
Brazil	833	102110	1846
Brunei Darussalam	11	1234	129
Bulgaria	11	1023	1
Burkina Faso	4	152	0
Burundi	..	..	..
Cambodia	14	1411	1
Cameroon	6	265	0
Canada	1475	89380	3434
Cabo Verde	2	140	..
Cayman Islands	..	..	..
Central African Republic	..	..	..
Chad	..	..	..
Channel Islands	..	..	..
Chile	135	19517	1226
China	4692	611440	25256
Hong Kong SAR, China	245	47102	12677
Macao SAR, China	24	3158	32
Colombia	359	33704	1349
Comoros	..	..	..
Congo, Dem. Rep.	19	932	1
Congo, Rep.	8	334	5
Costa Rica	40	1949	11
Cote d'Ivoire	15	779	6
Croatia	27	2094	1
Cuba	9	561	18
Curacao	..	..	..
Cyprus	5	401	0
Czech Republic	51	5727	25
Denmark	..	..	..
Djibouti	..	..	..
Dominica	..	..	..
Dominican Republic	1	12	..
Ecuador	53	5365	64
Egypt, Arab Rep.	104	12341	438
El Salvador	28	2545	11
Equatorial Guinea	20	466	0
Eritrea	1	103	..
Estonia	1	32	0
Ethiopia	111	11501	2089
Faroe Islands	..	..	..
Fiji	24	1670	107
Finland	126	13365	958
France	597	70188	4444
French Polynesia	..	..	..
Gabon	2	77	..
Gambia, The	1	54	..
Georgia	7	516	1
Germany	923	109796	7970
Ghana	14	467	0
Greece	144	15126	22
Greenland	..	..	..
Grenada	..	..	..
Guam	..	..	..
Guatemala	3	146	0
Guinea	..	..	..
Guinea-Bissau	..	..	..
Guyana	2	26	0
Haiti	..	..	..
Honduras	15	412	0
Hungary	184	31227	..
Iceland	55	7820	164
India	1200	164036	2704
Indonesia	959	115154	1132
Iran, Islamic Rep.	229	25605	291
Iraq	21	2075	16
Ireland	936	167599	169
Isle of Man	..	..	..
Israel	54	7404	995
Italy	257	27630	1418
Jamaica	1	181	5
Japan	1000	126388	9421
Jordan	36	3384	176
Kazakhstan	83	7144	50
Kenya	138	5936	295
Kiribati	5	67	..
Korea, Dem. Peopleâ€™s Rep.	0	104	0
Korea, Rep.	526	88158	11930
Kosovo	..	..	..
Kuwait	46	6465	392
Kyrgyz Republic	16	709	0
Lao PDR	10	1252	2
Latvia	54	4059	4
Lebanon	26	2982	57
Lesotho	..	..	..
Liberia	..	..	..
Libya	7	927	1
Liechtenstein	..	..	..
Lithuania	2	26	0
Luxembourg	52	2099	7323
North Macedonia	..	..	..
Madagascar	10	541	16
Malawi	2	11	0
Malaysia	477	60482	1404
Maldives	27	1147	8
Mali	..	..	..
Malta	21	2577	5
Marshall Islands	2	24	0
Mauritania	6	454	..
Mauritius	15	1745	234
Mexico	591	64570	1090
Micronesia, Fed. Sts.	..	..	..
Moldova	14	1136	1
Monaco	0	0	..
Mongolia	8	670	8
Montenegro	7	566	0
Morocco	80	8133	98
Mozambique	10	540	5
Myanmar	64	3408	5
Namibia	15	603	26
Nepal	72	3297	5
Netherlands	326	43996	5887
New Caledonia	..	..	..
New Zealand	188	17249	1349
Nicaragua	..	..	..
Niger	0	15	..
Nigeria	77	8169	19
Northern Mariana Islands	..	..	..
Norway	..	..	..
Oman	77	10438	510
Pakistan	49	6881	218
Palau	..	..	..
Panama	119	12939	48
Papua New Guinea	42	965	31
Paraguay	4	561	2
Peru	141	17759	313
Philippines	292	43080	836
Poland	124	9278	271
Portugal	183	17368	454
Puerto Rico	..	..	..
Qatar	198	29179	12667
Romania	56	4908	3
Russian Federation	885	99327	6811
Rwanda	18	1074	..
Samoa	7	138	0
San Marino	..	..	..
Sao Tome and Principe	..	..	..
Saudi Arabia	254	39142	1085
Senegal	1	21	0
Serbia	28	2263	18
Seychelles	19	455	8
Sierra Leone	..	..	..
Singapore	209	40402	5195
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	0	8	..
Slovenia	18	1095	1
Solomon Islands	14	428	4
Somalia	0	4	..
South Africa	180	23922	716
South Sudan	..	..	..
Spain	641	80672	1117
Sri Lanka	34	5882	436
St. Kitts and Nevis	..	..	..
St. Lucia	..	..	..
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	..	..	..
Sudan	3	270	6
Suriname	3	272	33
Eswatini	..	..	..
Sweden	..	..	..
Switzerland	220	28858	1841
Syrian Arab Republic	0	18	0
Tajikistan	4	492	2
Tanzania	52	1482	0
Thailand	476	76053	2666
Timor-Leste	..	..	..
Togo	12	566	11
Tonga	..	..	..
Trinidad and Tobago	33	2525	41
Tunisia	41	4274	13
Turkey	773	115595	5949
Turkmenistan	18	2457	17
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	5	22	0
Ukraine	67	7855	75
United Arab Emirates	456	95533	15963
United Kingdom	1243	165389	6198
United States	9880	889022	42985
Uruguay	..	..	..
Uzbekistan	22	3057	89
Vanuatu	12	375	2
Venezuela, RB	25	2138	2
Vietnam	284	47050	481
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	..	..	..
Yemen, Rep.	2	336	3
Zambia	1	9	75
Zimbabwe	3	283	1
World	37000	4232645	220707
East Asia & Pacific	10253	1363172	74702
Europe & Central Asia	8485	1082810	52988
Latin America & Caribbean	2819	292832	6389
Middle East & North Africa	1788	263132	33158
North America	11355	978402	46419
South Asia	1513	189225	3464
Sub-Saharan Africa	788	63071	3586
Low income	228	18442	1564
Lower middle income	3065	355943	6042
Upper middle income	11423	1409279	49797
High income	22284	2448981	162710
