Country	Coverage
Afghanistan	10
Albania	85
Algeria	67
American Samoa	..
Andorra	..
Angola	27
Antigua and Barbuda	..
Argentina	58
Armenia	85
Aruba	..
Australia	83
Austria	..
Azerbaijan	52
Bahamas, The	..
Bahrain	..
Bangladesh	..
Barbados	..
Belarus	63
Belgium	..
Belize	..
Benin	65
Bermuda	..
Bhutan	..
Bolivia	60
Bosnia and Herzegovina	..
Botswana	82
Brazil	60
Brunei Darussalam	..
Bulgaria	..
Burkina Faso	67
Burundi	84
Cabo Verde	62
Cambodia	84
Cameroon	62
Canada	..
Cayman Islands	..
Central African Republic	46
Chad	58
Channel Islands	..
Chile	68
China	..
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	68
Comoros	82
Congo, Dem. Rep.	53
Congo, Rep.	25
Costa Rica	66
Cote d'Ivoire	63
Croatia	..
Cuba	76
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	43
Dominica	..
Dominican Republic	48
Ecuador	65
Egypt, Arab Rep.	32
El Salvador	50
Equatorial Guinea	35
Eritrea	62
Estonia	..
Eswatini	96
Ethiopia	74
Faroe Islands	..
Fiji	..
Finland	..
France	82
French Polynesia	..
Gabon	51
Gambia, The	29
Georgia	..
Germany	..
Ghana	45
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	58
Guinea	45
Guinea-Bissau	41
Guyana	69
Haiti	71
Honduras	48
Hungary	..
Iceland	..
India	..
Indonesia	..
Iran, Islamic Rep.	25
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	90
Jamaica	44
Japan	..
Jordan	..
Kazakhstan	52
Kenya	74
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	..
Kuwait	..
Kyrgyz Republic	40
Lao PDR	56
Latvia	90
Lebanon	..
Lesotho	65
Liberia	33
Libya	34
Liechtenstein	..
Lithuania	90
Luxembourg	..
Madagascar	13
Malawi	79
Malaysia	50
Maldives	..
Mali	36
Malta	..
Marshall Islands	..
Mauritania	57
Mauritius	25
Mexico	..
Micronesia, Fed. Sts.	..
Moldova	46
Monaco	..
Mongolia	..
Montenegro	40
Morocco	70
Mozambique	60
Myanmar	76
Namibia	85
Nepal	63
Netherlands	87
New Caledonia	..
New Zealand	63
Nicaragua	59
Niger	61
Nigeria	65
North Macedonia	..
Northern Mariana Islands	..
Norway	..
Oman	70
Pakistan	12
Palau	..
Panama	..
Papua New Guinea	62
Paraguay	44
Peru	77
Philippines	44
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	68
Russian Federation	..
Rwanda	87
Samoa	..
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	..
Senegal	70
Serbia	68
Seychelles	..
Sierra Leone	43
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	..
Somalia	33
South Africa	70
South Sudan	18
Spain	85
Sri Lanka	..
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	22
Suriname	50
Sweden	..
Switzerland	..
Syrian Arab Republic	22
Tajikistan	51
Tanzania	75
Thailand	80
Timor-Leste	80
Togo	64
Tonga	..
Trinidad and Tobago	50
Tunisia	20
Turkey	..
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	84
Ukraine	54
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	58
Vanuatu	..
Venezuela, RB	40
Vietnam	70
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	24
Zambia	85
Zimbabwe	85
World	67
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	61
Middle East & North Africa	39
North America	..
South Asia	..
Sub-Saharan Africa	70
Low income	66
Lower middle income	..
Upper middle income	..
High income	..
