Country	% GDP (2010)	% GDP (2018)	% Labor (2010)	% Labor (2018)
Afghanistan	307	323	4.3	3.2
Albania	15	9	1.2	0.7
Algeria	317	317	2.9	2.6
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	117	117	1.2	1
Antigua and Barbuda	0	0	..	..
Argentina	104	105	0.6	0.5
Armenia	56	49	4.2	3.8
Aruba	..	..	..	..
Australia	57	58	0.5	0.4
Austria	26	21	0.6	0.5
Azerbaijan	82	82	1.8	1.6
Bahamas, The	1	1	0.4	0.5
Bahrain	19	19	2.7	2.2
Bangladesh	221	221	0.4	0.3
Barbados	1	1	0.4	0.6
Belarus	183	155	3.6	3
Belgium	36	32	0.7	0.6
Belize	1	2	0.8	1.2
Benin	7	12	0.2	0.3
Bermuda	..	..	..	..
Bhutan	..	..	..	..
Bolivia	83	71	1.8	1.3
Bosnia and Herzegovina	11	11	0.7	0.8
Botswana	11	9	1.4	0.9
Brazil	713	730	0.7	0.7
Brunei Darussalam	9	8	4.8	3.8
Bulgaria	65	31	1.9	0.9
Burkina Faso	11	11	0.2	0.2
Burundi	51	31	1.4	0.7
Cambodia	191	191	2.4	2.1
Cameroon	23	24	0.3	0.2
Canada	66	72	0.3	0.4
Cabo Verde	1	1	0.6	0.4
Cayman Islands	..	..	..	..
Central African Republic	3	8	0.2	0.4
Chad	35	35	0.8	0.6
Channel Islands	..	..	..	..
Chile	104	122	1.3	1.3
China	2945	2695	0.4	0.3
Hong Kong SAR, China	..	..	..	..
Macao SAR, China	..	..	..	..
Colombia	442	481	2	1.9
Comoros	..	..	..	..
Congo, Dem. Rep.	159	134	0.7	0.5
Congo, Rep.	12	12	0.7	0.6
Costa Rica	10	10	0.5	0.4
Cote d'Ivoire	19	27	0.3	0.3
Croatia	22	18	1.1	1
Cuba	76	76	1.5	1.5
Curacao	..	..	..	..
Cyprus	13	16	2.2	2.6
Czech Republic	29	23	0.5	0.4
Denmark	19	15	0.6	0.5
Djibouti	13	13	3.8	3.3
Dominica	..	..	..	..
Dominican Republic	40	71	1	1.5
Ecuador	59	41	0.9	0.5
Egypt, Arab Rep.	836	836	3	2.8
El Salvador	33	42	1.3	1.5
Equatorial Guinea	1	1	0.4	0.2
Eritrea	202	202	13.6	..
Estonia	6	6	0.8	0.9
Ethiopia	138	138	0.4	0.3
Faroe Islands	..	..	..	..
Fiji	4	4	0.9	1.1
Finland	25	25	0.9	0.9
France	342	307	1.1	1
French Polynesia	..	..	..	..
Gabon	7	7	1.3	1
Gambia, The	1	1	0.1	0.1
Georgia	32	26	1.6	1.3
Germany	251	180	0.6	0.4
Ghana	16	16	0.1	0.1
Greece	150	146	3	3
Greenland	..	..	..	..
Grenada	..	..	..	..
Guam	..	..	..	..
Guatemala	34	43	0.6	0.7
Guinea	19	13	0.6	0.3
Guinea-Bissau	6	4	1	0.5
Guyana	3	3	0.9	1
Haiti	0	0	0	0
Honduras	20	23	0.6	0.5
Hungary	35	40	0.8	0.8
Iceland	0	0	0.1	0
India	2626	3031	0.6	0.6
Indonesia	582	676	0.5	0.5
Iran, Islamic Rep.	563	563	2.3	2.1
Iraq	802	209	11	2.1
Ireland	10	9	0.5	0.4
Isle of Man	..	..	..	..
Israel	185	178	5.3	4.4
Italy	359	347	1.5	1.3
Jamaica	3	4	0.2	0.3
Japan	260	261	0.4	0.4
Jordan	111	116	5.8	4.6
Kazakhstan	81	71	0.9	0.8
Kenya	29	29	0.2	0.1
Kiribati	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	1379	1469	9	9
Korea, Rep.	660	634	2.6	2.3
Kosovo	..	..	..	..
Kuwait	23	25	1.4	1.1
Kyrgyz Republic	20	21	0.8	0.8
Lao PDR	129	129	4.2	3.5
Latvia	5	6	0.4	0.6
Lebanon	79	80	4.6	3.4
Lesotho	2	2	0.2	0.2
Liberia	2	2	0.1	0.1
Libya	76	..	3.6	..
Liechtenstein	..	..	..	..
Lithuania	25	34	1.7	2.3
Luxembourg	2	2	0.6	0.7
North Macedonia	8	16	0.8	1.7
Madagascar	22	22	0.2	0.2
Malawi	5	15	0.1	0.2
Malaysia	134	136	1.1	0.9
Maldives	..	..	..	..
Mali	12	18	0.2	0.3
Malta	2	2	1.2	0.9
Marshall Islands	..	..	..	..
Mauritania	21	21	2.2	1.8
Mauritius	2	3	0.4	0.5
Mexico	332	336	0.7	0.6
Micronesia, Fed. Sts.	..	..	..	..
Moldova	8	7	0.8	0.7
Monaco	..	..	..	..
Mongolia	17	18	1.5	1.4
Montenegro	13	12	5.4	4.4
Morocco	246	246	2.1	2.1
Mozambique	11	11	0.1	0.1
Myanmar	513	513	2.2	2.1
Namibia	15	16	2	1.8
Nepal	158	112	1.1	0.7
Netherlands	43	41	0.5	0.4
New Caledonia	..	..	..	..
New Zealand	10	9	0.4	0.3
Nicaragua	12	12	0.5	0.4
Niger	11	10	0.2	0.1
Nigeria	162	215	0.3	0.4
Northern Mariana Islands	..	..	..	..
Norway	24	23	0.9	0.8
Oman	47	47	3.4	1.8
Pakistan	946	936	1.6	1.3
Palau	..	..	..	..
Panama	12	26	0.7	1.3
Papua New Guinea	3	4	0.1	0.2
Paraguay	25	27	0.9	0.8
Peru	192	158	1.2	0.9
Philippines	166	153	0.4	0.4
Poland	121	191	0.7	1
Portugal	90	52	1.6	1
Puerto Rico	..	..	..	..
Qatar	12	22	0.8	1.1
Romania	154	126	1.6	1.4
Russian Federation	1430	1454	1.9	2
Rwanda	35	35	0.7	0.6
Samoa	..	..	..	..
San Marino	..	..	..	..
Sao Tome and Principe	..	..	..	..
Saudi Arabia	249	252	2.5	1.8
Senegal	19	19	0.5	0.5
Serbia	29	32	1	1
Seychelles	1	0	..	..
Sierra Leone	11	9	0.5	0.4
Singapore	148	81	4.9	2.3
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	16	16	0.6	0.6
Slovenia	12	7	1.2	0.7
Solomon Islands	..	..	..	..
Somalia	2	20	0.1	0.5
South Africa	77	80	0.4	0.4
South Sudan	140	185	3.6	4
Spain	223	196	0.9	0.9
Sri Lanka	223	317	2.7	3.6
St. Kitts and Nevis	..	..	..	..
St. Lucia	..	..	..	..
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	..	..	..	..
Sudan	127	124	1.3	1.1
Suriname	2	2	1	0.9
Eswatini	..	..	..	..
Sweden	21	30	0.4	0.6
Switzerland	25	21	0.6	0.4
Syrian Arab Republic	403	239	7	4.7
Tajikistan	16	17	0.8	0.7
Tanzania	28	28	0.1	0.1
Thailand	420	455	1.1	1.2
Timor-Leste	1	2	0.3	0.4
Togo	9	10	0.3	0.3
Tonga	..	..	..	..
Trinidad and Tobago	4	4	0.6	0.6
Tunisia	48	48	1.3	1.2
Turkey	613	512	2.4	1.6
Turkmenistan	22	42	1	1.6
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	..	..	..
Uganda	47	46	0.4	0.3
Ukraine	215	297	1	1.4
United Arab Emirates	51	63	0.8	0.9
United Kingdom	174	148	0.5	0.4
United States	1569	1359	1	0.8
Uruguay	25	22	1.5	1.3
Uzbekistan	87	68	0.7	0.5
Vanuatu	..	..	..	..
Venezuela, RB	115	343	0.9	2.6
Vietnam	522	522	1	0.9
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	56	..	6.5	..
Yemen, Rep.	138	40	2.6	0.6
Zambia	17	16	0.3	0.2
Zimbabwe	51	51	0.8	0.8
World	28134	27414	0.9	0.8
East Asia & Pacific	8455	8192	0.7	0.7
Europe & Central Asia	5243	4990	1.2	1.1
Latin America & Caribbean	2445	2756	0.9	0.9
Middle East & North Africa	4199	3315	3.3	2.3
North America	1635	1431	0.9	0.8
South Asia	4480	4940	0.7	0.8
Sub-Saharan Africa	1677	1790	0.5	0.4
Low income	3302	3172	1.6	1.2
Lower middle income	8214	8740	0.8	0.8
Upper middle income	10539	9981	0.8	0.7
High income	6080	5521	1	0.9
