Country	Avg
Afghanistan	327
Albania	1485
Algeria	89
American Samoa	..
Andorra	..
Angola	1010
Antigua and Barbuda	1030
Argentina	591
Armenia	562
Aruba	..
Australia	534
Austria	1110
Azerbaijan	447
Bahamas, The	1292
Bahrain	83
Bangladesh	2666
Barbados	1422
Belarus	618
Belgium	847
Belize	1705
Benin	1039
Bermuda	..
Bhutan	2200
Bolivia	1146
Bosnia and Herzegovina	1028
Botswana	416
Brazil	1761
Brunei Darussalam	2722
Bulgaria	608
Burkina Faso	748
Burundi	1274
Cabo Verde	228
Cambodia	1904
Cameroon	1604
Canada	537
Cayman Islands	..
Central African Republic	1343
Chad	322
Channel Islands	..
Chile	1522
China	645
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	3240
Comoros	900
Congo, Dem. Rep.	1543
Congo, Rep.	1646
Costa Rica	2926
Cote d'Ivoire	1348
Croatia	1113
Cuba	1335
Curacao	..
Cyprus	498
Czech Republic	677
Denmark	703
Djibouti	220
Dominica	2083
Dominican Republic	1410
Ecuador	2274
Egypt, Arab Rep.	51
El Salvador	1784
Equatorial Guinea	2156
Eritrea	384
Estonia	626
Eswatini	788
Ethiopia	848
Faroe Islands	..
Fiji	2592
Finland	536
France	867
French Polynesia	..
Gabon	1831
Gambia, The	836
Georgia	1026
Germany	700
Ghana	1187
Greece	652
Greenland	..
Grenada	2350
Guam	..
Guatemala	1996
Guinea	1651
Guinea-Bissau	1577
Guyana	2387
Haiti	1440
Honduras	1976
Hungary	589
Iceland	1940
India	1083
Indonesia	2702
Iran, Islamic Rep.	228
Iraq	216
Ireland	1118
Isle of Man	..
Israel	435
Italy	832
Jamaica	2051
Japan	1668
Jordan	111
Kazakhstan	250
Kenya	630
Kiribati	630
Korea, Dem. Peopleâ€™s Rep.	1054
Korea, Rep.	1274
Kosovo	..
Kuwait	121
Kyrgyz Republic	533
Lao PDR	1834
Latvia	641
Lebanon	661
Lesotho	788
Liberia	2391
Libya	56
Liechtenstein	56
Lithuania	656
Luxembourg	934
North Macedonia	619
Madagascar	1513
Malawi	1181
Malaysia	2875
Maldives	1972
Mali	282
Malta	560
Marshall Islands	560
Mauritania	92
Mauritius	2041
Mexico	758
Micronesia, Fed. Sts.	758
Moldova	450
Monaco	..
Mongolia	241
Montenegro	241
Morocco	346
Mozambique	1032
Myanmar	2091
Namibia	285
Nepal	1500
Netherlands	778
New Caledonia	..
New Zealand	1732
Nicaragua	2280
Niger	151
Nigeria	1150
Northern Mariana Islands	..
Norway	1414
Oman	125
Pakistan	494
Palau	494
Panama	2928
Papua New Guinea	3142
Paraguay	1130
Peru	1738
Philippines	2348
Poland	600
Portugal	854
Puerto Rico	2054
Qatar	74
Romania	637
Russian Federation	460
Rwanda	1212
Samoa	1583
San Marino	..
Sao Tome and Principe	3200
Saudi Arabia	59
Senegal	686
Serbia	686
Seychelles	2330
Sierra Leone	2526
Singapore	2497
Sint Maarten (Dutch part)	..
Slovak Republic	824
Slovenia	1162
Solomon Islands	3028
Somalia	282
South Africa	495
South Sudan	900
Spain	636
Sri Lanka	1712
St. Kitts and Nevis	1427
St. Lucia	2301
St. Martin (French part)	..
St. Vincent and the Grenadines	1583
Sudan	250
Suriname	2331
Sweden	624
Switzerland	1537
Syrian Arab Republic	252
Tajikistan	691
Tanzania	1071
Thailand	1622
Timor-Leste	1500
Togo	1168
Tonga	..
Trinidad and Tobago	2200
Tunisia	207
Turkey	593
Turkmenistan	161
Turks and Caicos Islands	..
Tuvalu	161
Uganda	1180
Ukraine	565
United Arab Emirates	78
United Kingdom	1220
United States	715
Uruguay	1300
Uzbekistan	206
Vanuatu	206
Venezuela, RB	2044
Vietnam	1821
Virgin Islands (U.S.)	..
West Bank and Gaza	402
Yemen, Rep.	167
Zambia	1020
Zimbabwe	657
World	..
East Asia & Pacific	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	..
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	..
High income	..
Europe & Central Asia	..
