Country	Survey year	Poorest quintile	Richest quintile
Afghanistan	2015	27	88
Albania	2018	99	100
Algeria	2013	95	99
American Samoa	..	..	..
Andorra	..	..	..
Angola	2016	19	89
Antigua and Barbuda	..	..	..
Argentina	..	97	100
Armenia	2016	100	100
Aruba	..	..	..
Australia	..	..	..
Austria	..	..	..
Azerbaijan	..	..	..
Bahamas, The	..	..	..
Bahrain	..	..	..
Bangladesh	2014	18	74
Barbados	2012	100	100
Belarus	2012	100	100
Belgium	..	..	..
Belize	2016	93	99
Benin	2018	57	96
Bermuda	..	..	..
Bhutan	2010	34	95
Bolivia	2008	39	99
Bosnia and Herzegovina	..	100	100
Botswana	..	..	..
Brazil	..	..	..
Brunei Darussalam	..	..	..
Bulgaria	..	..	..
Burkina Faso	2018	12	64
Burundi	2017	79	96
Cabo Verde	..	..	..
Cambodia	2014	79	99
Cameroon	2014	21	98
Canada	..	..	..
Cayman Islands	..	..	..
Central African Republic	2010	33	87
Chad	2015	15	66
Channel Islands	..	..	..
Chile	..	..	..
China	..	..	..
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	2015	88	99
Comoros	2012	66	95
Congo, Dem. Rep.	2014	67	98
Congo, Rep.	2016	83	99
Costa Rica	2011	97	99
Cote d'Ivoire	2016	49	95
Croatia	..	..	..
Cuba	..	..	..
Curacao	..	..	..
Cyprus	..	..	..
Czech Republic	..	..	..
Denmark	..	..	..
Djibouti	..	..	..
Dominica	..	..	..
Dominican Republic	2014	98	99
Ecuador	..	..	..
Egypt, Arab Rep.	2014	85	99
El Salvador	2014	94	99
Equatorial Guinea	..	..	..
Eritrea	..	..	..
Estonia	..	..	..
Eswatini	2014	76	95
Ethiopia	2016	14	78
Faroe Islands	..	..	..
Fiji	..	..	..
Finland	..	..	..
France	..	..	..
French Polynesia	..	..	..
Gabon	2012	71	96
Gambia, The	2018	72	97
Georgia	..	..	..
Germany	..	..	..
Ghana	2016	51	98
Greece	..	..	..
Greenland	..	..	..
Grenada	..	..	..
Guam	..	..	..
Guatemala	2015	40	96
Guinea	2018	29	96
Guinea-Bissau	2014	26	83
Guyana	2014	79	100
Haiti	2017	15	82
Honduras	2012	61	98
Hungary	..	..	..
Iceland	..	..	..
India	2016	67	96
Indonesia	2017	76	99
Iran, Islamic Rep.	..	..	..
Iraq	2018	93	99
Ireland	..	..	..
Isle of Man	..	..	..
Israel	..	..	..
Italy	..	..	..
Jamaica	2011	97	100
Japan	..	..	..
Jordan	2018	100	100
Kazakhstan	2015	100	100
Kenya	2015	34	93
Kiribati	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..
Korea, Rep.	..	..	..
Kosovo	2014	98	99
Kuwait	..	..	..
Kyrgyz Republic	2018	99	100
Lao PDR	2017	33	97
Latvia	..	..	..
Lebanon	..	..	..
Lesotho	2018	76	94
Liberia	2016	46	89
Libya	..	..	..
Liechtenstein	..	..	..
Lithuania	..	..	..
Luxembourg	..	..	..
Madagascar	2016	22	90
Malawi	2017	88	96
Malaysia	..	..	..
Maldives	2017	100	99
Mali	2018	47	97
Malta	..	..	..
Marshall Islands	..	..	..
Mauritania	2015	30	96
Mauritius	..	..	..
Mexico	2015	92	100
Micronesia, Fed. Sts.	..	..	..
Moldova	2012	98	99
Monaco	..	..	..
Mongolia	2018	98	100
Montenegro	2013	99	100
Morocco	..	..	..
Mozambique	2018	34	91
Myanmar	2016	40	98
Namibia	2013	76	98
Nepal	2016	39	90
Netherlands	..	..	..
New Caledonia	..	..	..
New Zealand	..	..	..
Nicaragua	..	..	..
Niger	2012	14	73
Nigeria	2018	13	87
North Macedonia	2011	98	98
Northern Mariana Islands	..	..	..
Norway	..	..	..
Oman	..	..	..
Pakistan	2018	50	94
Palau	..	..	..
Panama	..	..	..
Papua New Guinea	2018	33	92
Paraguay	2016	88	100
Peru	2012	64	100
Philippines	2017	69	98
Poland	..	..	..
Portugal	..	..	..
Puerto Rico	..	..	..
Qatar	..	..	..
Romania	..	..	..
Russian Federation	..	..	..
Rwanda	2017	86	98
Samoa	..	..	..
San Marino	..	..	..
Sao Tome and Principe	2014	85	98
Saudi Arabia	..	..	..
Senegal	2017	40	96
Serbia	2014	98	95
Seychelles	..	..	..
Sierra Leone	2017	75	92
Singapore	..	..	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	..	..	..
Slovenia	..	..	..
Solomon Islands	..	..	..
Somalia	..	..	..
South Africa	2016	92	99
South Sudan	2010	8	41
Spain	..	..	..
Sri Lanka	..	..	..
St. Kitts and Nevis	..	..	..
St. Lucia	..	..	..
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	..	..	..
Sudan	2014	48	99
Suriname	2018	98	99
Sweden	..	..	..
Switzerland	..	..	..
Syrian Arab Republic	..	..	..
Tajikistan	2017	91	98
Tanzania	2017	44	96
Thailand	2016	98	100
Timor-Leste	2016	28	92
Togo	2017	12	88
Tonga	..	..	..
Trinidad and Tobago	..	..	..
Tunisia	2018	99	100
Turkey	2013	93	100
Turkmenistan	2016	100	100
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	2016	66	95
Ukraine	2012	99	100
United Arab Emirates	..	..	..
United Kingdom	..	..	..
United States	..	..	..
Uruguay	..	..	..
Uzbekistan	..	..	..
Vanuatu	..	..	..
Venezuela, RB	..	..	..
Vietnam	2014	73	100
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	2014	100	99
Yemen, Rep.	2013	21	83
Zambia	2014	49	95
Zimbabwe	2015	66	96
